outcome,outcome_label,feature,feature_label,feature_family,cases,pairs,raw_pearson_r,raw_pearson_p_value,raw_spearman_rho,raw_spearman_p_value,matched_pair_adjusted_pearson_r,matched_pair_adjusted_pearson_p_value,one_body_adjusted_cases,one_body_adjusted_pearson_r,one_body_adjusted_pearson_p_value,matched_pair_and_one_body_adjusted_cases,matched_pair_and_one_body_adjusted_pearson_r,matched_pair_and_one_body_adjusted_pearson_p_value,pair_delta_pearson_r,pair_delta_pearson_p_value,favorable_minus_control_mean,favorable_minus_control_median,paired_exact_permutation_p_value,paired_bootstrap_mean_ci_low,paired_bootstrap_mean_ci_high,bootstrap_replicates,raw_pearson_fdr_q_value,matched_pair_adjusted_pearson_fdr_q_value,one_body_adjusted_pearson_fdr_q_value,matched_pair_and_one_body_adjusted_pearson_fdr_q_value,pair_delta_pearson_fdr_q_value,paired_exact_permutation_fdr_q_value
log10_error_advantage,log10(JW/F Trotter-error advantage),log10_two_body_cancellation_advantage,2B-bearing cancellation advantage,primary,20,10,0.7396929134751152,0.000193333802560323,0.5233082706766917,0.017893477980418196,0.7374970491320125,0.0002066782419712175,20,0.6804084640336403,0.0009617799864878184,20,0.6410360344510614,0.00232115723348184,0.7506250802452755,0.0123637391245824,0.04664293879167199,0.04806954053941233,0.271484375,-0.029231266077944133,0.1205303503745115,10000,0.0006766683089611305,0.0007233738468992613,0.002885339959463455,0.00696347170044552,0.0288487246240256,0.533203125
log10_error_advantage,log10(JW/F Trotter-error advantage),delta_two_body_cross_destructiveness,Gain in destructive 1B/2B interference,primary,20,10,0.6007373066106636,0.005094023325497133,0.6842105263157895,0.0008772646601370122,0.6389916889939342,0.0024218935476798212,20,0.525366746196748,0.01736850025730969,20,0.5298452364025088,0.016268885784988724,0.2707785734402513,0.4492247322884456,0.00541219884601238,0.00301799649422485,0.00390625,0.0020781463342176426,0.00910726208734971,10000,0.005943027213079989,0.0029280563042046706,0.03473700051461938,0.03253777156997745,0.5240955210031866,0.013671875
log10_error_advantage,log10(JW/F Trotter-error advantage),delta_two_body_leave_in_reduction,Gain in norm reduction from adding 2B vector,primary,20,10,0.903418795501052,4.869170987272348e-08,0.819548872180451,9.80668961812618e-06,0.9069287615833502,3.535688201720636e-08,20,0.8707985633573121,5.906308468001588e-07,20,0.8619920943803274,1.033877060326502e-06,0.7934738209568608,0.0061515229189392446,0.06426054044214981,0.0453938186144439,0.00390625,0.031116338569953675,0.1017528626831256,10000,3.4084196910906436e-07,2.4749817412044454e-07,3.5437850808009526e-06,6.203262361959011e-06,0.0288487246240256,0.013671875
log10_error_advantage,log10(JW/F Trotter-error advantage),log10_one_two_cancellation_advantage,1B-2B cancellation advantage,component,20,10,0.7219089134441861,0.00032610126204708057,0.4821361755025148,0.031334017257553706,0.7192123053611261,0.00035181042886671946,20,0.4978796290210313,0.025486293486610044,20,0.45482110556680433,0.04391945484524189,0.7522545258440074,0.01206965532600249,0.04523331982080021,0.036560181670988144,0.30859375,-0.036631770515370574,0.12436849778748268,10000,0.0007609029447765213,0.000820891000689012,0.03822944022991506,0.06587918226786282,0.0288487246240256,0.533203125
log10_error_advantage,log10(JW/F Trotter-error advantage),log10_two_two_cancellation_advantage,2B-2B cancellation advantage,component,20,10,0.6329976055776662,0.002738511929472337,0.3293233082706767,0.15623105162611658,0.6517153706737234,0.001849992269064388,20,0.29243075969414506,0.21087880714360888,20,0.25605867518848846,0.2758494682348742,0.7218631923357247,0.018416254051259892,0.040041412544362574,0.027531280212702444,0.45703125,-0.058113821747353585,0.13590569051093587,10000,0.00479239587657659,0.0029280563042046706,0.21087880714360888,0.2758494682348742,0.03222844458970481,0.533203125
log10_error_advantage,log10(JW/F Trotter-error advantage),log10_one_one_cancellation_advantage,1B-1B cancellation advantage,negative_control,20,10,0.6149503976881616,0.003906814884711867,0.46516486373789384,0.03876318565129395,0.637265620661099,0.0025097625464611463,20,,,20,,,0.6815378968625083,0.029980903335184394,0.02609571362963169,0.03110844810335755,0.42578125,-0.0344570058997767,0.08344212107063426,10000,0.005469540838596613,0.0029280563042046706,,,0.04197326466925815,0.533203125
log10_error_advantage,log10(JW/F Trotter-error advantage),two_body_pair_mass_fraction,2B-bearing raw BCH-pair mass fraction,structural_control,20,10,0.07175464743595895,0.763702946482598,0.048120300751879695,0.8403389659546907,0.058370865786720225,0.8068885177711753,20,0.30702197900923617,0.1879372654483225,20,0.32492899109184503,0.16216317316311202,0.029088205482085624,0.9364233624118949,0.00687582050049117,0.008446115881514615,0.87109375,-0.079319967164416,0.0839669657441532,10000,0.7637029464825981,0.8068885177711753,0.21087880714360888,0.19459580779573443,0.9364233624118949,0.87109375
log10_full_bch_advantage,log10(JW/F full BCH cancellation advantage),log10_two_body_cancellation_advantage,2B-bearing cancellation advantage,primary,20,10,0.6442360972000694,0.0021705078625891875,0.41353383458646614,0.06992073829262123,0.6315057975134781,0.0028224524848628803,20,0.4670844579926381,0.037860270405578045,20,0.5872198219134585,0.006484733785324554,0.5561426887894196,0.09502819159556207,0.04664293879167199,0.04806954053941233,0.271484375,-0.028901899674287523,0.11954626166229952,10000,0.007596777519062156,0.008612018000149806,0.11358081121673413,0.01945420135597366,0.1910372640230907,0.533203125
log10_full_bch_advantage,log10(JW/F full BCH cancellation advantage),delta_two_body_cross_destructiveness,Gain in destructive 1B/2B interference,primary,20,10,0.49585908970682047,0.026184425892756748,0.7654135338345864,8.403045414071626e-05,0.5593573066724398,0.010340089330373026,20,0.38970777558444586,0.08940963779992644,20,0.43750897156625956,0.0537132823198965,0.25527509125385317,0.47657429422833697,0.00541219884601238,0.00301799649422485,0.00390625,0.002197970109227462,0.009351967900883752,10000,0.030548496874882872,0.014476125062522235,0.13411445669988967,0.07800257462442525,0.47657429422833697,0.013671875
log10_full_bch_advantage,log10(JW/F full BCH cancellation advantage),delta_two_body_leave_in_reduction,Gain in norm reduction from adding 2B vector,primary,20,10,0.7962654656145276,2.668852131872642e-05,0.9684210526315788,2.644982989972947e-12,0.8554698675083743,1.5280121778005228e-06,20,0.7179573332954076,0.00036435173264109797,20,0.796033971059166,2.6938164728886705e-05,0.7643627928695286,0.010036062944152086,0.06426054044214981,0.0453938186144439,0.00390625,0.02935591310014592,0.10214755333166976,10000,0.00018681964923108495,1.069608524460366e-05,0.002186110395846588,0.00016162898837332023,0.0702524406090646,0.013671875
