representation,number_of_vertices,number_of_possible_pairs,number_of_noncommuting_edges,graph_density,average_degree,maximum_degree,largest_first_greedy_colors,color_group_sizes,pair_analysis_runtime_seconds,coloring_runtime_seconds,total_graph_runtime_seconds
Hermitian fermionic terms,656,214840,107100,0.4985105194563396,326.5243902439024,,52,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 14, 12, 16, 12, 8, 12, 12, 12, 15, 23, 13, 7, 12, 12, 38, 14, 10, 12, 8, 10, 10, 10, 12, 12, 10, 10, 13, 13, 26, 24, 10, 12, 10, 13, 4, 1]",,,
JW Pauli strings,1176,690900,230944,0.3342654508611955,392.76190476190476,456.0,26,"[48, 36, 56, 56, 48, 48, 64, 64, 56, 56, 28, 24, 24, 24, 108, 36, 32, 32, 56, 72, 72, 32, 32, 32, 32, 8]",0.016238750002230518,0.01805962499929592,0.039693124999757856
