case_id,molecule,bond_length,basis,n_qubits,active_occupied,active_vacant,active_alpha_electrons,active_beta_electrons,jw_raw_state_infidelity,signed_coefficient_lexicographic_ratio_to_raw,jw_magnitude_descending_lexicographic_ratio_to_raw,fermionic_signed_coefficient_lexicographic_ratio_to_raw,fermionic_magnitude_descending_lexicographic_ratio_to_raw,best_ordering,best_state_infidelity_ratio_to_raw
O-O_1.26_hgbs-5_as-002-002,O-O,1.26,hgbs-5,4,2,2,2,0,7.571721027943568e-14,0.8651026392961877,0.8475073313782991,0.8944281524926686,0.8944281524926686,jw_magnitude_descending_lexicographic,0.8475073313782991
O-O_1.26_hgbs-5_as-002-004,O-O,1.26,hgbs-5,6,2,4,2,0,1.9317880628477724e-14,0.5402298850574713,1.2873563218390804,1.2183908045977012,1.2183908045977012,signed_coefficient_lexicographic,0.5402298850574713
O-O_1.26_hgbs-5_as-004-004,O-O,1.26,hgbs-5,8,4,4,3,1,4.3520742565306136e-14,1.0918367346938775,0.9591836734693877,1.1938775510204083,1.1683673469387754,jw_magnitude_descending_lexicographic,0.9591836734693877
O-O_1.26_hgbs-5_as-004-006,O-O,1.26,hgbs-5,10,4,6,3,1,1.6566219507296864e-09,0.17299493000848976,0.3778627437787186,0.24318574965935114,0.37719391129217095,signed_coefficient_lexicographic,0.17299493000848976
O-O_1.26_hgbs-5_as-004-008,O-O,1.26,hgbs-5,12,4,8,3,1,1.8360888365265282e-09,0.1688205926490103,0.524346025019443,0.4255788087786578,0.5236267127052346,signed_coefficient_lexicographic,0.1688205926490103
O-O_1.26_hgbs-5_as-006-008,O-O,1.26,hgbs-5,14,6,8,4,2,2.997903769674792e-08,6.867689864211663,6.904650156569803,6.880198616756952,6.881297565445693,jw_raw,1.0
O-O_1.26_hgbs-5_as-006-010,O-O,1.26,hgbs-5,16,6,10,4,2,2.664511833394556e-08,7.737089838581498,7.797066295041177,7.751912435563496,7.754145905199416,jw_raw,1.0
O-O_1.26_hgbs-5_as-008-010,O-O,1.26,hgbs-5,18,8,10,5,3,1.006336450837253e-07,2.0555713871250343,2.0654220051160794,2.057858574432842,2.053621090599707,jw_raw,1.0
O-O_1.26_hgbs-5_as-008-012,O-O,1.26,hgbs-5,20,8,12,5,3,8.92561022869387e-08,2.3216277152964038,2.3381858127257957,2.3229056096894527,2.319060262813331,jw_raw,1.0
O-O_1.26_sto-6g_as-002-002,O-O,1.26,sto-6g,4,2,2,2,0,0.0,,,,,jw_raw,1.0
O-O_1.26_sto-6g_as-002-004,O-O,1.26,sto-6g,6,2,4,2,0,8.304468224196171e-14,1.018716577540107,1.0240641711229947,1.0267379679144386,1.0267379679144386,jw_raw,1.0
O-O_1.26_sto-6g_as-004-004,O-O,1.26,sto-6g,8,4,4,3,1,3.682424776219051e-08,0.052146846315647144,0.9999995899703578,0.9999996080599008,0.9999992161198017,signed_coefficient_lexicographic,0.052146846315647144
O-O_1.26_sto-6g_as-006-004,O-O,1.26,sto-6g,10,6,4,4,2,7.033239957099369e-08,4.557188370133556,4.578264640820764,4.5855537016531756,4.583181580274033,jw_raw,1.0
O-O_1.26_sto-6g_as-008-004,O-O,1.26,sto-6g,12,8,4,5,3,2.8631515324173407e-06,1.1703302511334588,1.1956026438480798,1.1589217416983253,1.1756316541883847,jw_raw,1.0
O-O_1.26_sto-6g_as-010-004,O-O,1.26,sto-6g,14,10,4,6,4,1.2588591347006961e-05,0.3695353069585291,0.4784091693996841,0.3604439908834585,0.4801386350524633,fermionic_signed_coefficient_lexicographic,0.3604439908834585
O-O_1.26_sto-6g_as-012-004,O-O,1.26,sto-6g,16,12,4,7,5,4.192415305470654e-05,0.15661775805231126,0.2645992180781859,0.23554397477847633,0.3047585710215111,signed_coefficient_lexicographic,0.15661775805231126
O-O_1.26_sto-6g_as-014-004,O-O,1.26,sto-6g,18,14,4,8,6,0.00011730751720739896,0.07023113079012401,0.1334963503789486,0.09348183157571348,0.3588565391078784,signed_coefficient_lexicographic,0.07023113079012401
O-O_1.26_sto-6g_as-016-004,O-O,1.26,sto-6g,20,16,4,9,7,0.0002854115469375085,0.15191826333585587,0.20248943093863234,0.04157598691699712,0.04969407864542104,fermionic_signed_coefficient_lexicographic,0.04157598691699712
