specification,fixed_effects,partial_control,feature,feature_label,cases,matched_pairs,n_controls,feature_to_advantage_pearson_r,feature_to_advantage_pearson_p_value,feature_to_cancellation_pearson_r,feature_to_cancellation_pearson_p_value,feature_to_advantage_partial_pearson_r,feature_to_advantage_partial_p_value
bch_adjusted,none,log10_relative_bch_cancellation,two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,20,10,1,-0.16823195521353054,0.4783302900331646,-0.20245527573967384,0.39198408408405305,0.03434661869194433,0.8889839627236825
matched_pair_and_bch_adjusted,matched_pair,log10_relative_bch_cancellation,two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,20,10,10,-0.5095685767169398,0.10934849476797881,-0.4391880935291133,0.17654196540210684,-0.3123317406472793,0.3796133168831319
bch_adjusted,none,log10_relative_bch_cancellation,two_body_parent_fraction,Two-body share of parent count,20,10,1,0.2854686077416222,0.22245019997157392,0.3121513400005497,0.18028901299503372,0.009163345147604907,0.9703008246036945
matched_pair_and_bch_adjusted,matched_pair,log10_relative_bch_cancellation,two_body_parent_fraction,Two-body share of parent count,20,10,10,-0.017407683051120733,0.9594855927093181,0.13000714292908497,0.7032095094303594,-0.4016448003854211,0.24994446301267195
bch_adjusted,none,log10_relative_bch_cancellation,two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,20,10,1,-0.42442726032900313,0.06215591695251908,-0.2766634754262724,0.23766872114750334,-0.4222098905376504,0.07174776581713589
matched_pair_and_bch_adjusted,matched_pair,log10_relative_bch_cancellation,two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,20,10,10,-0.11537735645646102,0.735507762351453,0.010321161025641684,0.9759731615380497,-0.3577336299829538,0.31014704295219625
bch_adjusted,none,log10_relative_bch_cancellation,two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,20,10,1,0.49795356862847434,0.025461027709327098,0.3572728673996781,0.12199601150167114,0.436328273918759,0.0618100771291525
matched_pair_and_bch_adjusted,matched_pair,log10_relative_bch_cancellation,two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,20,10,10,0.2330578271035728,0.4904031589326651,0.10201320534748581,0.765353087741967,0.39534439593173576,0.2581482846963221
bch_adjusted,none,log10_relative_bch_cancellation,two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,20,10,1,-0.04848996385081281,0.839127706685652,-0.18229869949178956,0.4417447336447055,0.27402317935912174,0.2562708190058381
matched_pair_and_bch_adjusted,matched_pair,log10_relative_bch_cancellation,two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,20,10,10,-0.3547709955113559,0.28436470927196333,-0.4223661694535683,0.19563583702619441,0.12922899415713676,0.7219853935059147
bch_adjusted,none,log10_relative_bch_cancellation,two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,20,10,1,-0.1625451710156097,0.49353748507490736,-0.1163069525824227,0.6253289911854327,-0.13460515896334382,0.5827251487602999
matched_pair_and_bch_adjusted,matched_pair,log10_relative_bch_cancellation,two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,20,10,10,0.31055509213237026,0.35263389410961427,0.19830929048493387,0.5588618855694609,0.36411640986945415,0.3009613075460357
bch_adjusted,none,log10_relative_bch_cancellation,two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,20,10,1,-0.007377385666595569,0.9753743900484106,-0.09697694897856526,0.6842064624252581,0.1869751125575197,0.44339487254784515
matched_pair_and_bch_adjusted,matched_pair,log10_relative_bch_cancellation,two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,20,10,10,-0.684417496019938,0.020172306427345143,-0.7507891923541701,0.007751107293438225,0.08230028851803144,0.8211825878363136
bch_adjusted,none,log10_relative_bch_cancellation,two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,20,10,1,0.1787769863998044,0.4507639763713036,0.21694309864252392,0.3582330897457081,-0.04047467924520581,0.8693262632059952
matched_pair_and_bch_adjusted,matched_pair,log10_relative_bch_cancellation,two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,20,10,10,0.17895517146761816,0.5985521254109132,0.3046570418627529,0.3623308144259076,-0.31980535581622693,0.36769133916632535
