case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,occupied_fraction,active_space_imbalance,n_qubits,trotter_steps,evolution_time,coefficient_tolerance,numerical_error_floor,jw_signed_one_minus_overlap,jw_magnitude_one_minus_overlap,fermionic_aware_one_minus_overlap,fermionic_to_jw_signed_ratio,fermionic_to_jw_magnitude_ratio,fermionic_advantage_factor,log10_fermionic_advantage,fermionic_available,valid_comparison,outcome,exclusion_reason,jw_signed_source_csv,jw_magnitude_source_csv,fermionic_aware_source_csv,global_advantage_rank,structure_status,structure_source,structure_unavailable_reason,number_of_fermionic_parents,number_of_one_body_parents,number_of_two_body_parents,one_body_coefficient_mass,two_body_coefficient_mass,total_nonconstant_parent_coefficient_mass,two_body_coefficient_mass_fraction,two_body_parent_fraction,two_body_excitation_rank0_weighted_fraction,two_body_excitation_rank1_weighted_fraction,two_body_excitation_rank2_weighted_fraction,two_body_support2_weighted_fraction,two_body_support3_weighted_fraction,two_body_support4_weighted_fraction,log10_fermionic_error,log10_jw_magnitude_error,log10_jw_magnitude_to_fermionic_advantage
B-B_1.70_hgbs-5_as-002-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-002-004.tensors.npz,B-B,1.70,hgbs-5,2,4,0.3333333333333333,0.3333333333333333,6,100,1.0,1e-12,1e-12,3.0687785645966414e-11,2.480904370827375e-12,2.4777957463584244e-12,0.0807420833469,0.9987469793251588,1.0012545927054397,0.0005445211842339,True,True,tie,,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,82.0,success,active_tensor,,27.0,6.0,21.0,3.7240680687023193,4.311224336675161,8.03529240537748,0.5365360859537543,0.7777777777777778,0.9942505109828649,0.0,0.00574948901713526,0.9830319661124051,0.0,0.016968033887594693,-11.605934496945238,-11.605389975761005,0.0005445211842339812
B-B_1.70_hgbs-5_as-004-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-004.tensors.npz,B-B,1.70,hgbs-5,4,4,0.5,0.0,8,100,1.0,1e-12,1e-12,6.291709153671832e-09,6.309949562854911e-09,6.309949562854911e-09,1.002899118305943,1.0,1.0,0.0,True,True,tie,,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,96.0,success,active_tensor,,48.0,8.0,40.0,9.81190570550658,8.352812445333523,18.164718150840102,0.45983716212779296,0.8333333333333334,0.9833344449004098,0.0,0.016665555099590265,0.9560266916170852,0.0,0.04397330838291526,-8.199974112176045,-8.199974112176045,0.0
B-B_1.70_hgbs-5_as-004-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-006.tensors.npz,B-B,1.70,hgbs-5,4,6,0.4,0.2,10,100,1.0,1e-12,1e-12,6.331447588436845e-09,6.3629838065182315e-09,6.377782524324971e-09,1.0073182215032068,1.0023257512916472,0.9976796452763484,-0.0010088881949687,True,True,jw_magnitude_win,,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,119.0,success,active_tensor,,105.0,12.0,93.0,10.502045274445674,9.92764374132298,20.429689015768652,0.48594199028973617,0.8857142857142857,0.9719396317928699,0.013962865667005725,0.01409750254012444,0.9485485161533665,0.012438696639272372,0.03901278720736083,-8.195330293825561,-8.19633918202053,-0.0010088881949686932
B-B_1.70_hgbs-5_as-004-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-008.tensors.npz,B-B,1.70,hgbs-5,4,8,0.3333333333333333,0.3333333333333333,12,100,1.0,1e-12,1e-12,8.311784815973056e-09,1.0775619174729913e-08,6.889735115755968e-09,0.8289116318935155,0.6393818307826991,1.5640106613224376,0.1942397091699438,True,True,fermionic_win,,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,29.0,success,active_tensor,,202.0,16.0,186.0,11.52467434557995,12.426804036550447,23.951478382130396,0.5188324427531695,0.9207920792079208,0.9741583422583254,0.012971289402537868,0.012870368339136986,0.9058735063444259,0.05471698959411507,0.03940950406145895,-8.161797474750848,-7.967557765580904,0.19423970916994385
B-B_1.70_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-008.tensors.npz,B-B,1.70,hgbs-5,6,8,0.4285714285714285,0.1428571428571428,14,100,1.0,1e-12,1e-12,3.401427117744049e-08,3.797921876991239e-08,5.9443914124379666e-08,1.7476168698215426,1.5651694808286016,0.6389084455381786,-0.194561371022054,True,True,jw_magnitude_win,,analysis/hgbs5_b2_screen_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,186.0,success,active_tensor,,339.0,20.0,319.0,23.200800402391167,20.617023278764623,43.81782368115579,0.4705168250433018,0.9410029498525073,0.9249596123095296,0.060482861521582124,0.014557526168889093,0.8554098321285779,0.07707578845322732,0.06751437941819552,-7.225892601894631,-7.420453972916685,-0.19456137102205406
B-B_1.70_hgbs-5_as-006-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-010.tensors.npz,B-B,1.70,hgbs-5,6,10,0.375,0.25,16,100,1.0,1e-12,1e-12,3.349578303613043e-08,3.58992492399679e-08,6.034795319020958e-08,1.8016582303842512,1.6810366363601297,0.5948710327725238,-0.2255771785171979,True,True,jw_magnitude_win,,analysis/hgbs5_b2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,188.0,success,active_tensor,,516.0,24.0,492.0,24.32312279951075,23.31471990424436,47.63784270375511,0.4894159470912932,0.9534883720930233,0.9219727846288938,0.06450079742631848,0.013526417944788394,0.8575889698200916,0.07758478581029665,0.06482624436961275,-7.219337455198313,-7.444914633715511,-0.22557717851719794
B-B_1.70_hgbs-5_as-008-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-008-010.tensors.npz,B-B,1.70,hgbs-5,8,10,0.4444444444444444,0.1111111111111111,18,100,1.0,1e-12,1e-12,3.4048678987375076e-08,3.8104094324253885e-08,8.629878522903311e-08,2.5345707321283117,2.2648165967325595,0.4415368562040279,-0.3550330389086883,True,True,jw_magnitude_win,,analysis/hgbs5_b2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,190.0,success,active_tensor,,831.0,30.0,801.0,59.06934494728844,35.88031903250133,94.94966397978978,0.3778877936854893,0.9638989169675091,0.9329964075937284,0.05704478938560523,0.009958803020666597,0.8691682047314218,0.0793143397923096,0.051517455476268965,-7.063995317518171,-7.4190283564268595,-0.3550330389086883
B-B_1.70_hgbs-5_as-010-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-010-010.tensors.npz,B-B,1.70,hgbs-5,10,10,0.5,0.0,20,100,1.0,1e-12,1e-12,3.832804708059356e-06,3.690741543160847e-06,1.2800340665197754e-07,0.0333967985331527,0.0346823003331607,28.83315092695487,1.459892105288474,True,True,fermionic_win,,analysis/hgbs5_b2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,10.0,success,active_tensor,,1256.0,36.0,1220.0,102.11609547211334,58.93765241212346,161.0537478842368,0.3659502072220451,0.9713375796178344,0.9284026056967615,0.06463549107212808,0.006961903231110307,0.7838889017417017,0.07766770614925643,0.13844339210904238,-6.8927784719891,-5.432886366700626,1.4598921052884741
B-H_1.29_hgbs-5_as-002-002,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-002.tensors.npz,B-H,1.29,hgbs-5,2,2,0.5,0.0,4,100,1.0,1e-12,1e-12,3.0533120476405884e-10,3.053328700985958e-10,3.053328700985958e-10,1.0000054541904364,1.0,1.0,0.0,True,True,tie,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,96.0,success,reconstructed_from_full_molecular_pickle,,12.0,4.0,8.0,2.1456825155276005,1.1585271925719902,3.3042097080995907,0.3506215691250162,0.6666666666666666,0.9937650971011228,0.0,0.006234902898877137,0.9875301942022457,0.0,0.012469805797754275,-9.515226439939726,-9.515226439939726,0.0
B-H_1.29_hgbs-5_as-002-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-004.tensors.npz,B-H,1.29,hgbs-5,2,4,0.3333333333333333,0.3333333333333333,6,100,1.0,1e-12,1e-12,4.865865488312693e-10,6.015008491289109e-10,6.01500405039701e-10,1.2361632406083625,0.9999992616981164,1.0000007383024283,3.206405523201218e-07,True,True,tie,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,91.0,success,reconstructed_from_full_molecular_pickle,,27.0,6.0,21.0,2.6974030494213617,2.254169360040477,4.951572409461839,0.4552431376612891,0.7777777777777778,0.9935911607357737,0.0,0.00640883926422616,0.9827371988229786,0.0,0.01726280117702142,-9.220764075877838,-9.220763755237286,3.206405523201218e-07
B-H_1.29_hgbs-5_as-004-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-004.tensors.npz,B-H,1.29,hgbs-5,4,4,0.5,0.0,8,100,1.0,1e-12,1e-12,3.980173746143123e-09,4.354561156105774e-09,4.782336304742785e-09,1.201539583385518,1.0982361099779718,0.9105510107658524,-0.04069571920067,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,156.0,success,reconstructed_from_full_molecular_pickle,,70.0,10.0,60.0,9.109263454489811,5.8019318890157985,14.91119534350561,0.3890990464116453,0.8571428571428571,0.9911897274817695,0.0,0.008810272518230534,0.9191772500214959,0.038681672012969945,0.04214107796553399,-8.320359886572724,-8.361055605773394,-0.04069571920067007
B-H_1.29_hgbs-5_as-004-006,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-006.tensors.npz,B-H,1.29,hgbs-5,4,6,0.4,0.2,10,100,1.0,1e-12,1e-12,4.003703590882424e-09,4.395084518549197e-09,4.7989086038313644e-09,1.198617353882003,1.0918808463359126,0.9158508488868152,-0.0381752477073187,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,152.0,success,active_tensor,,165.0,16.0,149.0,9.883825350781716,7.390829285372056,17.274654636153773,0.42784237607297454,0.9030303030303031,0.9740050361168222,0.018882775834478144,0.007112188048699421,0.9143012760721526,0.04697325576615663,0.03872546816169046,-8.318857521213584,-8.357032768920902,-0.0381752477073187
B-H_1.29_hgbs-5_as-004-008,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-008.tensors.npz,B-H,1.29,hgbs-5,4,8,0.3333333333333333,0.3333333333333333,12,100,1.0,1e-12,1e-12,3.192987074740472e-08,1.953607342564112e-08,2.5068024989138852e-08,0.7850963502937574,1.2831659895502356,0.7793224011107958,-0.1082828400716302,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,177.0,success,active_tensor,,414.0,22.0,392.0,12.193682186151598,11.936180199330071,24.12986238548167,0.4946642466768385,0.9468599033816425,0.9656062040557871,0.0172607163460445,0.01713307959816834,0.818714910015093,0.11786114288391937,0.06342394710098762,-7.600879881044043,-7.709162721115673,-0.1082828400716302
B-H_1.29_hgbs-5_as-006-008,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-008.tensors.npz,B-H,1.29,hgbs-5,6,8,0.4285714285714285,0.1428571428571428,14,100,1.0,1e-12,1e-12,4.5038332396885046e-08,2.2486482120775978e-08,2.5603570708021554e-08,0.5684839856502404,1.138620553028417,0.8782557080497762,-0.0563790189154251,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,164.0,success,active_tensor,,751.0,30.0,721.0,46.739766148035045,24.197338519481818,70.93710466751686,0.34110975677531613,0.9600532623169108,0.9756964424128588,0.013846470855263398,0.01045708673187582,0.8271694362951496,0.12814989484525266,0.04468066885959572,-7.5916994631783385,-7.648078482093764,-0.056379018915425134
B-H_1.29_hgbs-5_as-006-010,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-010.tensors.npz,B-H,1.29,hgbs-5,6,10,0.375,0.25,16,100,1.0,1e-12,1e-12,8.588762479000422e-08,3.788002111981825e-08,4.8246144745967e-08,0.5617356966609465,1.2736567541332586,0.7851408919670151,-0.1050524029828949,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,176.0,success,active_tensor,,1220.0,36.0,1184.0,50.667842739645224,31.67726338778351,82.34510612742874,0.3846890832682038,0.9704918032786886,0.9733460715249137,0.012703780338226823,0.013950148136859075,0.7796425600238398,0.15955501410916417,0.06080242586699608,-7.316537384547064,-7.421589787529959,-0.1050524029828949
B-H_1.29_hgbs-5_as-006-012,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-012.tensors.npz,B-H,1.29,hgbs-5,6,12,0.3333333333333333,0.3333333333333333,18,100,1.0,1e-12,1e-12,1.1559578005915229e-07,9.342596829498009e-08,4.47135389824993e-08,0.3868094402721158,0.478598614480743,2.089433545654855,0.3200285629817516,True,True,fermionic_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,20.0,success,active_tensor,,1959.0,46.0,1913.0,53.738038572901246,38.974976080322854,92.71301465322409,0.4203830090748484,0.9765186319550792,0.9342627531244464,0.053654138829032104,0.012083108046520838,0.7514064607012603,0.17507687795702415,0.07351666134171658,-7.349560955277443,-7.029532392295692,0.32002856298175164
B-H_1.29_hgbs-5_as-006-014,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-014.tensors.npz,B-H,1.29,hgbs-5,6,14,0.3,0.4,20,100,1.0,1e-12,1e-12,7.152039249724852e-08,1.7912628091920626e-07,4.839851612814527e-07,6.76709319373593,2.7019215650424355,0.3701069686618731,-0.4316727375936064,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,193.0,success,active_tensor,,3018.0,58.0,2960.0,56.41223930711834,46.51522819058719,102.92746749770552,0.4519224005159178,0.9807819748177601,0.914002707736715,0.07442529697759853,0.01157199528568584,0.7235000092425087,0.19266012988479633,0.08383986087269389,-6.3151679533811516,-6.746840690974758,-0.4316727375936064
Be-Be_2.04_hgbs-5_as-008-002,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-002.tensors.npz,Be-Be,2.04,hgbs-5,8,2,0.8,0.6,10,100,1.0,1e-12,1e-12,3.5859528457748986e-08,4.698764710653336e-09,4.415439236460372e-09,0.1231315476349,0.9397021362762452,1.064166996536474,0.027009785838138,True,True,fermionic_win,,analysis/hgbs5_be2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,58.0,success,active_tensor,,153.0,14.0,139.0,50.527135574966714,21.441422895416743,71.96855847038346,0.2979276416136684,0.9084967320261438,0.9973907744701606,0.0,0.002609225529839199,0.7773040053835292,0.03801151803206658,0.18468447658440446,-8.355026087447087,-8.32801630160895,0.027009785838138005
Be-Be_2.04_hgbs-5_as-008-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-004.tensors.npz,Be-Be,2.04,hgbs-5,8,4,0.6666666666666666,0.3333333333333333,12,100,1.0,1e-12,1e-12,1.8569844884019915e-08,9.107919751727422e-09,8.625814396090448e-09,0.4645065400364923,0.9470674568091646,1.055890995736644,0.0236190863857188,True,True,fermionic_win,,analysis/hgbs5_be2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,60.0,success,active_tensor,,202.0,16.0,186.0,53.981257807092284,25.86929580792626,79.85055361501854,0.32397140203497204,0.9207920792079208,0.9956747560173119,0.0,0.004325243982687701,0.8099895726747269,0.03203334503762736,0.15797708228764584,-8.064199890917745,-8.040580804532027,0.02361908638571884
