specification,fixed_effects,outcome,outcome_label,feature,feature_label,feature_family,cases,molecules,active_space_sizes,n_controls,pearson_r,pearson_p_value,spearman_rho_on_analysis_values,spearman_p_value_on_analysis_values,pearson_fdr_q_value,cluster_bootstrap_95ci_low,cluster_bootstrap_95ci_high,cluster_bootstrap_valid_replicates,leave_one_molecule_out_r_min,leave_one_molecule_out_r_max
raw,none,log10_fermionic_error,log10 fermionic Trotter error,two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,primary_total_fraction,85,11,9,0,0.4176719407761208,6.975415921654632e-05,0.4514754739104944,1.445761886579219e-05,7.971903910462436e-05,,,0,,
raw,none,log10_fermionic_error,log10 fermionic Trotter error,two_body_parent_fraction,Two-body share of parent count,unweighted_sensitivity,85,11,9,0,0.565397769214709,1.7226680230814043e-08,0.5608570323361831,2.368347521526121e-08,2.2968906974418724e-08,,,0,,
raw,none,log10_fermionic_error,log10 fermionic Trotter error,two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,excitation_composition,85,11,9,0,-0.6742346563840174,1.5145357222419941e-12,-0.6571037717412547,8.496436052159587e-12,4.038761925978651e-12,,,0,,
raw,none,log10_fermionic_error,log10 fermionic Trotter error,two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,excitation_composition,85,11,9,0,0.5891491215493131,3.0057654428704917e-09,0.5926909066413586,2.2887094685587697e-09,4.809224708592787e-09,,,0,,
raw,none,log10_fermionic_error,log10 fermionic Trotter error,two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,excitation_composition,85,11,9,0,0.7235807785225004,5.176866706360091e-15,0.8446355286300566,3.0816178902707404e-24,4.1414933650880726e-14,,,0,,
raw,none,log10_fermionic_error,log10 fermionic Trotter error,two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,support_composition,85,11,9,0,-0.6174744969854459,3.0881396958559145e-10,-0.5861051397303108,3.7892301391367245e-09,6.176279391711829e-10,,,0,,
raw,none,log10_fermionic_error,log10 fermionic Trotter error,two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,support_composition,85,11,9,0,0.6937826406260155,1.8295945432696994e-13,0.7216672474663206,6.599092423176588e-15,7.318378173078798e-13,,,0,,
raw,none,log10_fermionic_error,log10 fermionic Trotter error,two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,support_composition,85,11,9,0,0.20717270164046003,0.05711198453706185,0.4236075825679109,5.354863000968911e-05,0.05711198453706185,,,0,,
active_size_adjusted,n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,primary_total_fraction,85,11,9,8,0.3532602953265971,0.0016248149023830585,0.2957006058237248,0.00600349810488506,0.003249629804766117,,,0,,
active_size_adjusted,n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_parent_fraction,Two-body share of parent count,unweighted_sensitivity,85,11,9,8,-0.26765819726859397,0.01860319156100958,-0.2754192059596202,0.010735617326090676,0.02480425541467944,,,0,,
active_size_adjusted,n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,excitation_composition,85,11,9,8,-0.45309758178975873,3.5058674235537276e-05,-0.3279656048465898,0.002182895377447565,0.0001173879325438464,,,0,,
active_size_adjusted,n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,excitation_composition,85,11,9,8,0.30788018189110533,0.006450543610775656,0.17350937956304086,0.11227212233041926,0.01032086977724105,,,0,,
active_size_adjusted,n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,excitation_composition,85,11,9,8,0.7886982338189041,1.647005039845064e-17,0.8913034981434436,3.0080961440815375e-30,1.3176040318760513e-16,,,0,,
active_size_adjusted,n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,support_composition,85,11,9,8,-0.1440005424051928,0.21149851672257095,-0.2122923588039867,0.05111009389840374,0.21149851672257095,,,0,,
active_size_adjusted,n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,support_composition,85,11,9,8,0.44796890407074524,4.40204747039424e-05,0.3103805513482273,0.003840676737529573,0.0001173879325438464,,,0,,
active_size_adjusted,n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,support_composition,85,11,9,8,-0.2070825923612149,0.07075243614742151,0.024272034395153408,0.8254847014824828,0.08085992702562458,,,0,,
molecule_and_active_size_adjusted,molecule+n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,primary_total_fraction,85,11,9,18,-0.006247191710041661,0.9599840313323975,0.04920852061754935,0.6547061904107256,0.9860134831183286,-0.1826664304107831,0.2826761543228077,2000,-0.05106731193555181,0.08644209100743389
