case_id,molecule,basis,bond_length,active_occupied,active_vacant,n_qubits,evolution_times,formula_orders,trotter_steps,orderings,factorization_levels,observed_rows,unique_grid_rows,expected_rows_from_global_grid,missing_rows_from_global_grid,grid_complete,status,error_message,output_path
B-B_1.36_sto-6g_as-002-002,B-B,sto-6g,1.36,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/B-B/case_B-B_1.36_sto-6g_as-002-002_state_infidelity.png
B-B_1.61_sto-6g_as-002-002,B-B,sto-6g,1.61,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/B-B/case_B-B_1.61_sto-6g_as-002-002_state_infidelity.png
B-B_1.87_sto-6g_as-002-002,B-B,sto-6g,1.87,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/B-B/case_B-B_1.87_sto-6g_as-002-002_state_infidelity.png
B-B_2.12_sto-6g_as-002-002,B-B,sto-6g,2.12,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/B-B/case_B-B_2.12_sto-6g_as-002-002_state_infidelity.png
B-B_2.38_sto-6g_as-002-002,B-B,sto-6g,2.38,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/B-B/case_B-B_2.38_sto-6g_as-002-002_state_infidelity.png
Be-Be_1.63_sto-6g_as-002-002,Be-Be,sto-6g,1.63,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Be-Be/case_Be-Be_1.63_sto-6g_as-002-002_state_infidelity.png
Be-Be_1.94_sto-6g_as-002-002,Be-Be,sto-6g,1.94,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Be-Be/case_Be-Be_1.94_sto-6g_as-002-002_state_infidelity.png
Be-Be_2.24_sto-6g_as-002-002,Be-Be,sto-6g,2.24,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Be-Be/case_Be-Be_2.24_sto-6g_as-002-002_state_infidelity.png
Be-Be_2.55_sto-6g_as-002-002,Be-Be,sto-6g,2.55,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Be-Be/case_Be-Be_2.55_sto-6g_as-002-002_state_infidelity.png
Be-Be_2.86_sto-6g_as-002-002,Be-Be,sto-6g,2.86,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Be-Be/case_Be-Be_2.86_sto-6g_as-002-002_state_infidelity.png
