molecule,L,basis,active_occupied,active_vacant,qubits,scheme,vertices,noncommuting_edges,colors,order,steps,spectral_error,reconstruction_error,file
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,5,0.001564721442193952,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,10,0.0007823396489744656,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,1,0.0002797085945401102,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,2,6.987326600629884e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,5,1.117730720875371e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,10,2.7942405329809717e-06,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,1,0.03269182520997931,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,2,0.017385457920373815,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,5,0.007072957030147364,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,10,0.003544908128048223,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
