molecule,L,basis,active_occupied,active_vacant,qubits,scheme,vertices,noncommuting_edges,colors,order,steps,spectral_error,reconstruction_error,file
B-B,1.36,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,1,1,0.00783034807148464,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,1,2,0.003912541071514354,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,1,5,0.0015647214421903267,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,1,10,0.0007823396489713876,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,2,1,0.00024330824041019582,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,2,2,6.077694776496453e-05,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,2,5,9.722065399124995e-06,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,2,10,2.430436119417848e-06,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,1,0.007830348071489714,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,2,0.003912541071519577,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,5,0.0015647214422028653,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,10,0.0007823396489840098,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,1,0.0002797085945339776,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,2,6.987326599960144e-05,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,5,1.1177307209031748e-05,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,10,2.794240535864562e-06,1.4210854715202004e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,1,0.0326918252099753,2.842170943040401e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,2,0.017385457920367893,2.842170943040401e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,5,0.007072957030134677,2.842170943040401e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,10,0.003544908128033648,2.842170943040401e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,1,0.006669373837030627,2.842170943040401e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,2,0.0017261495422896103,2.842170943040401e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,5,0.0002788646346712216,2.842170943040401e-14,/Users/a_lee/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
