config_path,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,status,error
hamiltonian_generator/library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-002.tensors.npz,B-B,,hgbs-5,2,2,4,skipped,
hamiltonian_generator/library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004.tensors.npz,B-B,,hgbs-5,2,4,6,skipped,
hamiltonian_generator/library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-004-004.tensors.npz,B-B,,hgbs-5,4,4,8,skipped,
hamiltonian_generator/library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002.tensors.npz,B-B,,sto-6g,2,2,4,skipped,
hamiltonian_generator/library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004.tensors.npz,B-B,,sto-6g,2,4,6,skipped,
hamiltonian_generator/library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-004-004.tensors.npz,B-B,1.36,sto-6g,4,4,8,success,
hamiltonian_generator/library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002.tensors.npz,B-B,1.87,hgbs-5,2,2,4,success,
hamiltonian_generator/library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004.tensors.npz,B-B,1.87,hgbs-5,2,4,6,success,
hamiltonian_generator/library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-004-004.tensors.npz,B-B,1.87,hgbs-5,4,4,8,success,
hamiltonian_generator/library/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-002-002.tensors.npz,B-B,1.87,sto-6g,2,2,4,success,
hamiltonian_generator/library/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-002-004.tensors.npz,B-B,1.87,sto-6g,2,4,6,success,
hamiltonian_generator/library/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-004-004.tensors.npz,B-B,1.87,sto-6g,4,4,8,success,
hamiltonian_generator/library/B-B/2.38/hgbs-5/B-B_2.38_hgbs-5_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/2.38/hgbs-5/B-B_2.38_hgbs-5_as-002-002.tensors.npz,B-B,2.38,hgbs-5,2,2,4,success,
hamiltonian_generator/library/B-B/2.38/hgbs-5/B-B_2.38_hgbs-5_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/2.38/hgbs-5/B-B_2.38_hgbs-5_as-002-004.tensors.npz,B-B,2.38,hgbs-5,2,4,6,success,
hamiltonian_generator/library/B-B/2.38/hgbs-5/B-B_2.38_hgbs-5_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/2.38/hgbs-5/B-B_2.38_hgbs-5_as-004-004.tensors.npz,B-B,2.38,hgbs-5,4,4,8,success,
hamiltonian_generator/library/B-B/2.38/sto-6g/B-B_2.38_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/2.38/sto-6g/B-B_2.38_sto-6g_as-002-002.tensors.npz,B-B,2.38,sto-6g,2,2,4,success,
hamiltonian_generator/library/B-B/2.38/sto-6g/B-B_2.38_sto-6g_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/2.38/sto-6g/B-B_2.38_sto-6g_as-002-004.tensors.npz,B-B,2.38,sto-6g,2,4,6,success,
hamiltonian_generator/library/B-B/2.38/sto-6g/B-B_2.38_sto-6g_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-B/2.38/sto-6g/B-B_2.38_sto-6g_as-004-004.tensors.npz,B-B,2.38,sto-6g,4,4,8,success,
hamiltonian_generator/library/B-H/0.94/hgbs-5/B-H_0.94_hgbs-5_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/0.94/hgbs-5/B-H_0.94_hgbs-5_as-002-002.tensors.npz,B-H,0.936,hgbs-5,2,2,4,success,
hamiltonian_generator/library/B-H/0.94/hgbs-5/B-H_0.94_hgbs-5_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/0.94/hgbs-5/B-H_0.94_hgbs-5_as-002-004.tensors.npz,B-H,0.936,hgbs-5,2,4,6,success,
hamiltonian_generator/library/B-H/0.94/hgbs-5/B-H_0.94_hgbs-5_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/0.94/hgbs-5/B-H_0.94_hgbs-5_as-004-004.tensors.npz,B-H,0.936,hgbs-5,4,4,8,success,
hamiltonian_generator/library/B-H/0.94/sto-6g/B-H_0.94_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/0.94/sto-6g/B-H_0.94_sto-6g_as-002-002.tensors.npz,B-H,0.936,sto-6g,2,2,4,success,
hamiltonian_generator/library/B-H/0.94/sto-6g/B-H_0.94_sto-6g_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/0.94/sto-6g/B-H_0.94_sto-6g_as-002-004.tensors.npz,B-H,0.936,sto-6g,2,4,6,success,
hamiltonian_generator/library/B-H/0.94/sto-6g/B-H_0.94_sto-6g_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/0.94/sto-6g/B-H_0.94_sto-6g_as-004-004.tensors.npz,B-H,0.936,sto-6g,4,4,8,success,
hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-002.tensors.npz,B-H,1.287,hgbs-5,2,2,4,success,
hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-004.tensors.npz,B-H,1.287,hgbs-5,2,4,6,success,
hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-004.tensors.npz,B-H,1.287,hgbs-5,4,4,8,success,
hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-002-002.tensors.npz,B-H,1.287,sto-6g,2,2,4,success,
hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-002-004.tensors.npz,B-H,1.287,sto-6g,2,4,6,success,
hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-004-004.tensors.npz,B-H,1.287,sto-6g,4,4,8,success,
hamiltonian_generator/library/B-H/1.64/hgbs-5/B-H_1.64_hgbs-5_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.64/hgbs-5/B-H_1.64_hgbs-5_as-002-002.tensors.npz,B-H,1.638,hgbs-5,2,2,4,success,
hamiltonian_generator/library/B-H/1.64/hgbs-5/B-H_1.64_hgbs-5_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.64/hgbs-5/B-H_1.64_hgbs-5_as-002-004.tensors.npz,B-H,1.638,hgbs-5,2,4,6,success,
hamiltonian_generator/library/B-H/1.64/hgbs-5/B-H_1.64_hgbs-5_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.64/hgbs-5/B-H_1.64_hgbs-5_as-004-004.tensors.npz,B-H,1.638,hgbs-5,4,4,8,success,
hamiltonian_generator/library/B-H/1.64/sto-6g/B-H_1.64_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.64/sto-6g/B-H_1.64_sto-6g_as-002-002.tensors.npz,B-H,1.638,sto-6g,2,2,4,success,
