representation,number_of_vertices,number_of_possible_pairs,number_of_noncommuting_edges,graph_density,average_degree,maximum_degree,largest_first_greedy_colors,color_group_sizes,pair_analysis_runtime_seconds,coloring_runtime_seconds,total_graph_runtime_seconds
Hermitian fermionic terms,498,123753,73260,0.5919856488327556,294.2168674698795,,65,"[10, 9, 10, 8, 8, 8, 9, 8, 8, 8, 4, 10, 10, 10, 10, 4, 4, 8, 6, 11, 8, 8, 7, 6, 7, 6, 7, 7, 9, 6, 4, 5, 8, 9, 4, 8, 10, 8, 8, 6, 5, 5, 6, 6, 5, 6, 7, 6, 4, 6, 5, 12, 10, 18, 12, 14, 20, 13, 8, 9, 5, 4, 4, 2, 2]",,,
JW Pauli strings,918,420903,165168,0.3924134539311908,359.84313725490193,372.0,34,"[66, 36, 36, 36, 24, 22, 36, 22, 20, 56, 26, 24, 26, 24, 18, 16, 20, 42, 38, 40, 12, 48, 42, 36, 14, 36, 24, 14, 22, 14, 12, 12, 2, 2]",0.005859875000169268,0.008949167000537273,0.0172528750008496
