feature,description,category,H2O,NH3,BeH2,O2,H2O_NH3_mean,H2O_NH3_std,O2_minus_H2O_NH3_mean,symmetric_relative_gap,range_normalized_gap,H2O_NH3_consistency,anchor_separation_score,spearman_vs_log10_advantage,combined_score,direction
support_size4_coefficient_mass_fraction,support size4 coefficient mass fraction,parent_type,0.027368998417884326,0.023990317310400057,0.03333539071068681,0.05282897859085005,0.02567965786414219,0.0016893405537421347,0.027149320726707858,0.6916263471795602,0.9414209786885165,0.882841957377033,0.831125939541172,-0.6000000000000001,0.773344454655879,O2 higher
excitation_rank2_coefficient_mass_fraction,Fraction of |coefficient| mass in parents transferring two particles across the occupied/virtual split,parent_type,0.0014376607310945077,0.00074111022313175,0.002991321313343395,0.006008279842997822,0.001089385477113129,0.0003482752539813789,0.004918894365884692,1.3860598222195164,0.9338781016909352,0.8677562033818708,0.8103785159447946,-0.6000000000000001,0.757783886958596,O2 higher
virtual_orbital_coefficient_mass_gini,Gini concentration of parent |coefficient| incidence across virtual orbitals,orbital_concentration,0.1667943184109426,0.125033503100481,0.11566257305193206,0.38951835893741427,0.1459139107557118,0.020880407655230804,0.24360444818170246,0.909935623870109,0.8895355173674151,0.8475080043482278,0.7538884711209263,0.39999999999999997,0.6654163533406947,O2 higher
ov_coupling_singular_entropy,ov coupling singular entropy,network_rank,0.7195126928957893,0.5944918134823404,0.46865004563163326,0.2885750315024382,0.6570022531890649,0.06251043970672449,-0.3684272216866267,0.779264112307491,0.8549431964135848,0.7098863928271694,0.6069125417741699,0.7999999999999999,0.6551844063306274,H2O/NH3 higher
virtual_orbital_coefficient_mass_top1_fraction,Largest virtual-orbital share of coefficient-weighted parent incidence,orbital_concentration,0.14488550716916124,0.1277201332354378,0.10026285796683845,0.2883485435340642,0.1363028202022995,0.008582686966861722,0.1520457233317647,0.7160967151687214,0.8083854062217849,0.9087364150974255,0.7346092560670608,0.39999999999999997,0.6509569420502956,O2 higher
ov_coupling_top_singular_fraction,Largest singular-value share of the coefficient-weighted occupied-to-virtual incidence network,network_rank,0.5389289211631411,0.6333274247419209,0.7765890945950875,0.8528552615580868,0.586128172952531,0.04719925178938994,0.26672708860555583,0.3707159960410057,0.8496486413659674,0.6992972827319344,0.5941569861841008,-0.7999999999999999,0.6456177396380756,O2 higher
virtual_orbital_coefficient_mass_entropy,Normalized entropy of parent |coefficient| incidence across virtual orbitals,orbital_concentration,0.9808823314631979,0.9879752756568677,0.9888365502819386,0.8513125215982156,0.9844288035600328,0.003546472096834896,-0.13311628196181724,0.14502727605191534,0.9679492612011628,0.9484239644405553,0.6992137376013405,-0.39999999999999997,0.6244103032010054,H2O/NH3 higher
parent_orbital_incidence_top_singular_fraction,Largest singular-value share of the |coefficient|-weighted parent-orbital incidence matrix,network_rank,0.09523957010011767,0.09627197761574924,0.09794083399535243,0.10444877139767116,0.09575577385793346,0.0005162037578157821,0.008692997539737693,0.0868411606603547,0.9439469568383825,0.8878939136767665,0.49397102486647326,-0.7999999999999999,0.570478268649855,O2 higher
mixed_occ_virtual_coefficient_mass_fraction,Fraction of |coefficient| mass in parents touching both occupied and virtual orbitals,parent_type,0.17815411086536448,0.16233097387993234,0.22490566839475792,0.21318199879065367,0.1702425423726484,0.00791156849271607,0.042939456418005256,0.223978654510364,0.6862112032817319,0.7471320138577229,0.4852756069568268,-0.7999999999999999,0.5639567052176201,O2 higher
ov_coupling_effective_rank,ov coupling effective rank,network_rank,3.0077875767216744,2.3127085896903816,1.621921748234916,1.3584498275384558,2.660248083206028,0.3475394935156464,-1.3017982556675722,0.6478706708394546,0.7892854306598184,0.5785708613196368,0.45665755144389153,0.7999999999999999,0.5424931635829187,H2O/NH3 higher
ov_coupling_effective_rank_fraction,"Participation-ratio effective rank of occupied-to-virtual incidence coupling, normalized by matrix rank limit",network_rank,0.3759734470902093,0.2890885737112977,0.270320291372486,0.16980622844230697,0.3325310104007535,0.0434424366894558,-0.16272478195844653,0.6478706708394523,0.7892854306598184,0.5785708613196368,0.45665755144389153,0.7999999999999999,0.5424931635829187,H2O/NH3 higher
support_size3_coefficient_mass_fraction,support size3 coefficient mass fraction,parent_type,0.04383952047835496,0.040985478070175614,0.05520999534743704,0.012832511613365755,0.04241249927426528,0.0014270212040896728,-0.029579987660899528,1.0708654839824172,0.698011893450799,0.9326519142550054,0.6510021285996485,-0.19999999999999998,0.5382515964497364,H2O/NH3 higher
ov_coupling_frobenius_norm,ov coupling frobenius norm,network_rank,2.9433707971647793,1.9923181772850478,2.937940388530157,5.448774585424563,2.4678444872249137,0.4755263099398658,2.9809300981996496,0.7530816048730289,0.8624237502836541,0.7248475005673083,0.6251256998229912,0.0,0.46884427486724334,O2 higher
support_size3_parent_fraction,support size3 parent fraction,parent_type,0.23408924652523774,0.2262605579728692,0.24049513704686118,0.19489559164733178,0.23017490224905346,0.00391434427618427,-0.03527931060172168,0.16599275230014512,0.7736768051658202,0.8283165219351214,0.5221922951569171,-0.19999999999999998,0.44164422136768783,H2O/NH3 higher
same_sign_coeffproduct_edge_fraction,|c_i c_j|-weighted fraction of overlap edges joining same-sign parent coefficients,parent_graph,0.8264334894753547,0.8287077516646502,0.8472490930667921,0.8541923020255244,0.8275706205700024,0.0011371310946477475,0.026621681455522017,0.03165925600789886,0.9590353120259536,0.9180706240519072,0.31332210647635356,-0.7999999999999999,0.4349915798572651,O2 higher
