case_id,molecule,body_rank,excitation_rank,parent_count,parent_fraction,absolute_coefficient_mass,coefficient_mass_fraction,positive_parent_fraction,mean_support_size
H2O_s-1.00_hgbs-5_as-008-010,H2O,1,0,24,0.01755669348939283,52.40730281484028,0.5659025036200471,0.08333333333333333,1.25
H2O_s-1.00_hgbs-5_as-008-010,H2O,1,1,14,0.010241404535479151,2.0982443170739398,0.0226571803634672,1.0,2.0
H2O_s-1.00_hgbs-5_as-008-010,H2O,2,0,569,0.4162399414776884,35.36752816692591,0.3819042702355661,0.3409490333919156,3.2934973637961336
H2O_s-1.00_hgbs-5_as-008-010,H2O,2,1,618,0.4520848573518654,2.6021453598354274,0.028098385049824943,0.529126213592233,3.6375404530744335
H2O_s-1.00_hgbs-5_as-008-010,H2O,2,2,142,0.10387710314557425,0.1331394026312017,0.0014376607310945077,0.44366197183098594,4.0
NH3_s-1.00_hgbs-5_as-008-010,NH3,1,0,28,0.007166624008190427,43.368256229137586,0.5742849025806188,0.14285714285714285,1.3571428571428572
NH3_s-1.00_hgbs-5_as-008-010,NH3,1,1,20,0.005119017148707448,1.375479768453343,0.018214180912746108,0.8,2.0
NH3_s-1.00_hgbs-5_as-008-010,NH3,2,0,1545,0.39544407473765036,28.930470099254027,0.3830989218192044,0.4284789644012945,3.5637540453074434
NH3_s-1.00_hgbs-5_as-008-010,NH3,2,1,1888,0.4832352188379831,1.7867983216077732,0.02366088446429885,0.4883474576271186,3.7266949152542375
NH3_s-1.00_hgbs-5_as-008-010,NH3,2,2,426,0.10903506526746864,0.05596639909282504,0.00074111022313175,0.5,4.0
BeH2_s-1.00_hgbs-5_as-006-012,BeH2,1,0,28,0.02475685234305924,41.651152561744546,0.5334216177014123,0.14285714285714285,1.3571428571428572
BeH2_s-1.00_hgbs-5_as-006-012,BeH2,1,1,6,0.005305039787798408,0.28720846350660467,0.0036782464301346384,0.6666666666666666,2.0
BeH2_s-1.00_hgbs-5_as-006-012,BeH2,2,0,593,0.5243147656940761,34.24403329093837,0.43855947581749877,0.4502529510961214,3.1871838111298483
BeH2_s-1.00_hgbs-5_as-006-012,BeH2,2,1,414,0.3660477453580902,1.6670201119414403,0.021349338737610853,0.4613526570048309,3.7681159420289854
BeH2_s-1.00_hgbs-5_as-006-012,BeH2,2,2,90,0.07957559681697612,0.23357129941630025,0.002991321313343395,0.4,4.0
O-O_1.26_hgbs-5_as-008-010,O2,1,0,20,0.015467904098994586,49.122556080976565,0.556461530164257,0.1,1.1
O-O_1.26_hgbs-5_as-008-010,O2,1,1,10,0.007733952049497293,0.2725080671316549,0.0030869781240253835,0.8,2.0
O-O_1.26_hgbs-5_as-008-010,O2,2,0,533,0.41221964423820573,35.34518637605735,0.40039114541066273,0.3714821763602251,3.2908067542213884
O-O_1.26_hgbs-5_as-008-010,O2,2,1,592,0.45784996133023975,3.0060021287820176,0.03405206645805719,0.5101351351351351,3.695945945945946
O-O_1.26_hgbs-5_as-008-010,O2,2,2,138,0.10672853828306264,0.5303907773296407,0.006008279842997822,0.45652173913043476,4.0
