representation,number_of_vertices,number_of_possible_pairs,number_of_noncommuting_edges,graph_density,average_degree,maximum_degree,largest_first_greedy_colors,color_group_sizes,pair_analysis_runtime_seconds,coloring_runtime_seconds,total_graph_runtime_seconds
Hermitian fermionic terms,3680,6769360,3379643,0.4992559119325904,1836.7625,,277,"[16, 20, 12, 15, 12, 16, 13, 15, 16, 17, 17, 16, 14, 15, 15, 15, 14, 14, 12, 14, 15, 14, 15, 16, 17, 14, 17, 17, 15, 12, 16, 12, 11, 10, 11, 14, 13, 9, 11, 11, 13, 13, 10, 10, 13, 12, 13, 10, 14, 10, 15, 11, 14, 13, 13, 13, 15, 12, 12, 12, 9, 11, 13, 13, 14, 13, 12, 16, 15, 13, 14, 15, 12, 14, 12, 15, 12, 15, 13, 11, 13, 14, 11, 13, 13, 13, 12, 19, 12, 11, 14, 13, 13, 13, 11, 13, 11, 12, 16, 13, 10, 12, 12, 12, 12, 12, 12, 12, 12, 12, 13, 12, 12, 12, 13, 11, 14, 12, 14, 14, 14, 13, 14, 12, 13, 13, 15, 12, 12, 14, 12, 12, 12, 14, 12, 14, 12, 14, 15, 14, 14, 12, 12, 12, 11, 12, 12, 12, 12, 11, 12, 14, 14, 12, 12, 13, 12, 12, 11, 12, 11, 12, 14, 13, 13, 12, 12, 13, 12, 16, 12, 13, 12, 13, 13, 13, 11, 11, 13, 11, 13, 14, 11, 11, 10, 11, 12, 11, 13, 13, 11, 13, 12, 11, 11, 10, 10, 11, 11, 13, 10, 10, 13, 12, 14, 11, 10, 15, 13, 11, 9, 10, 15, 12, 8, 10, 15, 11, 11, 11, 12, 9, 15, 11, 8, 13, 11, 9, 17, 9, 18, 12, 11, 15, 12, 16, 9, 18, 26, 17, 18, 11, 13, 22, 22, 11, 13, 14, 17, 16, 9, 41, 48, 27, 35, 24, 24, 16, 27, 33, 21, 18, 14, 14, 12, 10, 16, 9, 8, 10, 9, 6, 5, 4, 5, 5, 2]",,,
JW Pauli strings,7150,25557675,7560400,0.29581720559479685,2114.7972027972028,2148.0,115,"[190, 120, 116, 112, 68, 120, 72, 64, 64, 56, 116, 64, 64, 64, 52, 112, 64, 64, 64, 52, 68, 56, 52, 52, 36, 120, 99, 96, 83, 36, 88, 91, 68, 86, 46, 127, 96, 78, 52, 68, 68, 46, 62, 56, 42, 55, 39, 33, 41, 32, 44, 56, 46, 50, 51, 45, 98, 129, 134, 99, 104, 72, 113, 89, 86, 90, 82, 79, 88, 87, 91, 112, 89, 101, 95, 74, 65, 77, 60, 70, 71, 64, 56, 69, 62, 40, 52, 54, 34, 38, 40, 38, 28, 38, 36, 32, 26, 30, 24, 16, 16, 18, 18, 14, 12, 12, 8, 12, 14, 10, 8, 4, 4, 4, 2]",0.1258068749884842,0.18027108299429528,0.329266540997196
