scope,outcome,feature,feature_label,fixed_effects,cases,molecules,active_space_sizes,n_controls,predicted_direction,pearson_r,pearson_p_value,direction_aligned_pearson_r,spearman_rho,spearman_p_value,pearson_fdr_q_value
independent_bch_subset,signed_bch_cancellation_strength,opposite_sign_interaction_weight_fraction,Opposite-sign share of interaction weight,none,7,7,2,0,positive,0.3413192025051275,0.4537123587500619,0.3413192025051275,0.5714285714285715,0.18020198891152753,0.8281545899728783
independent_bch_subset,signed_bch_cancellation_strength,signed_order_weighted_mean_span_fraction,Signed-order weighted mean span,none,7,7,2,0,negative,0.33342612680103284,0.4648906258368776,-0.33342612680103284,0.39285714285714296,0.3833168704269725,0.8281545899728783
independent_bch_subset,signed_bch_cancellation_strength,signed_order_weighted_local_5pct_fraction,Signed-order interaction weight within 5%,none,7,7,2,0,positive,-0.2740017996131463,0.5521030599819189,-0.2740017996131463,0.0,1.0,0.8281545899728783
independent_bch_subset,signed_bch_cancellation_strength,signed_order_weighted_local_10pct_fraction,Signed-order interaction weight within 10%,none,7,7,2,0,positive,-0.31719359222449284,0.4881905107959518,-0.31719359222449284,-0.14285714285714288,0.7599453002180928,0.8281545899728783
independent_bch_subset,signed_bch_cancellation_strength,signed_order_opposite_sign_local_10pct_interaction_fraction,Opposite-sign local interaction weight (10%),none,7,7,2,0,positive,0.6988309824427584,0.08064124159883862,0.6988309824427584,0.14285714285714288,0.7599453002180928,0.4332332195034564
independent_bch_subset,signed_bch_cancellation_strength,signed_order_opposite_sign_local_10pct_enrichment,Opposite-sign enrichment in 10% window,none,7,7,2,0,positive,0.6748464111400828,0.09627404877854587,0.6748464111400828,0.03571428571428572,0.9394082054712856,0.4332332195034564
independent_bch_subset,signed_bch_cancellation_strength,signed_vs_magnitude_weighted_span_improvement,Signed-vs-magnitude span improvement,none,7,7,2,0,positive,-0.06290607455982122,0.8934185041389752,-0.06290607455982122,-0.5,0.25316999510032256,0.8934185041389752
independent_bch_subset,signed_bch_cancellation_strength,signed_vs_magnitude_weighted_local_10pct_improvement,Signed-vs-magnitude locality improvement (10%),none,7,7,2,0,positive,0.09077600920079418,0.8465280140788117,0.09077600920079418,-0.1785714285714286,0.7016579425162728,0.8934185041389752
independent_bch_subset,signed_bch_cancellation_strength,signed_vs_magnitude_opposite_sign_local_10pct_improvement,Signed-vs-magnitude opposite-sign locality improvement,none,7,7,2,0,positive,0.11479340997240817,0.8064021264966703,0.11479340997240817,-0.1785714285714286,0.7016579425162728,0.8934185041389752
independent_bch_subset,log10_signed_bch_cancellation_advantage_vs_fermionic_magnitude,opposite_sign_interaction_weight_fraction,Opposite-sign share of interaction weight,none,7,7,2,0,positive,0.009262048952863968,0.9842769317702045,0.009262048952863968,0.28571428571428575,0.5345092286010408,0.9891330730448453
independent_bch_subset,log10_signed_bch_cancellation_advantage_vs_fermionic_magnitude,signed_order_weighted_mean_span_fraction,Signed-order weighted mean span,none,7,7,2,0,negative,-0.1087757370042417,0.8164271155037224,0.1087757370042417,0.25,0.5887244480896834,0.9891330730448453
independent_bch_subset,log10_signed_bch_cancellation_advantage_vs_fermionic_magnitude,signed_order_weighted_local_5pct_fraction,Signed-order interaction weight within 5%,none,7,7,2,0,positive,0.1917384031647102,0.6804450099635175,0.1917384031647102,-0.03571428571428572,0.9394082054712856,0.9891330730448453
independent_bch_subset,log10_signed_bch_cancellation_advantage_vs_fermionic_magnitude,signed_order_weighted_local_10pct_fraction,Signed-order interaction weight within 10%,none,7,7,2,0,positive,0.1730643077504913,0.7105769533354012,0.1730643077504913,0.0,1.0,0.9891330730448453
independent_bch_subset,log10_signed_bch_cancellation_advantage_vs_fermionic_magnitude,signed_order_opposite_sign_local_10pct_interaction_fraction,Opposite-sign local interaction weight (10%),none,7,7,2,0,positive,0.52949042439778,0.22162336816865905,0.52949042439778,0.5357142857142858,0.21521745567801284,0.9891330730448453
independent_bch_subset,log10_signed_bch_cancellation_advantage_vs_fermionic_magnitude,signed_order_opposite_sign_local_10pct_enrichment,Opposite-sign enrichment in 10% window,none,7,7,2,0,positive,0.5046784380955924,0.24803546360695933,0.5046784380955924,0.39285714285714296,0.3833168704269725,0.9891330730448453
independent_bch_subset,log10_signed_bch_cancellation_advantage_vs_fermionic_magnitude,signed_vs_magnitude_weighted_span_improvement,Signed-vs-magnitude span improvement,none,7,7,2,0,positive,0.07972247567129792,0.865088603315649,0.07972247567129792,-0.10714285714285716,0.8191508555699912,0.9891330730448453
independent_bch_subset,log10_signed_bch_cancellation_advantage_vs_fermionic_magnitude,signed_vs_magnitude_weighted_local_10pct_improvement,Signed-vs-magnitude locality improvement (10%),none,7,7,2,0,positive,0.023064541603177127,0.9608548320928256,0.023064541603177127,0.1785714285714286,0.7016579425162728,0.9891330730448453
independent_bch_subset,log10_signed_bch_cancellation_advantage_vs_fermionic_magnitude,signed_vs_magnitude_opposite_sign_local_10pct_improvement,Signed-vs-magnitude opposite-sign locality improvement,none,7,7,2,0,positive,0.006401279504086818,0.9891330730448454,0.006401279504086818,0.1785714285714286,0.7016579425162728,0.9891330730448453
independent_bch_subset,log10_jw_magnitude_to_fermionic_ratio,signed_bch_cancellation_strength,signed_bch_cancellation_strength,none,8,8,2,0,positive,0.8519925979737604,0.007232553542462669,0.8519925979737604,0.880952380952381,0.0038503204637324023,0.007232553542462669
independent_bch_subset,log10_fermionic_infidelity,signed_bch_cancellation_strength,signed_bch_cancellation_strength,none,8,8,2,0,negative,-0.8697806859221724,0.004995244660411958,0.8697806859221724,-0.8333333333333335,0.010175540123456757,0.004995244660411958
