scope,outcome,feature,feature_label,fixed_effects,cases,molecules,active_space_sizes,n_controls,predicted_direction,pearson_r,pearson_p_value,direction_aligned_pearson_r,spearman_rho,spearman_p_value,pearson_fdr_q_value,supports_predicted_direction_at_q_0_05
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,opposite_sign_interaction_weight_fraction,Opposite-sign share of interaction weight,none,26,3,9,0,positive,0.11682079285961203,0.5698126097064484,0.11682079285961203,-0.08307692307692308,0.6865981544916889,0.7326162124797194,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_order_weighted_mean_span_fraction,Signed-order weighted mean span,none,26,3,9,0,negative,-0.17468427558888547,0.3933807540562602,0.17468427558888547,-0.042735042735042736,0.8357878719483253,0.5900711310843904,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_order_weighted_local_5pct_fraction,Signed-order interaction weight within 5%,none,26,3,9,0,positive,0.18162759600728678,0.3745443650215679,0.18162759600728678,-0.05299145299145299,0.7971047301741517,0.5900711310843904,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_order_weighted_local_10pct_fraction,Signed-order interaction weight within 10%,none,26,3,9,0,positive,0.22115489644654432,0.2775997722348284,0.22115489644654432,-0.07555555555555556,0.7137407418062233,0.5900711310843904,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_order_opposite_sign_local_10pct_interaction_fraction,Opposite-sign local interaction weight (10%),none,26,3,9,0,positive,-0.06286184192160511,0.7603118238208784,-0.06286184192160511,0.10153846153846154,0.6216154509711339,0.8553508017984881,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_order_opposite_sign_local_10pct_enrichment,Opposite-sign enrichment in 10% window,none,26,3,9,0,positive,0.025018954039616067,0.9034402356668612,0.025018954039616067,0.10837606837606836,0.5982004395338453,0.9034402356668613,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_vs_magnitude_weighted_span_improvement,Signed-vs-magnitude span improvement,none,26,3,9,0,positive,-0.28053711163507167,0.1650840413822915,-0.28053711163507167,-0.11794871794871793,0.566067032065429,0.5900711310843904,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_vs_magnitude_weighted_local_10pct_improvement,Signed-vs-magnitude locality improvement (10%),none,26,3,9,0,positive,-0.229936720964813,0.25847094753494965,-0.229936720964813,0.013333333333333332,0.9484559205883564,0.5900711310843904,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_vs_magnitude_opposite_sign_local_10pct_improvement,Signed-vs-magnitude opposite-sign locality improvement,none,26,3,9,0,positive,-0.22219124182524827,0.27529665918537316,-0.22219124182524827,-0.0017094017094017092,0.993387547450459,0.5900711310843904,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,opposite_sign_interaction_weight_fraction,Opposite-sign share of interaction weight,n_qubits,26,3,9,8,positive,-0.2770155342060779,0.2657689530526051,-0.2770155342060779,-0.14051282051282052,,0.7234113945627879,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_order_weighted_mean_span_fraction,Signed-order weighted mean span,n_qubits,26,3,9,8,negative,0.21480938729291635,0.3920037401402804,-0.21480938729291635,0.1651282051282051,,0.7234113945627879,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_order_weighted_local_5pct_fraction,Signed-order interaction weight within 5%,n_qubits,26,3,9,8,positive,-0.03639027115051765,0.8860109639737099,-0.03639027115051765,0.02222222222222222,,0.8860109639737099,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_order_weighted_local_10pct_fraction,Signed-order interaction weight within 10%,n_qubits,26,3,9,8,positive,0.10066216965637237,0.6910538074758418,0.10066216965637237,0.13025641025641024,,0.7930771571093238,False
matched_BH_BeH_LiH,log10_jw_magnitude_to_fermionic_ratio,signed_order_opposite_sign_local_10pct_interaction_fraction,Opposite-sign local interaction weight (10%),n_qubits,26,3,9,8,positive,0.40091557070377054,0.09917875087126307,0.40091557070377054,0.30324786324786324,,0.4634814944192736,False
