case_id,molecule,basis,active_occupied,active_vacant,n_qubits,fermionic_error,jw_error,fermionic_bch_norm,jw_bch_norm,bch_norm_advantage_jw_over_fermionic,predicted_error_advantage,observed_error_advantage
B-B_1.70_hgbs-5_as-006-010,B-B,hgbs-5,6,10,16,1.2069590271668318e-07,6.699156496203784e-08,0.0714879110932086,0.0536000620911396,0.749777987235546,0.5621670301429866,0.555044234759909
B-B_1.70_hgbs-5_as-008-010,B-B,hgbs-5,8,10,18,1.7259756301957196e-07,6.809735686452711e-08,0.1618931902486475,0.1496680637417295,0.924486468589928,0.8546752306058759,0.3945441388231253
B-B_1.70_hgbs-5_as-010-010,B-B,hgbs-5,10,10,20,2.5600679687265426e-07,7.665594725758673e-06,0.2349215077900136,2.1103070535798096,8.98303043187567,80.6948357400044,29.942934404088412
Be-Be_2.04_hgbs-5_as-008-008,Be-Be,hgbs-5,8,8,16,2.71530132600617e-07,3.268455656124658e-07,0.1301693873391574,0.8135528724584831,6.249955454877916,39.061943187958214,1.2037174750443265
Be-Be_2.04_hgbs-5_as-008-010,Be-Be,hgbs-5,8,10,18,2.675145976960281e-07,3.415687067631623e-07,0.1300575753550303,1.168692850564373,8.9859652340441,80.74757118744924,1.2768226844625523
Be-Be_2.04_hgbs-5_as-008-012,Be-Be,hgbs-5,8,12,20,2.613896117331649e-07,3.591161514826524e-07,0.1296102579572055,1.567069537597597,12.09062895403703,146.18330850419855,1.3738730820307044
F-F_1.28_hgbs-5_as-014-002,F-F,hgbs-5,14,2,16,1.171727159743341e-10,3.045352373609589e-07,0.0031775389693344,0.4432269290882962,139.48748807355747,19456.75932907084,2599.028577844567
F-F_1.28_hgbs-5_as-016-002,F-F,hgbs-5,16,2,18,1.4839862672033632e-10,5.56597059109265e-07,0.0093266889329091,0.4673755138200022,50.11162237553284,2511.1746971080033,3750.6887456458508
F-F_1.28_hgbs-5_as-018-002,F-F,hgbs-5,18,2,20,1.9847612442447368e-10,9.99038015936371e-06,0.0128933650300446,56.050730196888,4347.25380583552,18898615.652351417,50335.42542375347
Li-Li_2.66_hgbs-5_as-006-010,Li-Li,hgbs-5,6,10,16,5.854821072404093e-10,1.00506464817407e-07,0.012207065765263,0.6901436371811315,56.536406901733635,3196.3653053583944,171.6644515254798
Li-Li_2.66_hgbs-5_as-006-012,Li-Li,hgbs-5,6,12,18,6.209006642166058e-10,1.847151026579397e-07,0.0126951825876197,0.951508088086243,74.95032714331738,5617.551538890298,297.49541803276355
Li-Li_2.66_hgbs-5_as-006-014,Li-Li,hgbs-5,6,14,20,3.3444129687865143e-09,3.376879330607707e-07,0.0270891710620448,1.2891119298630276,47.587721562629476,2264.5912435223504,100.97076414079847
