representation,number_of_vertices,number_of_possible_pairs,number_of_noncommuting_edges,graph_density,average_degree,maximum_degree,largest_first_greedy_colors,color_group_sizes,pair_analysis_runtime_seconds,coloring_runtime_seconds,total_graph_runtime_seconds
Hermitian fermionic terms,1524,1160526,639264,0.5508398777795586,838.9291338582677,,137,"[12, 12, 10, 14, 13, 12, 12, 12, 11, 12, 10, 10, 12, 12, 10, 12, 14, 12, 12, 10, 12, 10, 11, 12, 13, 10, 10, 10, 10, 12, 13, 12, 11, 11, 14, 8, 11, 11, 8, 10, 9, 8, 9, 8, 12, 9, 13, 12, 7, 8, 8, 11, 10, 8, 11, 8, 7, 8, 10, 10, 6, 8, 12, 10, 11, 10, 9, 10, 11, 12, 10, 10, 8, 6, 10, 10, 11, 12, 14, 10, 12, 11, 12, 11, 9, 12, 12, 11, 10, 12, 12, 12, 12, 10, 10, 10, 11, 11, 9, 12, 11, 9, 11, 8, 11, 9, 13, 7, 12, 11, 12, 9, 10, 7, 11, 10, 10, 15, 17, 18, 35, 15, 20, 28, 13, 20, 17, 13, 16, 16, 14, 9, 10, 4, 5, 4, 4]",,,
JW Pauli strings,2912,4238416,1442368,0.3403082661069607,990.6373626373627,1012.0,53,"[120, 88, 84, 80, 88, 64, 64, 64, 84, 64, 64, 64, 80, 64, 64, 64, 40, 32, 40, 40, 112, 88, 90, 101, 80, 73, 80, 64, 32, 32, 66, 104, 72, 72, 48, 48, 48, 24, 27, 15, 13, 11, 22, 16, 16, 16, 44, 40, 32, 16, 16, 22, 20]",0.02705137500015553,0.04211583299911581,0.0773365829991235
