# number of frozen, occupied, single-occupancy orbitals = 2
# number of active, occupied, single-occupancy orbitals = 4
# number of active, vacant, single-occupancy orbitals = 8
# number of frozen, vacant, single-occupancy orbitals = 6
# size of active space = 12
# number of qubits = 12
# basis set = sto-6g
# interatomic separation (angstroms) = 1.596
# fermion-to-qubit operator mapping = bravyi-kitaev
# number of terms in sum of Pauli strings = 327
# one-norm of sum of Pauli strings (Hartrees) = 21.312654515343823
# eigenvalue lower bound from shifted one-norm (Hartrees) = -21.312654515343823
# eigenvalue upper bound from shifted one-norm (Hartrees) = -1.8495345334438156
# Hartree-Fock energy (Hartrees) = -14.721751565021146
# runtime for Hartree-Fock calculation (seconds) = 0.43511128425598145
# runtime for active space calculation (seconds) = 0.0025081634521484375
# runtime for fermion-to-qubit calculation (seconds) = 0.019158124923706055
 9.70110348819934742e-01 ZIIIIIIIIIII
5.25991789823253308e-04+0.00000000000000000e+00j IXZYIIIYZXIX
5.25991789823253308e-04+0.00000000000000000e+00j ZYZYIIIYIYIX
-9.36466922866134935e-03+0.00000000000000000e+00j IIXYIIIYIZXX
-9.36466922866134935e-03+0.00000000000000000e+00j IIYYIIIYIZYX
2.30851437756019687e-03+0.00000000000000000e+00j YXIXZIIYXXIX
-2.30851437756019687e-03+0.00000000000000000e+00j XXIXZIIYYXIX
1.28627738845339375e-03+0.00000000000000000e+00j IYIXZIIYZXIX
-1.28627738845339375e-03+0.00000000000000000e+00j ZXIXZIIYIYIX
-5.86390382746408787e-03+0.00000000000000000e+00j IZYXZIIYIZXX
5.86390382746408787e-03+0.00000000000000000e+00j IZXXZIIYIZYX
-9.53586880539853722e-03+0.00000000000000000e+00j IIIYZIIYIZZX
9.53586880539853722e-03+0.00000000000000000e+00j IZZXZIIYIIIY
1.28627738845339375e-03+0.00000000000000000e+00j YXIXZZIYXXIX
-1.28627738845339375e-03+0.00000000000000000e+00j XXIXZZIYYXIX
2.30851437756019687e-03+0.00000000000000000e+00j IYIXZZIYZXIX
-2.30851437756019687e-03+0.00000000000000000e+00j ZXIXZZIYIYIX
-9.53586880539853722e-03+0.00000000000000000e+00j IZYXZZIYIZXX
9.53586880539853722e-03+0.00000000000000000e+00j IZXXZZIYIZYX
-5.86390382746408787e-03+0.00000000000000000e+00j IIIYZZIYIZZX
5.86390382746408787e-03+0.00000000000000000e+00j IZZXZZIYIIIY
2.30851437756019687e-03+0.00000000000000000e+00j YXIXIIZYXXIX
