# number of frozen, occupied, single-occupancy orbitals = 0
# number of active, occupied, single-occupancy orbitals = 6
# number of active, vacant, single-occupancy orbitals = 10
# number of frozen, vacant, single-occupancy orbitals = 4
# size of active space = 16
# number of qubits = 16
# basis set = sto-6g
# interatomic separation (angstroms) = 5.852
# fermion-to-qubit operator mapping = bravyi-kitaev
# number of terms in sum of Pauli strings = 1241
# one-norm of sum of Pauli strings (Hartrees) = 27.671009723829332
# eigenvalue lower bound from shifted one-norm (Hartrees) = -27.671009723829332
# eigenvalue upper bound from shifted one-norm (Hartrees) = 9.6361047274419
# Hartree-Fock energy (Hartrees) = -14.718215173822331
# runtime for Hartree-Fock calculation (seconds) = 0.41632890701293945
# runtime for active space calculation (seconds) = 0.006769895553588867
# runtime for fermion-to-qubit calculation (seconds) = 0.08757972717285156
 1.17718897801930922e+00 ZIIIIIIIIIIIIIII
-9.01745249819371608e+00 IIIIIIIIIIIIIIII
 1.17718897801930966e+00 ZZIIIIIIIIIIIIII
 1.17724704535526126e+00 IIZIIIIIIIIIIIII
 1.17724704535526103e+00 IZZZIIIIIIIIIIII
-8.36920599112236374e-02 IIIIZIIIIIIIIIII
-8.36920599112236374e-02 IIIIZZIIIIIIIIII
-8.75605042603178063e-02 IIIIIIZIIIIIIIII
-8.75605042603178063e-02 IIIZIZZZIIIIIIII
-1.51257267392857386e-01 IIIIIIIIZIIIIIII
-1.51257267392857386e-01 IIIIIIIIZZIIIIII
-1.44432490204039254e-01 IIIIIIIIIIZIIIII
-1.44432490204039254e-01 IIIIIIIIIZZZIIII
-1.50492425513502948e-01 IIIIIIIIIIIIZIII
-1.50492425513503059e-01 IIIIIIIIIIIIZZII
-1.41323859721014244e-01 IIIIIIIIIIIIIIZI
-1.41323859721014355e-01 IIIIIIIZIIIZIZZZ
5.13632478498296519e-06+0.00000000000000000e+00j ZZYYXXIIIIIIIIII
-5.13632478498296519e-06+0.00000000000000000e+00j ZZXYYXIIIIIIIIII
-3.26919156715425874e-02+0.00000000000000000e+00j IZYYXXIIIIIIIIII
3.26919156715425874e-02+0.00000000000000000e+00j IZXYYXIIIIIIIIII
2.25807649513860564e-02+0.00000000000000000e+00j ZIIXZXIIIIIIIIII
2.25807649513860564e-02+0.00000000000000000e+00j ZZZYIYIIIIIIIIII
3.26919156715425874e-02+0.00000000000000000e+00j IIIXZXIIIIIIIIII
3.26919156715425874e-02+0.00000000000000000e+00j IZZYIYIIIIIIIIII
2.32740395975808839e-02+0.00000000000000000e+00j ZYIYIZZIIIIIIIII
2.32740395975808839e-02+0.00000000000000000e+00j IXIXIIIZIIIIIIII
3.40978313420007631e-02+0.00000000000000000e+00j IYIYIZZIIIIIIIII
3.40978313420007631e-02+0.00000000000000000e+00j ZXIXIIIZIIIIIIII
3.53748997314097058e-04+0.00000000000000000e+00j ZZYXIIIYXXIXIIII
-3.53748997314097058e-04+0.00000000000000000e+00j ZZXXIIIYYXIXIIII
6.03134578064445058e-03+0.00000000000000000e+00j IZYXIIIYXXIXIIII
-6.03134578064445058e-03+0.00000000000000000e+00j IZXXIIIYYXIXIIII
1.33590575240318194e-03+0.00000000000000000e+00j ZIIZYXIYXXIXIIII
-1.33590575240318194e-03+0.00000000000000000e+00j ZIIZXXIYYXIXIIII
-9.63335453861009078e-03+0.00000000000000000e+00j IIIZYXIYXXIXIIII
