# number of frozen, occupied, single-occupancy orbitals = 4
# number of active, occupied, single-occupancy orbitals = 2
# number of active, vacant, single-occupancy orbitals = 4
# number of frozen, vacant, single-occupancy orbitals = 10
# size of active space = 6
# number of qubits = 6
# basis set = sto-6g
# interatomic separation (angstroms) = 3.724
# fermion-to-qubit operator mapping = jordan-wigner
# number of terms in sum of Pauli strings = 62
# one-norm of sum of Pauli strings (Hartrees) = 16.07706959963977
# eigenvalue lower bound from shifted one-norm (Hartrees) = -16.07706959963977
# eigenvalue upper bound from shifted one-norm (Hartrees) = -12.881157935998125
# Hartree-Fock energy (Hartrees) = -14.784331402018879
# runtime for Hartree-Fock calculation (seconds) = 0.4043540954589844
# runtime for active space calculation (seconds) = 0.0009737014770507812
# runtime for fermion-to-qubit calculation (seconds) = 0.002831697463989258
-1.44791137678189479e+01 IIIIII
-6.14012845531509213e-02 ZIIIII
-6.14012845531509352e-02 IZIIII
-8.68144472759287134e-02 IIZIII
-8.68144472759286856e-02 IIIZII
-1.17057011389620103e-01 IIIIZI
-1.17057011389620103e-01 IIIIIZ
 5.87035954615474226e-02 ZZIIII
 3.55886323067414675e-02 ZIZIII
 4.89932769581441011e-02 ZIIZII
 2.24659737033508760e-03 XZZZXI
 2.24659737033508760e-03 YZZZYI
 4.46039338081984094e-02 ZIIIZI
 5.31456851415089415e-02 ZIIIIZ
 4.89932769581441011e-02 IZZIII
 3.55886323067414675e-02 IZIZII
 5.31456851415089415e-02 IZIIZI
 2.24659737033508673e-03 IXZZZX
 2.24659737033508673e-03 IYZZZY
 4.46039338081984094e-02 IZIIIZ
 5.23983821801442956e-02 IIZZII
 3.58101133675510774e-02 IIZIZI
 5.26333766483323140e-02 IIZIIZ
 5.26333766483323140e-02 IIIZZI
 3.58101133675510774e-02 IIIZIZ
 5.63968127805872521e-02 IIIIZZ
-8.50828937413161332e-03 ZXZZZX
-8.50828937413161332e-03 ZYZZZY
-8.50828937413161332e-03 XIZZXI
-8.50828937413161332e-03 YIZZYI
-1.34046446514026387e-02 XXYYII
 1.34046446514026387e-02 XYYXII
 1.34046446514026387e-02 YXXYII
-1.34046446514026387e-02 YYXXII
-8.54175133331052522e-03 XXIIYY
 8.54175133331052522e-03 XYIIYX
 8.54175133331052522e-03 YXIIXY
-8.54175133331052522e-03 YYIIXX
-1.07960171457565229e-02 XZIZXI
-1.07960171457565229e-02 YZIZYI
-1.27257249883656626e-02 XZXXZX
-1.27257249883656626e-02 XZXYZY
-1.27257249883656626e-02 YZYXZX
-1.27257249883656626e-02 YZYYZY
 1.92970784260914079e-03 XZZIXI
 1.92970784260914079e-03 YZZIYI
-1.88865864998911427e-03 XZZZXZ
-1.88865864998911427e-03 YZZZYZ
 1.92970784260914079e-03 IXIZZX
 1.92970784260914079e-03 IYIZZY
 1.27257249883656626e-02 IXXYYI
-1.27257249883656626e-02 IXYYXI
-1.27257249883656626e-02 IYXXYI
 1.27257249883656626e-02 IYYXXI
-1.07960171457565229e-02 IXZIZX
-1.07960171457565229e-02 IYZIZY
-1.88865864998911427e-03 IXZZIX
-1.88865864998911427e-03 IYZZIY
-1.68232632807812435e-02 IIXXYY
 1.68232632807812435e-02 IIXYYX
 1.68232632807812435e-02 IIYXXY
-1.68232632807812435e-02 IIYYXX
