molecule,n_qubits,mapping,decomposition,ordering,time_t,trotter_steps,suzuki_order,number_of_exponentials,state_based_error,state_infidelity,state_overlap_abs,operator_compilation_seconds,trotter_runtime_seconds
H2-O1_sto-3g_singlet_H2O_0.9584_104.45,14,JW,fermionic terms,raw fermionic order,1.0,1,1,596,1.2326900880609915,0.9056808918157033,0.3071141614844498,0.02454129200123134,12.862847666998277
H2-O1_sto-3g_singlet_H2O_0.9584_104.45,14,JW,fermionic terms,fermionic-color order,1.0,1,1,596,0.8268823817933958,0.5645993528645588,0.6598489578194704,0.016193416999158217,13.1626160420019
H2-O1_sto-3g_singlet_H2O_0.9584_104.45,14,JW,unique JW Pauli strings,OpenFermion order,1.0,1,1,1086,1.3968435007797435,0.9991690099408255,0.028826898188575836,0.005648042002576403,5.964032584000961
H2-O1_sto-3g_singlet_H2O_0.9584_104.45,14,JW,unique JW Pauli strings,JW-color order,1.0,1,1,1086,0.4898227418280065,0.22349790235244338,0.8811935642340771,0.00551041700236965,5.955733957998746
