representation,number_of_vertices,number_of_possible_pairs,number_of_noncommuting_edges,graph_density,average_degree,maximum_degree,largest_first_greedy_colors,color_group_sizes,pair_analysis_runtime_seconds,coloring_runtime_seconds,total_graph_runtime_seconds
Hermitian fermionic terms,595,176715,94390,0.5341368870780635,317.2773109243698,,63,"[13, 20, 10, 14, 10, 8, 7, 8, 8, 7, 7, 7, 4, 4, 4, 4, 4, 4, 17, 18, 10, 11, 7, 7, 4, 4, 14, 14, 11, 11, 8, 9, 9, 9, 14, 13, 11, 10, 7, 7, 8, 7, 11, 10, 8, 7, 6, 4, 4, 4, 4, 7, 4, 7, 4, 4, 24, 20, 20, 16, 16, 16, 16]",,,
JW Pauli strings,1085,588070,214056,0.3639974832928053,394.5732718894009,428.0,44,"[41, 28, 30, 23, 31, 24, 27, 23, 31, 24, 27, 20, 24, 24, 20, 23, 18, 16, 28, 25, 77, 62, 74, 62, 34, 50, 30, 20, 17, 48, 12, 10, 16, 10, 16, 8, 4, 4, 4, 4, 4, 4, 4, 4]",0.007041125005343929,0.01062787500268314,0.02048016600019764
