name,family,basis,mapping,z1,z2,atom1,atom2,target_qubits,active_occupied,active_vacant,total_electrons,total_orbitals,spacing,config_path,output_path,status
Mg-Mg_3.00_sto-6g_as-010-012_jw,homonuclear,sto-6g,JW,12,12,Mg,Mg,22,10,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/22q/sto-6g/Mg-Mg_3.00_sto-6g_as-010-012_jw.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/22q/sto-6g/Mg-Mg_3.00_sto-6g_as-010-012_jw.dat,generated
Mg-Mg_3.00_sto-6g_as-010-012_bk,homonuclear,sto-6g,BK,12,12,Mg,Mg,22,10,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/22q/sto-6g/Mg-Mg_3.00_sto-6g_as-010-012_bk.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/22q/sto-6g/Mg-Mg_3.00_sto-6g_as-010-012_bk.dat,generated
Mg-Mg_3.00_sto-6g_as-012-012_jw,homonuclear,sto-6g,JW,12,12,Mg,Mg,24,12,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/24q/sto-6g/Mg-Mg_3.00_sto-6g_as-012-012_jw.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/24q/sto-6g/Mg-Mg_3.00_sto-6g_as-012-012_jw.dat,generated
Mg-Mg_3.00_sto-6g_as-012-012_bk,homonuclear,sto-6g,BK,12,12,Mg,Mg,24,12,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/24q/sto-6g/Mg-Mg_3.00_sto-6g_as-012-012_bk.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/24q/sto-6g/Mg-Mg_3.00_sto-6g_as-012-012_bk.dat,generated
Mg-Mg_3.00_sto-6g_as-014-012_jw,homonuclear,sto-6g,JW,12,12,Mg,Mg,26,14,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/26q/sto-6g/Mg-Mg_3.00_sto-6g_as-014-012_jw.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/26q/sto-6g/Mg-Mg_3.00_sto-6g_as-014-012_jw.dat,generated
Mg-Mg_3.00_sto-6g_as-014-012_bk,homonuclear,sto-6g,BK,12,12,Mg,Mg,26,14,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/26q/sto-6g/Mg-Mg_3.00_sto-6g_as-014-012_bk.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/26q/sto-6g/Mg-Mg_3.00_sto-6g_as-014-012_bk.dat,generated
Mg-Mg_3.00_sto-6g_as-016-012_jw,homonuclear,sto-6g,JW,12,12,Mg,Mg,28,16,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/28q/sto-6g/Mg-Mg_3.00_sto-6g_as-016-012_jw.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/28q/sto-6g/Mg-Mg_3.00_sto-6g_as-016-012_jw.dat,generated
Mg-Mg_3.00_sto-6g_as-016-012_bk,homonuclear,sto-6g,BK,12,12,Mg,Mg,28,16,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/28q/sto-6g/Mg-Mg_3.00_sto-6g_as-016-012_bk.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/28q/sto-6g/Mg-Mg_3.00_sto-6g_as-016-012_bk.dat,generated
Mg-Mg_3.00_sto-6g_as-018-012_jw,homonuclear,sto-6g,JW,12,12,Mg,Mg,30,18,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/30q/sto-6g/Mg-Mg_3.00_sto-6g_as-018-012_jw.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/30q/sto-6g/Mg-Mg_3.00_sto-6g_as-018-012_jw.dat,generated
Mg-Mg_3.00_sto-6g_as-018-012_bk,homonuclear,sto-6g,BK,12,12,Mg,Mg,30,18,12,24,36,3.0,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/30q/sto-6g/Mg-Mg_3.00_sto-6g_as-018-012_bk.config,/home/abhijith/Code/qhat/library_pilot/012-012_Mg-Mg/30q/sto-6g/Mg-Mg_3.00_sto-6g_as-018-012_bk.dat,generated
C-H_0.95_sto-6g_as-001-001_jw,hydride,sto-6g,JW,6,1,C,H,2,1,1,7,12,0.9500000000000001,/home/abhijith/Code/qhat/library_pilot/006-001_C-H/02q/sto-6g/C-H_0.95_sto-6g_as-001-001_jw.config,/home/abhijith/Code/qhat/library_pilot/006-001_C-H/02q/sto-6g/C-H_0.95_sto-6g_as-001-001_jw.dat,generated
