molecule,n_qubits,mapping,ordering,time_t,trotter_steps,number_of_exponentials,state_based_error,state_infidelity,state_overlap_abs,operator_compilation_seconds,trotter_runtime_seconds
H2_sto-3g_singlet_H2_0.7414,4,JW,fermionic-term order,1.0,1,13,0.13277887785538628,0.01675727281439454,0.991585965605406,0.0001677919999565347,0.01110366700004306
H2_sto-3g_singlet_H2_0.7414,4,JW,color-block order,1.0,1,2,0.1327788778553863,0.01675727281439432,0.9915859656054061,7.366699992417125e-05,0.0037640420000570884
