representation,number_of_vertices,number_of_possible_pairs,number_of_noncommuting_edges,graph_density,average_degree,maximum_degree,largest_first_greedy_colors,color_group_sizes,pair_analysis_runtime_seconds,coloring_runtime_seconds,total_graph_runtime_seconds
Hermitian fermionic terms,656,214840,107180,0.4988828895922547,326.7682926829268,,53,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 14, 12, 16, 12, 8, 12, 12, 12, 15, 23, 13, 7, 12, 12, 16, 14, 10, 12, 30, 10, 10, 8, 12, 12, 8, 10, 13, 13, 6, 26, 24, 10, 12, 10, 13, 2, 1]",,,
JW Pauli strings,1176,690900,230944,0.3342654508611955,392.76190476190476,456.0,26,"[48, 36, 56, 56, 48, 48, 64, 64, 56, 56, 28, 24, 24, 24, 108, 36, 32, 32, 56, 72, 72, 32, 32, 32, 32, 8]",0.011834124998131301,0.01276625000173226,0.02824716600298416
