representation,number_of_vertices,number_of_possible_pairs,number_of_noncommuting_edges,graph_density,average_degree,maximum_degree,largest_first_greedy_colors,color_group_sizes,pair_analysis_runtime_seconds,coloring_runtime_seconds,total_graph_runtime_seconds
Hermitian fermionic terms,1872,1751256,984072,0.5619235565788211,1051.3589743589744,,197,"[12, 19, 15, 16, 10, 6, 6, 6, 6, 12, 12, 11, 10, 11, 11, 11, 12, 9, 10, 10, 12, 11, 10, 10, 11, 10, 6, 6, 6, 6, 6, 6, 6, 9, 8, 9, 7, 9, 11, 6, 6, 6, 9, 8, 11, 9, 9, 11, 8, 8, 8, 8, 10, 9, 9, 11, 10, 8, 10, 8, 10, 9, 10, 9, 10, 9, 10, 10, 9, 9, 9, 8, 9, 9, 8, 8, 11, 9, 10, 9, 10, 9, 8, 8, 12, 9, 10, 12, 11, 10, 8, 9, 10, 11, 10, 6, 9, 9, 8, 9, 8, 6, 7, 7, 6, 6, 8, 8, 10, 6, 7, 7, 6, 8, 9, 8, 10, 10, 7, 8, 10, 10, 9, 9, 9, 10, 9, 11, 8, 8, 9, 9, 10, 9, 7, 7, 8, 7, 10, 9, 10, 9, 6, 9, 8, 10, 7, 15, 7, 8, 7, 8, 8, 8, 8, 13, 8, 6, 13, 12, 6, 6, 10, 17, 20, 23, 16, 35, 19, 14, 18, 11, 11, 16, 20, 21, 11, 16, 20, 13, 15, 8, 8, 6, 7, 7, 7, 6, 8, 6, 5, 5, 11, 3, 3, 2, 3]",,,
JW Pauli strings,3608,6507028,2274848,0.3495986186013031,1261.0022172949002,1488.0,124,"[48, 36, 80, 52, 76, 52, 56, 52, 52, 52, 52, 52, 52, 52, 24, 24, 24, 24, 24, 24, 24, 24, 32, 32, 44, 74, 24, 30, 16, 16, 16, 16, 36, 26, 28, 24, 40, 16, 40, 16, 28, 24, 36, 28, 24, 24, 28, 24, 36, 24, 92, 80, 32, 16, 16, 16, 16, 46, 48, 25, 23, 24, 26, 44, 20, 26, 19, 34, 30, 24, 20, 38, 42, 15, 20, 26, 20, 24, 18, 26, 28, 16, 17, 26, 23, 12, 19, 18, 32, 12, 14, 20, 32, 24, 24, 40, 34, 34, 26, 16, 24, 40, 32, 22, 20, 22, 30, 24, 15, 20, 16, 16, 16, 22, 30, 24, 36, 18, 8, 14, 4, 10, 4, 10]",0.0929582089993346,0.08998604199950933,0.19645225000203936
