mapping,class_id,operator_error_rank,operator_error,state_error,tags,order_indices,order_labels
bk,3946,1,0.016238357493598435,0.016238357493598383,,4 2 6 7 8 9 10 11 0 3 5 1 12 13,P0004 P0002 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0003 P0005 P0001 P0012 P0013
bk,4071,2,0.016238357493598435,0.016238357493598383,,4 3 6 7 8 9 10 11 1 2 5 0 12 13,P0004 P0003 P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0002 P0005 P0000 P0012 P0013
bk,5060,3,0.01623835749359845,0.016238357493598445,,5 2 6 7 8 9 10 12 13 1 3 4 0 11,P0005 P0002 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0003 P0004 P0000 P0011
bk,5165,4,0.01623835749359845,0.016238357493598445,,5 3 6 7 8 9 10 12 13 0 2 4 1 11,P0005 P0003 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0002 P0004 P0001 P0011
bk,4720,5,0.016238357493598452,0.016238357493598445,,5 0 6 7 8 9 10 12 13 1 3 4 2 11,P0005 P0000 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0003 P0004 P0002 P0011
bk,4901,6,0.016238357493598452,0.016238357493598445,,5 1 6 7 8 9 10 12 13 0 2 4 3 11,P0005 P0001 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0002 P0004 P0003 P0011
bk,3613,7,0.016238357493598456,0.016238357493598383,,4 0 6 7 8 9 10 11 1 2 5 3 12 13,P0004 P0000 P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0002 P0005 P0003 P0012 P0013
bk,3800,8,0.016238357493598456,0.016238357493598383,,4 1 6 7 8 9 10 11 0 3 5 2 12 13,P0004 P0001 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0003 P0005 P0002 P0012 P0013
bk,5558,9,0.01623835749359856,0.016238357493598414,,6 7 8 9 10 11 0 4 1 3 12 13 2 5,P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0004 P0001 P0003 P0012 P0013 P0002 P0005
bk,5739,10,0.01623835749359856,0.016238357493598414,,6 7 8 9 10 11 1 4 0 2 12 13 3 5,P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0004 P0000 P0002 P0012 P0013 P0003 P0005
