scope,centralization_metric,fixed_effects,cases,molecules,active_space_sizes,n_controls,pearson_r_vs_log10_advantage,pearson_p_value,spearman_rho_vs_advantage,spearman_p_value,ols_log10_advantage_slope,ols_intercept,predicted_negative_direction,negative_and_p_below_0_05
matched_heteronuclear,bipartite_weighted_freeman_centralization,none,26,3,9,0,0.21745992372654777,0.28591090763984983,0.2622222222222222,0.19563004629311093,0.5021470494528355,-0.08114235706659048,False,False
matched_heteronuclear,bipartite_weighted_freeman_centralization,n_qubits,26,3,9,8,0.23791207737251904,0.3417777876441944,0.37777777777777777,0.12219109069809926,0.6116063304815388,-8.17204961771742e-17,False,False
matched_heteronuclear,bipartite_weighted_freeman_centralization,molecule+n_qubits,26,3,9,10,0.0916454199477825,0.735697226119331,0.18564102564102564,0.49123242233055125,0.36327509890934495,-1.5627281666237583e-18,False,False
full_hgbs5_sweep,bipartite_weighted_freeman_centralization,none,85,11,9,0,-0.06507624949528955,0.5540396454848739,0.10379534083802376,0.3444886844431388,-0.903597371928901,0.3407187551344275,True,False
full_hgbs5_sweep,bipartite_weighted_freeman_centralization,n_qubits,85,11,9,8,-0.0646038143075089,0.5767027301935475,-0.06797084173355313,0.5569579093889507,-0.8231674985710564,7.147960817890632e-17,True,False
full_hgbs5_sweep,bipartite_weighted_freeman_centralization,molecule+n_qubits,85,11,9,18,0.16494302215943973,0.1822478645095053,0.17058823529411765,0.16752889048961783,2.6098690216395113,2.23982305781856e-15,False,False
direct_active_tensors_only,bipartite_weighted_freeman_centralization,none,70,11,8,0,-0.11064836992117205,0.36182865375792445,0.05588361371584425,0.6458776256443909,-2.0343768627413645,0.51698387536213,True,False
direct_active_tensors_only,bipartite_weighted_freeman_centralization,n_qubits,70,11,8,7,-0.09059083967995955,0.4801274675585761,-0.035709911643775696,0.7811264299380599,-1.623589037307824,9.191027299508155e-17,True,False
full_hgbs5_sweep,occupied_weighted_freeman_centralization,none,85,11,9,0,0.13535589585519325,0.21677995409669282,0.1590091620740017,0.14607066529073165,8.078927609894224,0.14075572136258876,False,False
full_hgbs5_sweep,virtual_weighted_freeman_centralization,none,85,11,9,0,-0.11977183008705335,0.2749088032506835,0.02690706156257197,0.8068884665941378,-1.6010768931514952,0.38440663360004235,True,False
full_hgbs5_sweep,mean_partition_weighted_freeman_centralization,none,85,11,9,0,-0.07895079990829984,0.47261225198681633,0.07485146966854284,0.49597612783077405,-1.8628901970877978,0.3558768889604206,True,False
full_hgbs5_sweep,whole_graph_same_weight_star_centralization,none,85,11,9,0,0.26778400008604897,0.013222421819868772,0.12323854218389371,0.261153129781633,2.062336994019277,-0.0027505672722874987,False,False
