node,color,fermionic_term,coefficient_real,coefficient_imag
0,2,a0^ a0,-1.2524635735648983,0.0
1,2,a1^ a1,-1.2524635735648983,0.0
2,2,a2^ a2,-0.4759487152209642,0.0
3,2,a3^ a3,-0.4759487152209642,0.0
4,2,a1^ a0^ a1 a0,-0.6744887663568375,0.0
5,0,a1^ a0^ a3 a2,-0.18128880821149587,0.0
6,0,a2^ a0^ a2 a0,-0.4821792882120717,0.0
7,0,a3^ a0^ a2 a1,0.18128880821149587,0.0
8,2,a3^ a0^ a3 a0,-0.6634680964235675,0.0
9,1,a2^ a1^ a3 a0,0.18128880821149587,0.0
10,2,a2^ a1^ a2 a1,-0.6634680964235675,0.0
11,0,a3^ a1^ a3 a1,-0.4821792882120717,0.0
12,1,a3^ a2^ a1 a0,-0.18128880821149587,0.0
13,2,a3^ a2^ a3 a2,-0.6973937674230263,0.0
