# BASELINE: Trotter state error for QPE Hamiltonian simulation.
# 
# metric        : err = || psi_trotter - psi_exact ||_2
# initial state : Hartree-Fock |11..100..0> (top n_occ bits, JW)
# reference     : scipy expm_multiply, exp(-i H T) psi0
# generator     : H_terms = pi * (H - shift*I) / normalization,
#                 identity term excluded
# normalization : 2 * max(1, one_norm - |shift|)  [Julia hamiltonian_utils.jl]
# term ordering : ascending signed coefficient, ties broken by ascending
#                 lexicographic Pauli string (deterministic; the
#                 ascending direction follows Julia, the tie-break is an
#                 addition)
# delta_t       : 1 / n_steps, where n_steps is PER U and
#                 U = exp(-i H_terms) is one unit of evolution
# total_steps   : T / delta_t = T * n_steps
# dt_norm       : delta_t * sum|c_j|; equals pi/2, pi/4, pi/8 wherever
#                 the shifted one-norm is at least 1, which fixes the
#                 dimensionless step size across systems
# T             : swept, identical for every Hamiltonian. NOT derived
#                 from any per-molecule circuit-depth table; it is an
#                 independent axis of the study.
# mapping       : bk   (HF determinant encoded per mapping:
#                 JW stores the occupation directly, BK stores
#                 (encoder_bk @ occ) mod 2, as in hamgen.get_initial_state)
# basis         : sto-6g
# active space  : all
# T swept       : 64,256,512
# n_steps swept : 1,2,4   (delta_t = 1.0, 0.5, 0.25)
# orders        : 1,2,4
# bond lengths  : 10 per active space, evenly spaced over the sorted L range (deterministic)
# 
# Generated by compute_trotter_state_error.py.
molecule,L,basis,active,mapping,n_qubits,T,n_steps,total_steps,delta_t,dt_norm,order,err,seconds,one_norm,normalization
He-H,0.68,sto-6g,001-001,bk,2,256,2,512,0.5,0.3661128707201489,1,1.0715809139595271e-14,0.005,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,256,4,1024,0.25,0.18305643536007446,1,4.6133206766671067e-14,0.01,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,256,1,256,1.0,0.7322257414402978,2,1.5223522072761987e-14,0.004,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,256,2,512,0.5,0.3661128707201489,2,9.708874959278352e-14,0.008,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,256,4,1024,0.25,0.18305643536007446,2,2.313128623566055e-13,0.017,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,256,1,256,1.0,0.7322257414402978,4,1.8998943517310538e-13,0.021,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,256,2,512,0.5,0.3661128707201489,4,3.061761012225233e-13,0.042,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,256,4,1024,0.25,0.18305643536007446,4,8.004714166896047e-13,0.085,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,512,1,512,1.0,0.7322257414402978,1,1.319811913244136e-14,0.005,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,512,2,1024,0.5,0.3661128707201489,1,1.8920102738815194e-14,0.01,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,512,4,2048,0.25,0.18305643536007446,1,8.894743535275708e-14,0.02,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,512,1,512,1.0,0.7322257414402978,2,3.006880784129015e-14,0.009,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,512,2,1024,0.5,0.3661128707201489,2,1.9110869754802546e-13,0.017,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,512,4,2048,0.25,0.18305643536007446,2,4.653868730679379e-13,0.034,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,512,1,512,1.0,0.7322257414402978,4,3.7494205694314377e-13,0.043,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,512,2,1024,0.5,0.3661128707201489,4,6.081415834098479e-13,0.085,3.221843414776846,2.0
He-H,0.68,sto-6g,001-001,bk,2,512,4,2048,0.25,0.18305643536007446,4,1.6002698218301757e-12,0.168,3.221843414776846,2.0
He-H,0.88,sto-6g,001-001,bk,2,64,1,64,1.0,0.4842563366057404,1,9.077558494913405e-15,0.001,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,64,2,128,0.5,0.2421281683028702,1,2.014167639372305e-14,0.001,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,64,4,256,0.25,0.1210640841514351,1,2.6299693115992158e-14,0.002,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,64,1,64,1.0,0.4842563366057404,2,2.3413140091730662e-14,0.001,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,64,2,128,0.5,0.2421281683028702,2,1.1982824883548087e-14,0.002,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,64,4,256,0.25,0.1210640841514351,2,3.667451662058369e-14,0.004,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,64,1,64,1.0,0.4842563366057404,4,4.396206313940252e-14,0.005,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,64,2,128,0.5,0.2421281683028702,4,3.6274912732013896e-14,0.01,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,64,4,256,0.25,0.1210640841514351,4,1.8555229020571077e-13,0.021,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,256,1,256,1.0,0.4842563366057404,1,3.1653539527831536e-14,0.002,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,256,2,512,0.5,0.2421281683028702,1,3.42726405150535e-14,0.005,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,256,4,1024,0.25,0.1210640841514351,1,5.049849915678557e-14,0.01,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,256,1,256,1.0,0.4842563366057404,2,4.811181451988526e-14,0.004,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,256,2,512,0.5,0.2421281683028702,2,2.907025233240422e-14,0.008,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,256,4,1024,0.25,0.1210640841514351,2,9.46171248181443e-14,0.017,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,256,1,256,1.0,0.4842563366057404,4,2.1882559360188377e-13,0.021,3.261530174837448,2.0
