n_qubits,signed_baseline_one_minus_overlap,raw_jw_one_minus_overlap,jw_sample_count,jw_mean,jw_median,jw_std,jw_min,jw_max,jw_count_beating_signed_baseline,jw_fraction_beating_signed_baseline,fermionic_sample_count,fermionic_mean,fermionic_median,fermionic_std,fermionic_min,fermionic_max,fermionic_count_beating_signed_baseline,fermionic_fraction_beating_signed_baseline
12,3.0744150958383898e-07,2.4663437836469626e-07,100,1.2939078470330934e-06,1.2187588162015928e-06,7.2729465169244698e-07,1.9640833082146258e-07,3.5179739935609078e-06,9,8.9999999999999997e-02,100,9.2625142371516315e-07,7.7169913426100578e-07,6.7463787918268240e-07,1.2338610877460354e-07,2.9224153234030936e-06,18,1.7999999999999999e-01
16,1.0294603379756850e-06,4.2453198645375778e-06,100,3.8824482345312105e-06,3.5376220470784148e-06,1.7081812824203853e-06,1.2132791535890419e-06,8.8308770571643436e-06,0,0.0000000000000000e+00,100,2.9331733653781278e-06,2.3315735928064463e-06,1.7139487256384852e-06,7.7132878895103119e-07,1.0168015425193744e-05,4,4.0000000000000001e-02
18,8.7480035915188381e-07,2.6310192330347704e-06,100,6.5722400148193748e-06,5.2654783185834830e-06,4.7149529192147497e-06,1.0954313459654585e-06,2.7817553712394805e-05,0,0.0000000000000000e+00,100,4.4264749274558478e-06,3.9200822896101606e-06,2.1226785477308965e-06,1.4178872773662476e-06,1.2044493473584161e-05,0,0.0000000000000000e+00
