status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,schedule,pauli_order_hash,trotter_steps,dt,evolution_time,nominal_exponential_count,exact_sector_dimension,actual_overlap_real,actual_overlap_imag,actual_overlap_abs,actual_one_minus_overlap,actual_infidelity,actual_raw_state_error_norm2,actual_phase_aligned_error_norm2,sum_local_defect_norm2,sum_local_phase_aligned_error_norm2,vector_interference_term,vector_interference_fraction,vector_cancellation_ratio,overlap_deviation_abs,sum_abs_overlap_contributions,overlap_contribution_cancellation_ratio,net_real_overlap_loss,sum_abs_real_overlap_loss_contributions,real_overlap_loss_cancellation_ratio,reconstructed_overlap_real,reconstructed_overlap_imag,reconstructed_overlap_abs,overlap_reconstruction_abs_error,backward_exact_recovery_2norm_error,final_trotter_norm_error,mean_local_defect_norm,max_local_defect_norm,min_local_defect_norm,runtime_seconds,coefficient_tolerance
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_signed_reference,84ef503bc85b4b6c,25,0.04,1.0,73750,44100,-0.9943603412450703,-0.10603456512269314,0.9999979086186987,2.0913813012501947e-06,4.182758228665762e-06,3.9887206824898103,4.1827622733359644e-06,17.965379724245903,2.766365307937946e-07,-13.976659041756093,-0.7779773796205003,0.22202262037949977,1.9971771327882173,21.192776713264518,0.09423857759696906,1.9943603412450983,13.536997039285707,0.14732664382338764,-0.9943603412450983,-0.10603456512335796,0.999997908618797,6.654038596690872e-13,6.887168356836754e-13,1.653122083666858e-13,0.8477117369528936,0.8477144277195853,0.8477094461071347,81.523948749993,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_magnitude_reference,ac085e47df3d997f,25,0.04,1.0,73750,44100,-0.9943560094619929,-0.10593707872654287,0.9999832689611824,1.6731038817607846e-05,3.3461797707579066e-05,3.988712018923719,3.346207736637798e-05,17.96553106191415,1.4673383450514166e-06,-13.97681904299043,-0.7779797321227231,0.22202026787727694,1.9971676337067523,21.192759811799096,0.09423820453034279,1.994356009461845,13.536872966451911,0.14732767415372863,-0.9943560094618451,-0.10593707872720004,0.9999832689611051,6.735777307796848e-13,6.887168356836754e-13,1.3433698597964394e-13,0.8477153074449423,0.8477160449607889,0.8477149136473634,81.39729745799559,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,jw_signed_baseline,cb9592a2b133d9fb,25,0.04,1.0,73750,44100,-0.9944301043404493,-0.1053705844009588,0.9999970962335624,2.9037664376341255e-06,5.807524443457446e-06,3.9888602086805767,5.8075325551054915e-06,17.966487578439043,3.9366493511217016e-05,-13.977627369758466,-0.7779833041229789,0.222016695877021,1.9972116565742863,21.19333957143761,0.09423770377680073,1.9944301043403516,13.536614671725784,0.14733595900503546,-0.9944301043403516,-0.10537058440162461,0.9999970962335353,6.729445242291275e-13,6.887168356836754e-13,1.6076029396572267e-13,0.847737874072785,0.8477383096664489,0.8477370684803739,85.24219495800207,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,signed_parent_descendants_round_robin,22ca2d92bfa72f46,25,0.04,1.0,73750,44100,-0.9943777750615422,-0.1058812649143739,0.9999990008976063,9.991023937061527e-07,1.998203789210784e-06,3.9887555501227587,1.998204460137803e-06,17.965637089300603,9.210147181581974e-06,-13.976881539177844,-0.7779786193889972,0.22202138061100285,1.9971864089061104,21.19291188256571,0.09423841423835157,1.9943777750615022,13.536912913639988,0.1473288472626531,-0.9943777750615022,-0.10588126491508099,0.9999990008976414,7.082221342974977e-13,6.887168356836754e-13,1.6431300764452317e-13,0.8477178089262213,0.847720026486495,0.8477160211278872,88.98378100000264,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_signed_reference,84ef503bc85b4b6c,50,0.02,1.0,147500,44100,-0.9943656233344641,-0.10599981855120334,0.999999477200976,5.22799023960907e-07,1.0455977745849054e-06,3.9887312466678617,1.0455969789625175e-06,9.427064085894289,3.464917219808683e-08,-5.438332839226427,-0.5768851033232926,0.4231148966767075,1.997180562961404,21.71066599141368,0.09199075531590169,1.9943656233343436,13.903202614518824,0.14344649061300951,-0.9943656233343436,-0.10599981855194412,0.9999994772009347,7.505125148933028e-13,6.882334055544574e-13,5.342393194496253e-13,0.4342134057323993,0.4342141518120197,0.43421277485473864,187.54363204099354,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_magnitude_reference,ac085e47df3d997f,50,0.02,1.0,147500,44100,-0.9943660299308771,-0.10596145973333096,0.999995816205904,4.1837940959466025e-06,8.367570687783932e-06,3.9887320598606797,8.367587116907684e-06,9.427096926141152,1.835250378334763e-07,-5.438364866280472,-0.5768864910256725,0.42311350897432753,1.9971789334685663,21.71067656508179,0.09199063545908627,1.9943660299307266,13.903177297338031,0.14344678106871137,-0.9943660299307266,-0.10596145973415189,0.9999958162058414,8.345965111590824e-13,6.882334055544574e-13,5.374589662210383e-13,0.43421416204773455,0.4342143703902317,0.43421405431587884,192.21187320900208,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,jw_signed_baseline,cb9592a2b133d9fb,50,0.02,1.0,147500,44100,-0.9943857367315502,-0.10580910745758088,0.9999992803177998,7.19682200167604e-07,1.439363882416167e-06,3.9887714734620485,1.4393633496195886e-06,9.427239540998992,4.923686743207867e-06,-5.4384680675369435,-0.5768887110468646,0.4231112889531355,1.997190535251669,21.710843039218116,0.09199046447178381,1.9943857367314224,13.903166740603993,0.14344830742098835,-0.9943857367314224,-0.10580910745824162,0.9999992803177427,6.729925572498903e-13,6.882334055544574e-13,5.260236690673992e-13,0.4342174464712029,0.4342175604354621,0.4342172263657728,192.1604164169985,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,signed_parent_descendants_round_robin,22ca2d92bfa72f46,50,0.02,1.0,147500,44100,-0.9943703228289089,-0.10595831115471509,0.9999997513127831,2.486872169304988e-07,4.973743720215751e-07,3.9887406456567196,4.973733355982099e-07,9.427102656405241,1.151824508438537e-06,-5.438362010748522,-0.5768858374585991,0.42311416254140094,1.9971830532736434,21.710705720339067,0.091990701684222,1.9943703228288683,13.903195843576414,0.14344689848775394,-0.9943703228288683,-0.10595831115541987,0.9999997513128173,7.059538596513805e-13,6.882334055544574e-13,5.4944937488699e-13,0.43421429401622164,0.43421491150176433,0.43421379977716495,199.34703341699787,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_signed_reference,84ef503bc85b4b6c,100,0.01,1.0,295000,44100,-0.9943679849318195,-0.10598136229083376,0.9999998693051856,1.3069481441529973e-07,2.613896117331649e-07,3.9887359698636082,2.6138959673491157e-07,4.770432430011974,4.333188696747925e-09,-0.7816964601483658,-0.16386280942384163,0.8361371905761584,1.9971819417555867,21.84131854465672,0.09144053907149205,1.994367984931928,13.972425457938957,0.14273599032147657,-0.994367984931928,-0.10598136229156738,0.9999998693053712,7.415969113931897e-13,6.87527616981558e-13,1.609823385706477e-14,0.218413196259085,0.21841338888640943,0.2184130339018228,401.26248379200115,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_magnitude_reference,ac085e47df3d997f,100,0.01,1.0,295000,44100,-0.9943688317339869,-0.10596477890414965,0.9999989539455626,1.0460544374035763e-06,2.0921077805713395e-06,3.9887376634679472,2.092108849904352e-06,4.770439690202589,2.294453516071826e-08,-0.7817020267346417,-0.16386372693068146,0.8361362730693185,1.9971819074286883,21.84132830977409,0.09144049661736647,1.9943688317340185,13.972424625510763,0.14273605943042358,-0.9943688317340185,-0.1059647789049726,0.9999989539456811,8.235566167359909e-13,6.87527616981558e-13,1.3433698597964394e-14,0.21841336246215676,0.21841341673029468,0.21841333482840464,403.0686567500088,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,jw_signed_baseline,cb9592a2b133d9fb,100,0.01,1.0,295000,44100,-0.9943743565027442,-0.10592110277750139,0.9999998204419082,1.7955809183956006e-07,3.591161514826524e-07,3.9887487130054873,3.5911618170526665e-07,4.770460437755178,6.155250866779483e-07,-0.7817117247496905,-0.16386504718977157,0.8361349528102284,1.997185107567503,21.84137625987731,0.09144044238807146,1.9943743565027274,13.972435817461133,0.14273634050337802,-0.9943743565027274,-0.1059211027781981,0.9999998204419653,6.969221205822442e-13,6.87527616981558e-13,1.6653345369377348e-15,0.2184138374223375,0.21841386601649326,0.21841378098437753,404.3096365829988,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,signed_parent_descendants_round_robin,22ca2d92bfa72f46,100,0.01,1.0,295000,44100,-0.9943693349120267,-0.10596934241636873,0.9999999378727701,6.21272299161646e-08,1.242544559465486e-07,3.9887386698239533,1.2425436125496246e-07,4.77043809704556,1.4399945080789678e-07,-0.7816994272216071,-0.16386323673411277,0.8361367632658873,1.9971826520300524,21.84133031158618,0.09144052232801067,1.994369334912035,13.972427678894052,0.1427360642506395,-0.994369334912035,-0.1059693424171344,0.9999999378728595,7.657244611836794e-13,6.87527616981558e-13,4.951594689828198e-14,0.2184133259909962,0.2184134857510799,0.21841319853521796,402.0526870839967,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_signed_reference,84ef503bc85b4b6c,200,0.005,1.0,590000,44100,-0.9943690958630896,-0.10597186343425995,0.9999999673236534,3.267634662851293e-08,6.535269214680284e-08,3.988738191719809,6.534632015665499e-08,2.3923725914782286,5.436120442681158e-10,1.5963656002415805,0.6672729849555744,1.6672729849555743,1.9971825470831777,21.874060127192443,0.09130369650033132,1.9943690958631073,13.987508174316845,0.14258215766587123,-0.9943690958631073,-0.10597186343469424,0.999999967323717,4.346501030827252e-13,6.852321733951003e-13,3.1861180360692742e-12,0.10937030199003063,0.10937035070248263,0.10937026099689609,811.8716386250017,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_magnitude_reference,ac085e47df3d997f,200,0.005,1.0,590000,44100,-0.9943696801854621,-0.10596422071036739,0.9999997384714125,2.61528587452986e-07,5.230571065162337e-07,3.9887393603645664,5.230508187905507e-07,2.392374272579509,2.8700868348607855e-09,1.5963650877850575,0.6672723018642993,1.6672723018642992,1.9971827250689465,21.874066095912834,0.09130367972336519,1.994369680185428,13.987507768451852,0.14258220357765466,-0.994369680185428,-0.10596422071103168,0.9999997384714491,6.651618955019949e-13,6.852321733951003e-13,3.1786795418042857e-12,0.10937034041684937,0.10937035419933497,0.10937033345115962,813.6425930840051,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,jw_signed_baseline,cb9592a2b133d9fb,200,0.005,1.0,590000,44100,-0.9943713607703986,-0.10595049379687146,0.9999999551280865,4.487191351820741e-08,8.974382503801337e-08,3.9887427215342366,8.973726589086727e-08,2.3923774997758294,7.69425787527922e-08,1.5963652217584072,0.6672714577477802,1.66727145774778,1.997183675027891,21.874080956094268,0.09130366112462714,1.9943713607705944,13.987509737174804,0.14258230365839356,-0.9943713607705944,-0.10595049379762239,0.9999999551283608,7.760451799731473e-13,6.852321733951003e-13,3.280598015464875e-12,0.10937041418445442,0.10937042131461253,0.10937039995891125,815.7147605830105,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,signed_parent_descendants_round_robin,22ca2d92bfa72f46,200,0.005,1.0,590000,44100,-0.9943695212260066,-0.10596803379893376,0.9999999844652246,1.5534775354986152e-08,3.10695504879277e-08,3.9887390424456126,3.106315260161715e-08,2.392373485583924,1.800267379614695e-08,1.5963655568616888,0.6672727174419643,1.6672727174419644,1.9971827686476127,21.874063910895167,0.09130369083601533,1.994369521226101,13.98750849286581,0.14258218482893573,-0.994369521226101,-0.10596803379942757,0.9999999844653709,5.027495386309311e-13,6.852321733951003e-13,3.2003288907844762e-12,0.10937032242760929,0.10937036287031204,0.10937029021257207,818.6582529169973,1e-12
success,,Be-Be_2.04_sto-6g_as-008-012,hamiltonian_generator/extended_diatomic_20q_library/Be-Be/2.04/sto-6g/Be-Be_2.04_sto-6g_as-008-012.tensors.npz,Be-Be,2.04,sto-6g,8,12,20,1580,2950,fermionic_signed_reference,ec4f71a9dbe24688,25,0.04,1.0,73750,44100,-0.9856843117655315,-0.16855741338370256,0.9999925820061336,7.41799386638764e-06,1.4835932706125377e-05,3.9713686235312307,1.4835987901989635e-05,17.868572927764163,6.232323503052584e-06,-13.897204304232933,-0.7777456185457025,0.22225438145429754,1.9928255788201323,21.135495311952216,0.09428809447835276,1.985684311765889,13.560987180177285,0.1464262361864374,-0.9856843117658891,-0.16855741338375685,0.9999925820064953,3.6170040415250397e-13,1.5396386639886365e-13,4.529709940470639e-14,0.8454246962792914,0.8454406772135357,0.8454182977481643,92.12127016700106,1e-12
