molecule,case_pairs_total,case_pairs_above_floor,case_pairs_below_floor,jw_magnitude_wins,jw_signed_wins,jw_ties,jw_magnitude_win_fraction,median_jw_magnitude_ratio_to_signed,geometric_mean_jw_magnitude_ratio_to_signed,fermionic_comparisons_above_floor,fermionic_wins_vs_strongest_jw,strongest_jw_wins_vs_fermionic,fermionic_ties_vs_strongest_jw,fermionic_win_fraction_vs_strongest_jw,median_strongest_jw_ratio_to_fermionic,numerical_error_floor
ALL,230,215,15,102,107,6,0.4744186046511628,1.0003101201029014,0.8398341662664202,201,59,128,14,0.2935323383084577,0.9521724335295697,1e-12
B-B,29,27,2,16,11,0,0.5925925925925926,0.8591772790732778,0.7741583943234546,13,4,8,1,0.3076923076923077,0.9927349457728601,1e-12
B-H,14,14,0,5,8,1,0.35714285714285715,1.0599659541732789,1.281339635272806,14,1,12,1,0.07142857142857142,0.8206100984119832,1e-12
Be-Be,12,12,0,11,1,0,0.9166666666666666,0.5411523582425894,0.5058531421485928,12,9,3,0,0.75,1.1258980762355213,1e-12
Be-H,14,12,2,5,7,0,0.4166666666666667,1.475317099020724,1.5614977467762985,12,3,9,0,0.25,0.8293909249989577,1e-12
BeH2,15,15,0,10,4,1,0.6666666666666666,0.7267290399366966,0.2990986354160927,15,2,10,3,0.13333333333333333,0.9500685083874864,1e-12
C-C,18,18,0,7,9,2,0.3888888888888889,1.0059995557903627,1.128382054108606,18,4,11,3,0.2222222222222222,0.9284687602469446,1e-12
CH4,17,15,2,7,8,0,0.4666666666666667,1.0364887597491972,1.6808272320666755,15,3,12,0,0.2,0.7100811620797837,1e-12
F-F,16,16,0,11,5,0,0.6875,0.9466276768793844,0.42010764576338494,16,8,5,3,0.5,1.0002049386868828,1e-12
H2O,15,15,0,3,11,1,0.2,1.2159992944081848,1.8477522985704642,15,4,10,1,0.26666666666666666,0.4233271939524039,1e-12
Li-H,14,14,0,3,11,0,0.21428571428571427,1.0880940560922419,1.6838820195346604,14,2,12,0,0.14285714285714285,0.5258909775667586,1e-12
Li-Li,14,14,0,14,0,0,1.0,0.04888849220398059,0.03547986955570213,14,9,5,0,0.6428571428571429,1.0924295012016454,1e-12
N-N,18,18,0,8,9,1,0.4444444444444444,1.0001568165580634,1.135475111757474,18,2,14,2,0.1111111111111111,0.9828623833979024,1e-12
NH3,16,12,4,2,10,0,0.16666666666666666,1.2284675704381438,2.7363644546293813,12,5,7,0,0.4166666666666667,0.882527261130488,1e-12
O-O,18,13,5,0,13,0,0.0,1.2946241517783001,1.665482479081501,13,3,10,0,0.23076923076923078,0.9980878787859959,1e-12
