status,error_message,case_id,tensor_path,molecule,atom_count,geometry_tag,geometry_scale,basis,source_mapping,active_occupied,active_vacant,n_qubits,identity_coefficient_real,identity_coefficient_imag,number_of_fermionic_terms,number_of_pauli_terms,pauli_to_fermionic_term_ratio,ordering,formula_order,trotter_steps,trotter_dt,evolution_time,nominal_exponential_count,ordering_build_time_seconds,graph_vertices,graph_edges,graph_density,number_of_colors,mean_vertices_per_color,graph_time_seconds,coloring_time_seconds,exact_evolution_time_seconds,trotter_runtime_seconds,operator_norm_error,state_infidelity,state_vector_2norm_error,operator_error_ratio_to_jw_raw,state_infidelity_ratio_to_jw_raw,operator_error_ratio_to_jw_coloring,state_infidelity_ratio_to_jw_coloring,coefficient_tolerance
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,jw_raw,1,10,0.1,1.0,140,0.0,,,,,,,,0.0002850839991879184,0.00018458300110069104,,4.956925980792448e-09,7.040554373197146e-05,1.0,1.0,,,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,jw_coloring,1,10,0.1,1.0,140,0.0002282919995195698,14,16,0.17582417582417584,2,7.0,0.0001377080006932374,8.183299723896198e-05,0.0002850839991879184,5.420799789135344e-05,,4.9569279791938925e-09,7.040554373197134e-05,,1.000000403153376,1.0,1.0,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,fermionic_coloring,1,10,0.1,1.0,140,0.002386042000580346,12,12,0.18181818181818182,2,6.0,0.0013748330020462163,1.0040999768534675e-05,0.0002850839991879184,4.525000258581713e-05,,4.956924648524819e-09,7.0405543731971e-05,,0.9999997312310825,,0.9999993280779773,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,jw_raw,1,100,0.01,1.0,1400,0.0,,,,,,,,0.0002850839991879184,4.57499991171062e-05,,4.957145804951324e-11,7.0394313294977195e-06,1.0,1.0,,,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,jw_coloring,1,100,0.01,1.0,1400,0.0002282919995195698,14,16,0.17582417582417584,2,7.0,0.0001377080006932374,8.183299723896198e-05,0.0002850839991879184,4.879100015386939e-05,,4.959321842079589e-11,7.039431329496503e-06,,1.0004389697648377,1.0,1.0,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,fermionic_coloring,1,100,0.01,1.0,1400,0.002386042000580346,12,12,0.18181818181818182,2,6.0,0.0013748330020462163,1.0040999768534675e-05,0.0002850839991879184,4.483299926505424e-05,,4.9615866970498246e-11,7.039431329501839e-06,,1.000895856662934,,1.000456686426563,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,jw_raw,1,1000,0.001,1.0,14000,0.0,,,,,,,,0.0002850839991879184,5.80830019316636e-05,,7.434053372890048e-13,7.039420102501697e-07,1.0,1.0,,,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,jw_coloring,1,1000,0.001,1.0,14000,0.0002282919995195698,14,16,0.17582417582417584,2,7.0,0.0001377080006932374,8.183299723896198e-05,0.0002850839991879184,5.4624997574137524e-05,,7.434053372890048e-13,7.039420102504101e-07,,,1.0,1.0,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,fermionic_coloring,1,1000,0.001,1.0,14000,0.002386042000580346,12,12,0.18181818181818182,2,6.0,0.0013748330020462163,1.0040999768534675e-05,0.0002850839991879184,5.8374997024657205e-05,,5.209166431541234e-13,7.039420102360116e-07,,,,,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,jw_raw,2,10,0.1,1.0,270,0.0,,,,,,,,0.0002850839991879184,7.304099926841445e-05,,4.04121180963557e-13,6.320014964609433e-07,1.0,1.0,,,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,jw_coloring,2,10,0.1,1.0,270,0.0002282919995195698,14,16,0.17582417582417584,2,7.0,0.0001377080006932374,8.183299723896198e-05,0.0002850839991879184,7.845900108804926e-05,,3.9968028886505635e-13,6.320014964585329e-07,,,1.0,1.0,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,fermionic_coloring,2,10,0.1,1.0,270,0.002386042000580346,12,12,0.18181818181818182,2,6.0,0.0013748330020462163,1.0040999768534675e-05,0.0002850839991879184,6.974999996600673e-05,,1.5916157281026244e-12,1.2638040212411276e-06,,,,,1e-12
success,,BeH2_s-0.80_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-0.80/hgbs-5/BeH2_s-0.80_hgbs-5_as-002-002.tensors.npz,BeH2,3,s-0.80,0.8,hgbs-5,JW,2,2,4,-15.173700146256532,0.0,12,14,1.1666666666666667,jw_raw,2,100,0.01,1.0,2700,0.0,,,,,,,,0.0002850839991879184,0.00010216599912382662,,0.0,6.317898341977278e-09,1.0,1.0,,,1e-12
