case_id,n_qubits,graph_level,schedule,number_of_samples,minimum_bch2_hf_state_norm,median_bch2_hf_state_norm,maximum_bch2_hf_state_norm,mean_bch2_hf_state_norm,std_bch2_hf_state_norm,minimum_state_infidelity,median_state_infidelity,maximum_state_infidelity,mean_state_infidelity,std_state_infidelity,fraction_beating_raw_jw,fraction_beating_current_coloring,pearson_correlation_log_bch2_squared_vs_log_infidelity
B-B_1.70_sto-6g_as-006-010,16,fermionic,reverse_groups,1,0.3144349853972112,0.3144349853972112,0.3144349853972112,0.3144349853972112,0.0,2.159797701350996e-06,2.159797701350996e-06,2.159797701350996e-06,2.159797701350996e-06,0.0,1.0,1.0,
B-B_1.70_sto-6g_as-006-010,16,jw,current,1,0.7046895545414698,0.7046895545414698,0.7046895545414698,0.7046895545414698,0.0,1.1386635713206417e-05,1.1386635713206417e-05,1.1386635713206417e-05,1.1386635713206417e-05,0.0,0.0,0.0,
B-B_1.70_sto-6g_as-006-010,16,jw,random_both,100,0.3698658793882889,0.6118098354869526,1.0505696169643066,0.628389695029232,0.14143497509486525,2.9798721271623307e-06,7.787091862387907e-06,1.9533417019212962e-05,8.527185120486003e-06,3.6998152010063757e-06,0.59,0.78,0.9846689511470965
B-B_1.70_sto-6g_as-006-010,16,jw,random_groups,100,0.34049402272526685,0.5792428501267665,0.952457601583129,0.5976512068518008,0.13501636930134925,2.42655683535542e-06,7.07523157944534e-06,1.7661676130154014e-05,7.764878506960616e-06,3.3992227863851025e-06,0.61,0.82,0.9833542463874809
B-B_1.70_sto-6g_as-006-010,16,jw,random_within,100,0.7046895545414698,0.7046895545414698,0.7046895545414698,0.70468955454147,2.220446049250313e-16,1.1386635666799094e-05,1.1386635735410877e-05,1.1386635802024259e-05,1.1386635735990414e-05,2.3124959972520438e-14,0.0,0.13,
B-B_1.70_sto-6g_as-006-010,16,jw,reverse_groups,1,0.7046895545414698,0.7046895545414698,0.7046895545414698,0.7046895545414698,0.0,1.1387617695035601e-05,1.1387617695035601e-05,1.1387617695035601e-05,1.1387617695035601e-05,0.0,0.0,0.0,
B-B_1.70_sto-6g_as-008-010,18,baseline,jw_raw,1,0.8298115147649923,0.8298115147649923,0.8298115147649923,0.8298115147649923,0.0,5.262031543828982e-06,5.262031543828982e-06,5.262031543828982e-06,5.262031543828982e-06,0.0,0.0,,
B-B_1.70_sto-6g_as-008-010,18,fermionic,current,1,0.936154669658323,0.936154669658323,0.936154669658323,0.936154669658323,0.0,1.0569320964104456e-05,1.0569320964104456e-05,1.0569320964104456e-05,1.0569320964104456e-05,0.0,0.0,0.0,
B-B_1.70_sto-6g_as-008-010,18,fermionic,random_both,100,0.6140943330028863,0.9806565998645336,1.3815381914530016,0.9954231075058675,0.1513466588781955,2.596149725087038e-06,7.781488838121131e-06,2.1630140018102928e-05,8.592367871761431e-06,3.949117549768237e-06,0.22,0.74,0.7920064125484392
B-B_1.70_sto-6g_as-008-010,18,fermionic,random_groups,100,0.7409886249874637,0.9932102526826235,1.4096255928932626,1.0204741176421264,0.1649907065290754,2.8357725443406423e-06,7.840149210514014e-06,2.4088841877323297e-05,8.852925800519884e-06,4.224053071132586e-06,0.2,0.74,0.7575722262137067
B-B_1.70_sto-6g_as-008-010,18,fermionic,random_within,100,0.9355242072238421,0.935650077490863,0.9362238481136823,0.9357536113770365,0.00022189909481170857,1.0519977533540725e-05,1.0550430711964154e-05,1.0570330368664393e-05,1.0545647315348684e-05,1.3444122310419417e-08,0.0,0.89,0.6148647903508127
B-B_1.70_sto-6g_as-008-010,18,fermionic,reverse_groups,1,1.7775466518200485,1.7775466518200485,1.7775466518200485,1.7775466518200485,0.0,2.4966786388413986e-05,2.4966786388413986e-05,2.4966786388413986e-05,2.4966786388413986e-05,0.0,0.0,0.0,
B-B_1.70_sto-6g_as-008-010,18,jw,current,1,1.2392585674932806,1.2392585674932806,1.2392585674932806,1.2392585674932806,0.0,2.0303472545779577e-05,2.0303472545779577e-05,2.0303472545779577e-05,2.0303472545779577e-05,0.0,0.0,0.0,
B-B_1.70_sto-6g_as-008-010,18,jw,random_both,100,0.7860482832062333,1.1053681068808352,1.8242162758284381,1.1510187886124734,0.22864055421341395,3.6193925757599388e-06,9.670242750559055e-06,4.1903125448938816e-05,1.1046655151626395e-05,6.472704819852783e-06,0.1,0.94,0.6009625527755251
B-B_1.70_sto-6g_as-008-010,18,jw,random_groups,100,0.6861338320213919,1.1978728913187453,1.993480395163971,1.2341195409096033,0.2579493658985349,2.1908614922239167e-06,1.0530928911844928e-05,5.563433360822323e-05,1.3144414826861128e-05,9.382528650950604e-06,0.12,0.85,0.6264860020740252
B-B_1.70_sto-6g_as-008-010,18,jw,random_within,100,1.2392585674932806,1.2392585674932806,1.2392585674932806,1.2392585674932806,0.0,2.0303472534677347e-05,2.0303472616944873e-05,2.030347267856225e-05,2.0303472615263994e-05,3.112641285568325e-14,0.0,0.01,-2.534607618143938e-07
B-B_1.70_sto-6g_as-008-010,18,jw,reverse_groups,1,1.2392585674932806,1.2392585674932806,1.2392585674932806,1.2392585674932806,0.0,2.0304295273110284e-05,2.0304295273110284e-05,2.0304295273110284e-05,2.0304295273110284e-05,0.0,0.0,0.0,
