case_id,n_qubits,graph_level,schedule,number_of_samples,minimum_bch2_hf_state_norm,median_bch2_hf_state_norm,maximum_bch2_hf_state_norm,mean_bch2_hf_state_norm,std_bch2_hf_state_norm,minimum_state_infidelity,median_state_infidelity,maximum_state_infidelity,mean_state_infidelity,std_state_infidelity,fraction_beating_raw_jw,fraction_beating_current_coloring,pearson_correlation_log_bch2_squared_vs_log_infidelity
B-B_1.70_sto-6g_as-004-008,12,baseline,jw_raw,1,0.14283817988326125,0.14283817988326125,0.14283817988326125,0.14283817988326125,0.0,4.932686958891708e-07,4.932686958891708e-07,4.932686958891708e-07,4.932686958891708e-07,0.0,0.0,,
B-B_1.70_sto-6g_as-004-008,12,fermionic,current,1,0.4422932221141637,0.4422932221141637,0.4422932221141637,0.4422932221141637,0.0,4.556954052437057e-06,4.556954052437057e-06,4.556954052437057e-06,4.556954052437057e-06,0.0,0.0,0.0,
B-B_1.70_sto-6g_as-004-008,12,fermionic,random_both,100,0.1115932433220421,0.2593384929453119,0.5190750326098292,0.2704082246112575,0.09971150241863863,2.868976763936715e-07,1.5551047080064606e-06,5.618132108975438e-06,1.8860304495027514e-06,1.2801561328471773e-06,0.12,0.95,0.9988873868263862
B-B_1.70_sto-6g_as-004-008,12,fermionic,random_groups,100,0.10254542452895829,0.25475139183154605,0.5229759390334303,0.26616790620136405,0.10448149004377424,2.4677220256119625e-07,1.5433976729983812e-06,5.844822106304548e-06,1.8525015389159182e-06,1.3425107081829313e-06,0.13,0.95,0.9988789357367015
B-B_1.70_sto-6g_as-004-008,12,fermionic,random_within,100,0.4377064361048706,0.4424617729557029,0.44674817461554256,0.44216695605399825,0.0024539640963188603,4.403434958777375e-06,4.54723399184731e-06,4.598022676494118e-06,4.5150225851953165e-06,6.512943123709318e-08,0.0,0.73,0.7857790038971341
B-B_1.70_sto-6g_as-004-008,12,fermionic,reverse_groups,1,0.23433534615003324,0.23433534615003324,0.23433534615003324,0.23433534615003324,0.0,1.3648567648294474e-06,1.3648567648294474e-06,1.3648567648294474e-06,1.3648567648294474e-06,0.0,0.0,1.0,
B-B_1.70_sto-6g_as-004-008,12,jw,current,1,0.345698381262873,0.345698381262873,0.345698381262873,0.345698381262873,0.0,2.8517168171315888e-06,2.8517168171315888e-06,2.8517168171315888e-06,2.8517168171315888e-06,0.0,0.0,0.0,
B-B_1.70_sto-6g_as-004-008,12,jw,random_both,100,0.12805758073500592,0.33669203286861216,0.56431882554459,0.33266707902648085,0.10170877925954647,4.0140418244849485e-07,2.6382055373641577e-06,6.943794867764197e-06,2.784933029847947e-06,1.5307924263637118e-06,0.04,0.61,0.9991859407280961
B-B_1.70_sto-6g_as-004-008,12,jw,random_groups,100,0.12627451370747658,0.32172001425961283,0.5572314858867656,0.318322440159545,0.1006176826702974,3.928166231181862e-07,2.4375161469802897e-06,7.035935611021671e-06,2.587813496193192e-06,1.447295902426249e-06,0.05,0.61,0.9992438487866563
B-B_1.70_sto-6g_as-004-008,12,jw,random_within,100,0.345698381262873,0.345698381262873,0.345698381262873,0.3456983812628729,1.1102230246251565e-16,2.8517167713904e-06,2.85171680947105e-06,2.8517168402242277e-06,2.8517168086339416e-06,1.456070444402193e-14,0.0,0.72,
B-B_1.70_sto-6g_as-004-008,12,jw,reverse_groups,1,0.345698381262873,0.345698381262873,0.345698381262873,0.345698381262873,0.0,2.85210864092722e-06,2.85210864092722e-06,2.85210864092722e-06,2.85210864092722e-06,0.0,0.0,0.0,
B-B_1.70_sto-6g_as-006-010,16,baseline,jw_raw,1,0.5951377741910787,0.5951377741910787,0.5951377741910787,0.5951377741910787,0.0,8.490621706380708e-06,8.490621706380708e-06,8.490621706380708e-06,8.490621706380708e-06,0.0,0.0,,
B-B_1.70_sto-6g_as-006-010,16,fermionic,current,1,0.3183778208711956,0.3183778208711956,0.3183778208711956,0.3183778208711956,0.0,2.2199783489273983e-06,2.2199783489273983e-06,2.2199783489273983e-06,2.2199783489273983e-06,0.0,1.0,0.0,
B-B_1.70_sto-6g_as-006-010,16,fermionic,random_both,100,0.2883018561978429,0.4539699987814736,1.0214250071974273,0.5025502766094987,0.1530685818011055,1.8953929310505657e-06,4.481249009036237e-06,2.06030514279254e-05,5.785331497268897e-06,3.5336940616993876e-06,0.83,0.03,0.9960239985633491
B-B_1.70_sto-6g_as-006-010,16,fermionic,random_groups,100,0.24859699442368058,0.466817198116815,1.0121044535859607,0.505153925014044,0.15281981285119503,1.5426569829335435e-06,4.6631417494058525e-06,2.033592746186752e-05,5.866335219020247e-06,3.410700886402054e-06,0.86,0.06,0.9962398969196337
B-B_1.70_sto-6g_as-006-010,16,fermionic,random_within,100,0.31712198606077613,0.32025800020360295,0.3216133357039238,0.3199891360419496,0.0012139611838543705,2.202613727075864e-06,2.243889463682258e-06,2.2635464850262466e-06,2.2409960507618897e-06,1.6341322594684598e-08,1.0,0.14,0.9986900524938155
