case_id,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,jw_number_of_colors,fermionic_number_of_colors,raw_jw_one_minus_overlap,signed_baseline_one_minus_overlap,jw_mean_one_minus_overlap,jw_median_one_minus_overlap,jw_std_one_minus_overlap,jw_minimum_one_minus_overlap,jw_maximum_one_minus_overlap,jw_schedules_beating_baseline,jw_fraction_beating_baseline,fermionic_mean_one_minus_overlap,fermionic_median_one_minus_overlap,fermionic_std_one_minus_overlap,fermionic_minimum_one_minus_overlap,fermionic_maximum_one_minus_overlap,fermionic_schedules_beating_baseline,fermionic_fraction_beating_baseline,jw_pearson_log_bch_squared_vs_log_overlap_error,fermionic_pearson_log_bch_squared_vs_log_overlap_error
B-B_1.70_sto-6g_as-004-002,B-B,1.70,sto-6g,4,2,6,27,33,3,4,8.262011963466875e-09,1.6701462213219997e-08,9.050796970111463e-07,4.824475119402649e-08,1.0557319728205118e-06,1.7466344370831166e-08,2.1980362479023796e-06,0,0.0,6.414588171743674e-08,4.985217871844583e-08,6.836860679946794e-08,9.358939623282936e-09,2.013320139493402e-07,5,0.25,0.9999902377870235,0.999998887518832
B-B_1.70_sto-6g_as-004-004,B-B,1.70,sto-6g,4,4,8,48,60,4,4,1.8474413110425303e-08,1.067956933997749e-08,7.560081959290254e-07,2.0281655110920838e-07,9.214716375645605e-07,1.776405234021894e-08,2.387971792527921e-06,0,0.0,2.1095175694041403e-07,7.804982393722071e-08,2.1731648132826983e-07,1.6730970942013812e-08,6.484236271253607e-07,0,0.0,0.9999888659051559,0.999995232921309
B-B_1.70_sto-6g_as-004-006,B-B,1.70,sto-6g,4,6,10,93,131,8,12,1.8441696592041978e-07,2.1361098812011647e-07,4.281695385560669e-06,4.074565898348759e-06,2.746604994933757e-06,1.3006531407455668e-07,9.739952170462196e-06,1,0.05,9.773523598377575e-07,6.375074109166157e-07,9.018922883683346e-07,1.58035836195225e-07,3.4035471612181567e-06,4,0.2,0.9996010321421402,0.9989328766661754
B-B_1.70_sto-6g_as-004-008,B-B,1.70,sto-6g,4,8,12,162,246,8,16,2.4663437836469626e-07,3.0744588241926607e-07,1.2948104948895534e-06,1.2290891398536452e-06,7.035618238757712e-07,2.4969667156149455e-07,3.5179739960033984e-06,1,0.05,1.0138848029750402e-06,9.394689735597872e-07,6.209950063542348e-07,1.997039121848232e-07,2.0521018051500306e-06,4,0.2,0.9987089588027802,0.9994611226936841
B-B_1.70_sto-6g_as-004-010,B-B,1.70,sto-6g,4,10,14,283,461,17,27,4.530046333273141e-06,4.967306111991476e-07,8.993104064813905e-06,5.582219082256312e-06,8.72402232746918e-06,1.512673839854095e-06,3.216798504668272e-05,0,0.0,2.3251233781051984e-06,1.8406451358643494e-06,1.3918545903179594e-06,7.302118204544072e-07,5.848192286106446e-06,0,0.0,0.9990801703958496,0.9980325232587922
