status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,identity_coefficient_real,identity_coefficient_imag,number_of_fermionic_terms,number_of_pauli_terms,ordering,formula_order,trotter_steps,trotter_dt,evolution_time,nominal_exponential_count,ordering_build_time_seconds,graph_vertices,graph_edges,number_of_colors,graph_time_seconds,coloring_time_seconds,exact_evolution_time_seconds,trotter_runtime_seconds,operator_norm_error,state_infidelity,state_vector_2norm_error,operator_error_ratio_to_jw_raw,state_infidelity_ratio_to_jw_raw,coefficient_tolerance
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,20,0.05,1.0,60,0.00017279099847655743,3,0,1,9.154100189334713e-05,7.383399861282669e-05,3.783300053328276e-05,8.666000212542713e-06,,2.6645352591003757e-15,1.4513406148028517e-15,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,20,0.05,1.0,60,0.0002733330002229195,3,0,1,6.641700019827113e-05,5.7920005929190665e-06,3.783300053328276e-05,1.016699752653949e-05,,2.6645352591003757e-15,1.4513406148028517e-15,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,50,0.02,1.0,150,0.0,,,,,,3.783300053328276e-05,1.1290998372714967e-05,,9.547918011776346e-15,4.91336408857568e-15,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,50,0.02,1.0,150,0.00017279099847655743,3,0,1,9.154100189334713e-05,7.383399861282669e-05,3.783300053328276e-05,1.0708998161135241e-05,,9.547918011776346e-15,4.91336408857568e-15,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,50,0.02,1.0,150,0.0002733330002229195,3,0,1,6.641700019827113e-05,5.7920005929190665e-06,3.783300053328276e-05,1.1541000276338309e-05,,9.547918011776346e-15,4.91336408857568e-15,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,2,1,1.0,1.0,5,0.0,,,,,,3.783300053328276e-05,1.2750002497341484e-05,,0.0,1.1443916996305594e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,2,1,1.0,1.0,5,0.00017279099847655743,3,0,1,9.154100189334713e-05,7.383399861282669e-05,3.783300053328276e-05,1.1374999303370714e-05,,0.0,1.1443916996305594e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,2,1,1.0,1.0,5,0.0002733330002229195,3,0,1,6.641700019827113e-05,5.7920005929190665e-06,3.783300053328276e-05,1.083300230675377e-05,,0.0,1.1443916996305594e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,2,2,0.5,1.0,10,0.0,,,,,,3.783300053328276e-05,1.1416999768698588e-05,,0.0,2.2247786310271853e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,2,2,0.5,1.0,10,0.00017279099847655743,3,0,1,9.154100189334713e-05,7.383399861282669e-05,3.783300053328276e-05,1.1084001016570255e-05,,0.0,2.2247786310271853e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,2,2,0.5,1.0,10,0.0002733330002229195,3,0,1,6.641700019827113e-05,5.7920005929190665e-06,3.783300053328276e-05,1.1042000551242381e-05,,0.0,2.2247786310271853e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,2,5,0.2,1.0,25,0.0,,,,,,3.783300053328276e-05,1.2459000572562218e-05,,4.440892098500626e-16,3.3422138886441676e-16,1.0,1.0,1e-12
