status,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,ordering,formula_order,trotter_steps,evolution_time,state_infidelity,coefficient_tolerance,source_csv,ordering_original
success,B-B_1.70_hgbs-5_as-004-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-004.tensors.npz,B-B,1.70,hgbs-5,4,4,8,fermionic_signed_coefficient_lexicographic,1,100,1.0,1.2619899125709821e-08,1e-12,analysis/deterministic_ordering_additions_hgbs5.csv,fermionic_signed_coefficient_lexicographic
success,B-B_1.70_hgbs-5_as-004-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-004.tensors.npz,B-B,1.70,hgbs-5,4,4,8,fermionic_coloring,1,100,1.0,1.3584413949274676e-07,1e-12,analysis/four_way_missing_fermionic_coloring_hgbs5.csv,fermionic_coloring
success,B-B_1.70_hgbs-5_as-004-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-006.tensors.npz,B-B,1.70,hgbs-5,4,6,10,jw_raw,1,100,1.0,1.4667128178658118e-08,1e-12,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,jw_raw
success,B-B_1.70_hgbs-5_as-004-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-006.tensors.npz,B-B,1.70,hgbs-5,4,6,10,jw_magnitude_descending_lexicographic,1,100,1.0,1.272596761303646e-08,1e-12,analysis/deterministic_ordering_additions_hgbs5.csv,jw_magnitude_descending_lexicographic
success,B-B_1.70_hgbs-5_as-004-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-006.tensors.npz,B-B,1.70,hgbs-5,4,6,10,fermionic_signed_coefficient_lexicographic,1,100,1.0,1.2755565048649942e-08,1e-12,analysis/deterministic_ordering_additions_hgbs5.csv,fermionic_signed_coefficient_lexicographic
success,B-B_1.70_hgbs-5_as-004-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-006.tensors.npz,B-B,1.70,hgbs-5,4,6,10,fermionic_coloring,1,100,1.0,5.038341877039443e-08,1e-12,analysis/four_way_missing_fermionic_coloring_hgbs5.csv,fermionic_coloring
success,B-B_1.70_hgbs-5_as-004-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-008.tensors.npz,B-B,1.70,hgbs-5,4,8,12,jw_raw,1,100,1.0,1.4449613727762767e-08,1e-12,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,jw_raw
success,B-B_1.70_hgbs-5_as-004-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-008.tensors.npz,B-B,1.70,hgbs-5,4,8,12,jw_magnitude_descending_lexicographic,1,100,1.0,2.155123823843752e-08,1e-12,analysis/deterministic_ordering_additions_hgbs5.csv,jw_magnitude_descending_lexicographic
success,B-B_1.70_hgbs-5_as-004-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-008.tensors.npz,B-B,1.70,hgbs-5,4,8,12,fermionic_signed_coefficient_lexicographic,1,100,1.0,1.3779470231511937e-08,1e-12,analysis/deterministic_ordering_additions_hgbs5.csv,fermionic_signed_coefficient_lexicographic
success,B-B_1.70_hgbs-5_as-004-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-008.tensors.npz,B-B,1.70,hgbs-5,4,8,12,fermionic_coloring,1,100,1.0,2.0308067483210124e-07,1e-12,analysis/four_way_missing_fermionic_coloring_hgbs5.csv,fermionic_coloring
success,B-B_1.70_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-008.tensors.npz,B-B,1.70,hgbs-5,6,8,14,jw_raw,1,100,1.0,8.54733422595011e-07,1e-12,analysis/hgbs5_b2_screen_20orders_baseline_results.csv,jw_raw
success,B-B_1.70_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-008.tensors.npz,B-B,1.70,hgbs-5,6,8,14,jw_magnitude_descending_lexicographic,1,100,1.0,7.595843609653485e-08,1e-12,analysis/deterministic_ordering_additions_hgbs5.csv,jw_magnitude_descending_lexicographic
success,B-B_1.70_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-008.tensors.npz,B-B,1.70,hgbs-5,6,8,14,fermionic_signed_coefficient_lexicographic,1,100,1.0,1.1888782469604564e-07,1e-12,analysis/deterministic_ordering_additions_hgbs5.csv,fermionic_signed_coefficient_lexicographic
success,B-B_1.70_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-008.tensors.npz,B-B,1.70,hgbs-5,6,8,14,fermionic_coloring,1,100,1.0,2.7847121153445897e-07,1e-12,analysis/four_way_missing_fermionic_coloring_hgbs5.csv,fermionic_coloring
success,B-B_1.70_hgbs-5_as-006-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-010.tensors.npz,B-B,1.70,hgbs-5,6,10,16,jw_raw,1,100,1.0,7.063660012462947e-07,1e-12,analysis/hgbs5_b2_night_20orders_baseline_results.csv,jw_raw
success,B-B_1.70_hgbs-5_as-006-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-010.tensors.npz,B-B,1.70,hgbs-5,6,10,16,jw_magnitude_descending_lexicographic,1,100,1.0,7.179849714766817e-08,1e-12,analysis/deterministic_ordering_additions_hgbs5.csv,jw_magnitude_descending_lexicographic
success,B-B_1.70_hgbs-5_as-006-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-010.tensors.npz,B-B,1.70,hgbs-5,6,10,16,fermionic_signed_coefficient_lexicographic,1,100,1.0,1.2069590271668318e-07,1e-12,analysis/deterministic_ordering_additions_hgbs5.csv,fermionic_signed_coefficient_lexicographic
