status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,ordering,formula_order,trotter_steps,trotter_dt,evolution_time,nominal_exponential_count,ordering_build_time_seconds,graph_vertices,graph_edges,number_of_colors,graph_time_seconds,coloring_time_seconds,exact_sector_dimension,exact_build_time_seconds,exact_evolution_time_seconds,trotter_runtime_seconds,state_overlap_abs,state_infidelity,state_vector_2norm_error,phase_aligned_state_2norm_error,particle_number_leakage,spin_sector_leakage,state_infidelity_ratio_to_jw_raw,coefficient_tolerance
success,,B-B_1.70_hgbs-5_as-002-002,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-002-002.tensors.npz,B-B,1.70,hgbs-5,2,2,4,12,14,fermionic_coloring,1,100,0.01,1.0,1400,0.002392707858234644,12,12,2,0.0013509169220924377,7.499987259507179e-05,4,0.0017354581505060196,0.0010295421816408634,0.0003437921404838562,0.9999999999999309,1.3811174426336947e-13,0.7978187296505608,3.7163388470828313e-07,0.0,0.0,,1e-12
success,,B-B_1.70_hgbs-5_as-002-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-002-004.tensors.npz,B-B,1.70,hgbs-5,2,4,6,27,33,fermionic_coloring,1,100,0.01,1.0,3300,0.010313374921679497,27,90,4,0.007852542214095592,0.0002111252397298813,9,0.0024653752334415913,0.0004470422863960266,0.001007375307381153,0.999999999609884,7.80232101149636e-10,0.7811533511006721,2.7932635055605406e-05,0.0,0.0,10.024600382856475,1e-12
success,,B-B_1.70_hgbs-5_as-004-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-004.tensors.npz,B-B,1.70,hgbs-5,4,4,8,48,60,fermionic_coloring,1,100,0.01,1.0,6000,0.02909833425655961,48,288,4,0.024594624992460012,8.020782843232155e-05,36,0.005842249840497971,0.00035962508991360664,0.0037980000488460064,0.9999999320779279,1.3584413949274676e-07,1.986560686072909,0.0003685704059683624,0.0,0.0,9.96429469143002,1e-12
success,,B-B_1.70_hgbs-5_as-004-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-006.tensors.npz,B-B,1.70,hgbs-5,4,6,10,105,155,fermionic_coloring,1,100,0.01,1.0,15500,0.16389887453988194,105,2065,12,0.15139895910397172,0.00016012508422136307,100,0.019796083215624094,0.00043395813554525375,0.03547258302569389,0.9999999748082903,5.038341877039443e-08,1.9813573893144718,0.00022446251231893544,1.936228954946273e-13,1.936228954946273e-13,3.435125005841734,1e-12
success,,B-B_1.70_hgbs-5_as-004-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-008.tensors.npz,B-B,1.70,hgbs-5,4,8,12,202,326,fermionic_coloring,1,100,0.01,1.0,32600,0.6754004168324172,202,8863,23,0.6457726252265275,0.0004508746787905693,225,0.054400958120822906,0.0005009169690310955,0.27878079097718,0.9999998984596574,2.0308067483210124e-07,1.9636825036257266,0.0004506447438472742,1.6064927166326015e-13,1.6053824936079764e-13,14.054401637180941,1e-12
success,,B-B_1.70_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-008.tensors.npz,B-B,1.70,hgbs-5,6,8,14,339,573,fermionic_coloring,1,100,0.01,1.0,57300,2.0510255419649184,339,25447,31,1.9954291670583189,0.0010892502032220364,1225,0.5001538749784231,0.00130941579118371,1.9631572500802577,0.9999998607643845,2.7847121153445897e-07,0.35636052767081605,0.0005277037340813138,5.698774785400929e-13,5.698774785400929e-13,0.3257989031118115,1e-12
success,,B-B_1.70_hgbs-5_as-006-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-010.tensors.npz,B-B,1.70,hgbs-5,6,10,16,516,896,fermionic_coloring,1,100,0.01,1.0,89600,5.162112707737833,516,56083,40,5.065767833031714,0.0024742078967392445,3136,1.6168787498027086,0.00372195802628994,11.861471875105053,0.9999999401582353,1.1968352575664198e-07,0.26682496070399125,0.00034595307385446895,9.348077867343818e-14,9.370282327836321e-14,0.16943556958499606,1e-12
success,,B-B_1.70_hgbs-5_as-008-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-008-010.tensors.npz,B-B,1.70,hgbs-5,8,10,18,831,1491,fermionic_coloring,1,100,0.01,1.0,149100,13.853154499083757,831,139640,62,13.680047249887139,0.006491499952971935,15876,16.595465667080134,0.06975362496450543,29.729307832662016,0.9999998640573912,2.718851992433713e-07,1.5546519543928188,0.0005214261382718299,4.3576253716537394e-13,4.360956040727615e-13,0.05400755000173892,1e-12
success,,B-B_1.70_hgbs-5_as-010-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-010-010.tensors.npz,B-B,1.70,hgbs-5,10,10,20,1256,2302,fermionic_coloring,1,100,0.01,1.0,230200,32.03474870836362,1256,311326,83,31.752567624673247,0.01425716606900096,63504,114.19710766710341,0.6195934591814876,98.53549245884642,0.9999994437651368,1.1124694169195593e-06,0.12084825172333326,0.0010547368042970323,1.0756950885593142e-12,1.0758061108617767e-12,0.054564832858327146,1e-12
success,,B-H_1.29_hgbs-5_as-004-006,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-006.tensors.npz,B-H,1.29,hgbs-5,4,6,10,165,275,fermionic_coloring,1,100,0.01,1.0,27500,0.4940034160390496,165,6835,22,0.4709770418703556,0.00043779192492365837,100,0.035626583732664585,0.00046841707080602646,0.06542183319106698,0.9999999900949565,1.9810086793192738e-08,1.9998038940577625,0.00014074831048440704,0.0,0.0,1.1014815641777338,1e-12
