status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,graph_level,schedule,ordering_definition,graph_vertices,graph_edges,graph_density,number_of_colors,group_sizes,group_order,original_within_group_order_hash,sorted_within_group_order_hash,pauli_order_hash,trotter_steps,trotter_dt,evolution_time,nominal_exponential_count,bch2_hf_state_norm,leading_state_error_norm_estimate,exact_sector_dimension,exact_build_time_seconds,exact_evolution_time_seconds,schedule_build_time_seconds,bch_evaluation_time_seconds,trotter_runtime_seconds,state_overlap_abs,one_minus_overlap,state_infidelity,state_vector_2norm_error,phase_aligned_state_2norm_error,particle_number_leakage,spin_sector_leakage,coefficient_tolerance
success,,B-B_1.70_hgbs-5_as-002-002,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-002-002.tensors.npz,B-B,1.70,hgbs-5,2,2,4,12,14,jw,magnitude_within_groups,"fixed deterministic JW color groups and group order; final JW Pauli terms sorted inside each group by decreasing absolute coefficient magnitude, with dense Pauli lexicographic tie-breaking",14,16,0.17582417582417584,2,"[10,4]","[0,1]",7a41a379ee2bbe80,4799611b7fe4e086,86e5a41e1dbcd324,100,0.01,1.0,1400,8.790025635489166e-05,4.395012817744583e-07,4,0.0010132500028703362,0.0003100000030826777,5.00003807246685e-07,1.970799348782748e-05,0.0003672500024549663,0.9999999999999262,7.382983113757291e-14,1.4765966227514582e-13,0.7978187192287265,3.8426509375058493e-07,0.0,0.0,1e-12
success,,B-B_1.70_hgbs-5_as-002-002,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-002-002.tensors.npz,B-B,1.70,hgbs-5,2,2,4,12,14,fermionic,magnitude_within_groups,"fixed deterministic fermionic color groups and group order; complete Hermitian fermionic terms sorted inside each group by decreasing coefficient magnitude, with component-key lexicographic tie-breaking; final JW Pauli order induced by first occurrence",12,12,0.18181818181818182,2,"[4,8]","[0,1]",7167351881444ba2,e1b08eb90b67ba45,1b8c69e853398132,100,0.01,1.0,1400,8.790025635489166e-05,4.395012817744583e-07,4,0.0010132500028703362,0.0003100000030826777,4.159956006333232e-07,1.1083000572398305e-05,0.00035870900319423527,0.9999999999999267,7.327471962526033e-14,1.4654943925052066e-13,0.7978187192287259,3.82817762454305e-07,0.0,0.0,1e-12
success,,Li-Li_2.66_hgbs-5_as-006-002,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Li-Li/2.66/hgbs-5/Li-Li_2.66_hgbs-5_as-006-002.tensors.npz,Li-Li,2.66,hgbs-5,6,2,8,110,184,jw,magnitude_within_groups,"fixed deterministic JW color groups and group order; final JW Pauli terms sorted inside each group by decreasing absolute coefficient magnitude, with dense Pauli lexicographic tie-breaking",184,7216,0.42860536944642436,11,"[28,20,20,16,20,16,16,16,16,8,8]","[0,1,2,3,4,5,6,7,8,9,10]",2345a4dd3de23274,711aca43496bd9af,76d7f09e62bad467,100,0.01,1.0,18400,0.2552900298331343,0.0012764501491656715,16,0.01330999999481719,0.00040204200195148587,1.8749997252598405e-06,8.537499525118619e-05,0.012501125005655922,0.9999994908611921,5.09138807891496e-07,1.0182773565459158e-06,1.8042867294747031,0.0010090974263087741,6.816769371198461e-14,6.816769371198461e-14,1e-12
success,,Li-Li_2.66_hgbs-5_as-006-002,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Li-Li/2.66/hgbs-5/Li-Li_2.66_hgbs-5_as-006-002.tensors.npz,Li-Li,2.66,hgbs-5,6,2,8,110,184,fermionic,magnitude_within_groups,"fixed deterministic fermionic color groups and group order; complete Hermitian fermionic terms sorted inside each group by decreasing coefficient magnitude, with component-key lexicographic tie-breaking; final JW Pauli order induced by first occurrence",110,3317,0.5532944120100083,15,"[6,7,7,8,4,4,4,4,17,17,4,4,8,8,8]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]",b529371bc05f13c7,f396d8ef844a7216,91272de5cd069360,100,0.01,1.0,18400,0.017198826830768208,8.599413415384103e-05,16,0.01330999999481719,0.00040204200195148587,2.4999899324029684e-06,8.474999049212784e-05,0.012324750001425855,0.9999999998583127,1.4168732853647725e-10,2.833746570729545e-10,1.8042869510732824,1.683373568382712e-05,5.972999872483342e-14,5.972999872483342e-14,1e-12
success,,Li-Li_2.66_hgbs-5_as-006-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Li-Li/2.66/hgbs-5/Li-Li_2.66_hgbs-5_as-006-004.tensors.npz,Li-Li,2.66,hgbs-5,6,4,10,153,251,jw,magnitude_within_groups,"fixed deterministic JW color groups and group order; final JW Pauli terms sorted inside each group by decreasing absolute coefficient magnitude, with dense Pauli lexicographic tie-breaking",251,12560,0.4003187250996016,14,"[31,20,20,16,26,21,19,26,10,10,12,12,24,4]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]",716d31f899e02d86,b8580f0ef444ad30,18c8cb480148b782,100,0.01,1.0,25100,0.01581454421975577,7.907272109877885e-05,100,0.04189320799196139,0.0004293329984648153,2.415996277704835e-06,0.00016395900456700474,0.05026695800188463,0.9999999987911055,1.2088945400279272e-09,2.4177890800558544e-09,1.7120423593816727,4.917101870061118e-05,2.0095036745715333e-14,1.9984014443252818e-14,1e-12
success,,Li-Li_2.66_hgbs-5_as-006-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Li-Li/2.66/hgbs-5/Li-Li_2.66_hgbs-5_as-006-004.tensors.npz,Li-Li,2.66,hgbs-5,6,4,10,153,251,fermionic,magnitude_within_groups,"fixed deterministic fermionic color groups and group order; complete Hermitian fermionic terms sorted inside each group by decreasing coefficient magnitude, with component-key lexicographic tie-breaking; final JW Pauli order induced by first occurrence",153,5647,0.48563811489508085,19,"[9,7,7,8,9,4,4,6,6,13,15,10,9,15,4,5,6,11,5]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",91590c7d69fa2a9b,5adaedee20da4db8,c0940b6893fa3691,100,0.01,1.0,25100,0.03901797516295836,0.0001950898758147918,100,0.04189320799196139,0.0004293329984648153,2.6659981813281775e-06,0.00018645799718797207,0.05212687500170432,0.9999999894034226,1.0596577393329198e-08,2.1193154675636094e-08,1.7120425425032877,0.00014557868932868712,4.241051954068098e-14,4.2521541843143495e-14,1e-12
success,,Li-Li_2.66_hgbs-5_as-006-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Li-Li/2.66/hgbs-5/Li-Li_2.66_hgbs-5_as-006-006.tensors.npz,Li-Li,2.66,hgbs-5,6,6,12,202,326,jw,magnitude_within_groups,"fixed deterministic JW color groups and group order; final JW Pauli terms sorted inside each group by decreasing absolute coefficient magnitude, with dense Pauli lexicographic tie-breaking",326,19392,0.36605946201038225,16,"[38,24,20,16,26,16,24,18,22,20,14,8,16,12,16,36]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",30a425675a6015a3,9b769beefefc42de,92a558dc4ba29d67,100,0.01,1.0,32600,0.10968108275844782,0.000548405413792239,400,0.13672570799826644,0.0006272919999901205,3.2910029403865337e-06,0.00018200000340584666,0.2376820830104407,0.9999999061032206,9.389677935178753e-08,1.8779354993281316e-07,1.6475695254336156,0.0004333515417113167,1.0735856648125264e-13,1.0735856648125264e-13,1e-12
success,,Li-Li_2.66_hgbs-5_as-006-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Li-Li/2.66/hgbs-5/Li-Li_2.66_hgbs-5_as-006-006.tensors.npz,Li-Li,2.66,hgbs-5,6,6,12,202,326,fermionic,magnitude_within_groups,"fixed deterministic fermionic color groups and group order; complete Hermitian fermionic terms sorted inside each group by decreasing coefficient magnitude, with component-key lexicographic tie-breaking; final JW Pauli order induced by first occurrence",202,8637,0.4254470223141717,21,"[10,15,7,8,10,4,4,11,6,16,10,10,16,30,14,6,7,6,3,4,5]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]",8ac3f9018556fb27,31572e7a0d4d19aa,bf86762e5ac4fb4d,100,0.01,1.0,32600,0.026949207659626186,0.00013474603829813093,400,0.13672570799826644,0.0006272919999901205,4.125002305954695e-06,0.0001871249987743795,0.2377759579976555,0.9999999959468184,4.0531815681532635e-09,8.106363136306527e-09,1.647569424937317,9.003534381733945e-05,1.361133428190442e-13,1.361133428190442e-13,1e-12
success,,Li-Li_2.66_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/Li-Li/2.66/hgbs-5/Li-Li_2.66_hgbs-5_as-006-008.tensors.npz,Li-Li,2.66,hgbs-5,6,8,14,409,717,jw,magnitude_within_groups,"fixed deterministic JW color groups and group order; final JW Pauli terms sorted inside each group by decreasing absolute coefficient magnitude, with dense Pauli lexicographic tie-breaking",717,92552,0.36056504834700764,28,"[33,26,22,28,44,19,43,44,50,32,33,29,30,28,24,45,34,22,16,22,18,12,13,9,17,4,8,12]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27]",6035f43adc363d4a,a077ad8f610e45d3,2981ad7ed14c5172,100,0.01,1.0,71700,0.10807658645312218,0.0005403829322656109,1225,0.6291580420074752,0.002157875002012588,6.999995093792677e-06,0.0008327079995069653,2.112658541998826,0.9999999091624362,9.08375638042358e-08,1.8167511939282122e-07,1.6586108729076967,0.00042623365377275364,5.239142453206114e-13,5.240252676230739e-13,1e-12
success,,Li-Li_2.66_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/Li-Li/2.66/hgbs-5/Li-Li_2.66_hgbs-5_as-006-008.tensors.npz,Li-Li,2.66,hgbs-5,6,8,14,409,717,fermionic,magnitude_within_groups,"fixed deterministic fermionic color groups and group order; complete Hermitian fermionic terms sorted inside each group by decreasing coefficient magnitude, with component-key lexicographic tie-breaking; final JW Pauli order induced by first occurrence",409,35503,0.42551176949997604,33,"[13,12,10,11,11,9,11,8,11,11,11,12,8,10,12,11,12,13,12,25,20,19,12,11,32,7,10,6,26,11,10,8,4]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]",2320c7719c673c2e,9aef0422dfec4e30,b2af4431f232ccb0,100,0.01,1.0,71700,0.020923918298585333,0.00010461959149292667,1225,0.6291580420074752,0.002157875002012588,1.0249990737065673e-05,0.0010126659908564761,2.104596583987586,0.999999996302775,3.6972249706224147e-09,7.3944499412448295e-09,1.6586113726175706,8.599098755826002e-05,4.862776847858186e-13,4.862776847858186e-13,1e-12
