status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,ordering,formula_order,trotter_steps,trotter_dt,evolution_time,nominal_exponential_count,ordering_build_time_seconds,graph_vertices,graph_edges,number_of_colors,graph_time_seconds,coloring_time_seconds,exact_sector_dimension,exact_build_time_seconds,exact_evolution_time_seconds,trotter_runtime_seconds,state_overlap_abs,state_infidelity,state_vector_2norm_error,phase_aligned_state_2norm_error,particle_number_leakage,spin_sector_leakage,state_infidelity_ratio_to_jw_raw,coefficient_tolerance
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,jw_raw,1,1,1.0,1.0,14,0.0,,,,,,4,0.001290124997467501,0.0004093330026080366,1.6250000044237822e-05,0.999999901583742,1.9683250640500916e-07,0.5939542557027642,0.0004436581071770801,5.551115123125783e-16,5.551115123125783e-16,1.0,1e-12
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,jw_coloring,1,1,1.0,1.0,14,0.00029841699870303273,14,16,2,0.00019537499974831007,9.341599798062816e-05,4,0.001290124997467501,0.0004093330026080366,8.708000677870587e-06,0.9999999015837419,1.9683250662705376e-07,0.5939542557027642,0.000443658107427323,7.771561172376096e-16,7.771561172376096e-16,1.0000000011280892,1e-12
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,fermionic_coloring,1,1,1.0,1.0,14,0.002808917000947986,12,12,2,0.0016242079982475843,1.195799995912239e-05,4,0.001290124997467501,0.0004093330026080366,7.2500006353948265e-06,0.9999999016345337,1.967309229966574e-07,0.5939375857772968,0.0004435436085162289,9.992007221626409e-16,9.992007221626409e-16,0.9994839093897289,1e-12
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,jw_raw,1,10,0.1,1.0,140,0.0,,,,,,4,0.001290124997467501,0.0004093330026080366,4.5625001803273335e-05,0.999999999016124,1.967751961373665e-09,0.5939493695971076,4.43593503263254e-05,0.0,0.0,1.0,1e-12
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,jw_coloring,1,10,0.1,1.0,140,0.00029841699870303273,14,16,2,0.00019537499974831007,9.341599798062816e-05,4,0.001290124997467501,0.0004093330026080366,4.741600059787743e-05,0.9999999990161244,1.96775129523985e-09,0.5939493695971073,4.435934281794366e-05,0.0,0.0,0.9999996614747042,1e-12
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,fermionic_coloring,1,10,0.1,1.0,140,0.002808917000947986,12,12,2,0.0016242079982475843,1.195799995912239e-05,4,0.001290124997467501,0.0004093330026080366,7.93330000306014e-05,0.9999999990161745,1.967650931078424e-09,0.593947702611905,4.4358211540575256e-05,0.0,0.0,0.9999486569968045,1e-12
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,jw_raw,1,100,0.01,1.0,1400,0.0,,,,,,4,0.001290124997467501,0.0004093330026080366,0.0003926659992430359,0.9999999999901559,1.9688251029492676e-11,0.5939486456049211,4.437144467953762e-06,1.099120794378905e-14,1.099120794378905e-14,1.0,1e-12
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,jw_coloring,1,100,0.01,1.0,1400,0.00029841699870303273,14,16,2,0.00019537499974831007,9.341599798062816e-05,4,0.001290124997467501,0.0004093330026080366,0.0003788329995586537,0.999999999990154,1.96920257877764e-11,0.5939486456049239,4.4375698065243325e-06,1.454392162258955e-14,1.454392162258955e-14,1.0001917264402038,1e-12
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,fermionic_coloring,1,100,0.01,1.0,1400,0.002808917000947986,12,12,2,0.0016242079982475843,1.195799995912239e-05,4,0.001290124997467501,0.0004093330026080366,0.00038133300040499307,0.999999999990155,1.9690027386332076e-11,0.5939484789064091,4.437344632359771e-06,1.2323475573339238e-14,1.2323475573339238e-14,1.0000902242071548,1e-12
success,,B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,4,12,14,jw_raw,1,1000,0.001,1.0,14000,0.0,,,,,,4,0.001290124997467501,0.0004093330026080366,0.003783625001233304,0.9999999999995965,8.069100942975638e-13,0.5939485708525178,8.98281745499464e-07,6.104006189389111e-13,6.104006189389111e-13,1.0,1e-12
