config_path,tensor_path,bond_length,basis,mapping,active_occupied,active_vacant,n_qubits,status,error
hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,1.70000000,sto-6g,JW,2,2,4,success,
hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-004.tensors.npz,1.70000000,sto-6g,JW,2,4,6,success,
hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-004.tensors.npz,1.70000000,sto-6g,JW,4,4,8,success,
hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-006.tensors.npz,1.70000000,sto-6g,JW,4,6,10,success,
hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-008.tensors.npz,1.70000000,sto-6g,JW,4,8,12,success,
hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-008.tensors.npz,1.70000000,sto-6g,JW,6,8,14,success,
hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-010.tensors.npz,1.70000000,sto-6g,JW,6,10,16,success,
hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-008-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-008-010.tensors.npz,1.70000000,sto-6g,JW,8,10,18,success,
hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-010-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-010-010.tensors.npz,1.70000000,sto-6g,JW,10,10,20,success,
