config_path,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,status,error
hamiltonian_generator/l_sweep_20_v1/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002.tensors.npz,B-B,,sto-6g,2,2,4,skipped,
hamiltonian_generator/l_sweep_20_v1/B-B/1.61/sto-6g/B-B_1.61_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/B-B/1.61/sto-6g/B-B_1.61_sto-6g_as-002-002.tensors.npz,B-B,1.615,sto-6g,2,2,4,success,
hamiltonian_generator/l_sweep_20_v1/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-002-002.tensors.npz,B-B,1.87,sto-6g,2,2,4,success,
hamiltonian_generator/l_sweep_20_v1/B-B/2.12/sto-6g/B-B_2.12_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/B-B/2.12/sto-6g/B-B_2.12_sto-6g_as-002-002.tensors.npz,B-B,2.125,sto-6g,2,2,4,success,
hamiltonian_generator/l_sweep_20_v1/B-B/2.38/sto-6g/B-B_2.38_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/B-B/2.38/sto-6g/B-B_2.38_sto-6g_as-002-002.tensors.npz,B-B,2.38,sto-6g,2,2,4,success,
hamiltonian_generator/l_sweep_20_v1/Be-Be/1.63/sto-6g/Be-Be_1.63_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/Be-Be/1.63/sto-6g/Be-Be_1.63_sto-6g_as-002-002.tensors.npz,Be-Be,1.632,sto-6g,2,2,4,success,
hamiltonian_generator/l_sweep_20_v1/Be-Be/1.94/sto-6g/Be-Be_1.94_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/Be-Be/1.94/sto-6g/Be-Be_1.94_sto-6g_as-002-002.tensors.npz,Be-Be,1.938,sto-6g,2,2,4,success,
hamiltonian_generator/l_sweep_20_v1/Be-Be/2.24/sto-6g/Be-Be_2.24_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/Be-Be/2.24/sto-6g/Be-Be_2.24_sto-6g_as-002-002.tensors.npz,Be-Be,2.244,sto-6g,2,2,4,success,
hamiltonian_generator/l_sweep_20_v1/Be-Be/2.55/sto-6g/Be-Be_2.55_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/Be-Be/2.55/sto-6g/Be-Be_2.55_sto-6g_as-002-002.tensors.npz,Be-Be,2.55,sto-6g,2,2,4,success,
hamiltonian_generator/l_sweep_20_v1/Be-Be/2.86/sto-6g/Be-Be_2.86_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/Be-Be/2.86/sto-6g/Be-Be_2.86_sto-6g_as-002-002.tensors.npz,Be-Be,2.856,sto-6g,2,2,4,success,
hamiltonian_generator/l_sweep_20_v1/H-H/0.51/sto-6g/H-H_0.51_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/l_sweep_20_v1/H-H/0.51/sto-6g/H-H_0.51_sto-6g_as-002-002.tensors.npz,H-H,0.512,sto-6g,2,2,4,success,
