status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,schedule,checkpoint_time,local_dt,pauli_order_hash,exact_sector_dimension,exact_checkpoint_advance_seconds,exact_local_target_seconds,local_trotter_seconds,local_overlap_abs,local_one_minus_overlap,local_infidelity,local_phase_aligned_2norm_error,local_phase_aligned_2norm_error_over_dt2,trajectory_bch_proxy_2err_over_dt2,trajectory_bch_proxy_ratio_to_signed,spin_sector_leakage_after_one_step,particle_number_leakage_after_one_step,coefficient_tolerance
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_signed_reference,0.0,0.01,84ef503bc85b4b6c,44100,0.0,0.10348320899356622,1.0332596250082133,0.9999999999790014,2.0998647265457748e-11,4.1997294530915497e-11,6.480022680000845e-06,0.06480022680000845,0.1296004536000169,1.0,6.8833827526759706e-15,6.772360450213455e-15,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_magnitude_reference,0.0,0.01,ac085e47df3d997f,44100,0.0,0.10348320899356622,1.0434584169997834,0.9999999998860798,1.1392020660139224e-10,2.2784041320278448e-10,1.5093658275742885e-05,0.15093658275742883,0.30187316551485766,2.3292601000188036,2.1316282072803006e-14,2.142730437526552e-14,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,jw_signed_baseline,0.0,0.01,cb9592a2b133d9fb,44100,0.0,0.10348320899356622,1.0303098750009667,0.9999999969305415,3.069458465176922e-09,6.138916930353844e-09,7.835107518280209e-05,0.7835107518280209,1.5670215036560418,12.091172986880945,6.0892703102055634e-09,6.089251769481052e-09,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,signed_parent_descendants_round_robin,0.0,0.01,22ca2d92bfa72f46,44100,0.0,0.10348320899356622,1.0283429170085583,0.999999999282745,7.172550331446814e-10,1.4345100662893628e-09,3.787473369335662e-05,0.3787473369335662,0.7574946738671324,5.844845853741932,1.4075195453600031e-09,1.4074522658447108e-09,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_signed_reference,0.1,0.01,84ef503bc85b4b6c,44100,0.1369114169938257,0.099688457994489,1.0236981250054669,0.9999999999789805,2.10195194583207e-11,4.20390389166414e-11,6.482373077799417e-06,0.06482373077799417,0.12964746155598833,1.0,1.5654144647214707e-14,1.554312234475219e-14,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_magnitude_reference,0.1,0.01,ac085e47df3d997f,44100,0.1369114169938257,0.099688457994489,1.0249006660014857,0.9999999998860986,1.1390144383227607e-10,2.2780288766455214e-10,1.5092988203735534e-05,0.15092988203735533,0.30185976407471066,2.3283121817572368,2.4424906541753444e-15,2.55351295663786e-15,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,jw_signed_baseline,0.1,0.01,cb9592a2b133d9fb,44100,0.1369114169938257,0.099688457994489,1.031465042004129,0.9999999969302641,3.0697359099107757e-09,6.1394718198215514e-09,7.835483349461266e-05,0.7835483349461265,1.567096669892253,12.08736870806762,6.089847071066856e-09,6.089828641364647e-09,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,signed_parent_descendants_round_robin,0.1,0.01,22ca2d92bfa72f46,44100,0.1369114169938257,0.099688457994489,1.0167400000063935,0.9999999992826866,7.173134308757767e-10,1.4346268617515534e-09,3.7876547975700976e-05,0.37876547975700975,0.7575309595140195,5.843006491776774,1.4076361187775888e-09,1.407568950284599e-09,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_signed_reference,0.25,0.01,84ef503bc85b4b6c,44100,0.15307050000410527,0.0994044160033809,1.0056468330003554,0.9999999999787923,2.1207702260994665e-11,4.241540452198933e-11,6.5113874157492496e-06,0.0651138741574925,0.130227748314985,1.0,8.326672684688674e-15,8.548717289613705e-15,1e-12
success,,Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,1580,2950,fermionic_magnitude_reference,0.25,0.01,ac085e47df3d997f,44100,0.15307050000410527,0.0994044160033809,1.0097543340089032,0.9999999998859496,1.1405043576218077e-10,2.2810087152436154e-10,1.5102114602257113e-05,0.1510211460225711,0.3020422920451422,2.3193389730933935,1.8318679906315083e-14,1.84297022087776e-14,1e-12
