n_qubits,graph_level,schedule,number_of_samples,signed_coefficient_lexicographic_baseline,mean_state_infidelity,median_state_infidelity,std_state_infidelity,minimum_state_infidelity,maximum_state_infidelity,number_beating_baseline,fraction_beating_baseline
12,jw,random_groups,100,6.148829246876986e-07,2.587813496193192e-06,2.4375161469802897e-06,1.4545871118080872e-06,3.928166231181862e-07,7.035935611021671e-06,9,0.09
12,fermionic,random_groups,100,6.148829246876986e-07,1.8525015389159182e-06,1.5433976729983812e-06,1.349274029114271e-06,2.4677220256119625e-07,5.844822106304548e-06,18,0.18
16,jw,random_groups,100,2.0589196161324708e-06,7.764878506960616e-06,7.07523157944534e-06,3.416347442807814e-06,2.42655683535542e-06,1.7661676130154014e-05,0,0.0
16,fermionic,random_groups,100,2.0589196161324708e-06,5.866335219020247e-06,4.6631417494058525e-06,3.4278833673721784e-06,1.5426569829335437e-06,2.033592746186752e-05,4,0.04
18,jw,random_groups,100,1.7495999530270367e-06,1.3144414826861128e-05,1.0530928911844928e-05,9.429796096958359e-06,2.1908614922239167e-06,5.563433360822323e-05,0,0.0
18,fermionic,random_groups,100,1.7495999530270367e-06,8.852925800519884e-06,7.840149210514014e-06,4.245333070150059e-06,2.8357725443406423e-06,2.4088841877323297e-05,0,0.0
