case_id,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,jw_number_of_colors,fermionic_number_of_colors,raw_jw_one_minus_overlap,signed_baseline_one_minus_overlap,jw_mean_one_minus_overlap,jw_median_one_minus_overlap,jw_std_one_minus_overlap,jw_minimum_one_minus_overlap,jw_maximum_one_minus_overlap,jw_schedules_beating_baseline,jw_fraction_beating_baseline,fermionic_mean_one_minus_overlap,fermionic_median_one_minus_overlap,fermionic_std_one_minus_overlap,fermionic_minimum_one_minus_overlap,fermionic_maximum_one_minus_overlap,fermionic_schedules_beating_baseline,fermionic_fraction_beating_baseline,jw_pearson_log_bch_squared_vs_log_overlap_error,fermionic_pearson_log_bch_squared_vs_log_overlap_error
Be-Be_2.04_sto-6g_as-008-002,Be-Be,2.04,sto-6g,8,2,10,249,443,24,39,2.842746767983684e-06,1.4789474878096345e-07,2.0346775346624655e-06,1.428717338547436e-06,1.8864006646252024e-06,2.875313331873741e-07,7.226636382307028e-06,0,0.0,4.3716519481651337e-07,2.671655154329322e-07,5.657649890371517e-07,4.4521654807283546e-08,2.492757048555561e-06,5,0.25,0.910969766163005,0.8168907196755425
Be-Be_2.04_sto-6g_as-008-004,Be-Be,2.04,sto-6g,8,4,12,314,550,25,42,1.1083852038407116e-06,7.224140274875168e-08,1.312322772550889e-06,7.21601509712233e-07,1.503684232731997e-06,2.7961500104201065e-07,5.550595888026422e-06,0,0.0,4.3717620353822537e-07,3.1859580201798465e-07,3.26953331877105e-07,7.865831397335654e-08,1.3925913173729043e-06,0,0.0,0.9010604283612936,0.7965646180875313
Be-Be_2.04_sto-6g_as-008-006,Be-Be,2.04,sto-6g,8,6,14,385,665,32,45,5.317277220751038e-07,1.582565267721492e-07,1.276805307898199e-06,1.0176239777504037e-06,6.822618361719934e-07,3.905586479779899e-07,2.7617323302697727e-06,0,0.0,6.532634940825677e-07,5.913605515828202e-07,3.911172507509786e-07,1.4391423786008772e-07,1.3579417381670569e-06,1,0.05,0.7954519282885503,0.9394977565320612
Be-Be_2.04_sto-6g_as-008-008,Be-Be,2.04,sto-6g,8,8,16,686,1240,41,73,4.845833373456898e-07,5.251645154302764e-07,2.0983643851835156e-06,2.066807498812828e-06,9.6537327603768e-07,5.725703963177509e-07,4.593661355745127e-06,0,0.0,1.0623043039392766e-06,9.409474075461332e-07,4.842548874084431e-07,3.7730599533603026e-07,2.1172824138382396e-06,3,0.15,0.6666604313358734,0.7792627385918719
Be-Be_2.04_sto-6g_as-008-010,Be-Be,2.04,sto-6g,8,10,18,1027,1883,51,86,7.638383351382672e-07,9.355916108511052e-07,5.304768353403544e-06,4.9648709976035654e-06,2.492628954430312e-06,1.649244555590457e-06,1.0645054147384592e-05,0,0.0,9.552856156447295e-07,9.044485059783725e-07,3.442263581623312e-07,4.581069052989051e-07,1.669677468285613e-06,10,0.5,0.601182776216979,0.7007143018696533
Be-Be_2.04_sto-6g_as-008-012,Be-Be,2.04,sto-6g,8,12,20,1580,2950,70,123,3.820377137420117e-06,1.8105613410757115e-06,7.873741931352374e-06,6.561994353893041e-06,3.1329801623378778e-06,4.164611305812471e-06,1.5524333409677737e-05,0,0.0,1.3098608705297557e-06,1.1307334503718458e-06,6.141172028347477e-07,6.843304974912812e-07,3.0778900240724383e-06,16,0.8,0.5001320179824341,0.7784678254709755
F-F_1.28_sto-6g_as-004-002,F-F,1.28,sto-6g,4,2,6,27,33,3,4,1.3152730793386525e-08,1.5031560218758955e-08,3.8625526418423204e-07,4.2765342467276923e-07,1.241952916698967e-07,1.3669389176129698e-08,4.276542352465995e-07,2,0.1,3.393096094095327e-08,1.5817686938035536e-08,2.3967718393746306e-08,1.3530958131724448e-08,6.632278282125982e-08,9,0.45,0.9999999999996624,0.9999922506437516
F-F_1.28_sto-6g_as-006-002,F-F,1.28,sto-6g,6,2,8,48,60,4,4,5.562127938230077e-07,1.052621180108737e-06,8.843375749745253e-07,1.0527918078984122e-06,2.1142954260002338e-07,5.285774064001103e-07,1.0639984222571286e-06,10,0.5,9.419411894473484e-07,1.0509076983078458e-06,1.4950213958195313e-07,6.514643308141999e-07,1.0749357836070672e-06,11,0.55,0.999926666608416,0.9999173084806746
F-F_1.28_sto-6g_as-008-002,F-F,1.28,sto-6g,8,2,10,121,187,10,16,5.7966688282729e-07,1.0612518689390171e-06,2.307365174393228e-05,2.564556352668834e-06,3.0578942362011766e-05,2.408980184220866e-07,8.876852697514703e-05,2,0.1,1.2952552494671644e-06,1.0700994674262e-06,9.194538372061436e-07,8.531338824280256e-08,3.851122026277132e-06,9,0.45,0.99709221180993,0.99939145177004
F-F_1.28_sto-6g_as-010-002,F-F,1.28,sto-6g,10,2,12,230,382,19,26,5.99707544846062e-07,1.072512357813693e-06,2.8772284576317197e-06,2.924549155902678e-06,1.3031677656290132e-06,4.2801120936353243e-07,5.114983638421222e-06,2,0.1,1.216626428907075e-06,1.098909423902228e-06,6.009448377605495e-07,3.210410018938959e-07,2.6714882102041315e-06,9,0.45,0.4592417170752638,0.9907082836655404
