status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,identity_coefficient_real,identity_coefficient_imag,number_of_fermionic_terms,number_of_pauli_terms,ordering,formula_order,trotter_steps,trotter_dt,evolution_time,nominal_exponential_count,ordering_build_time_seconds,graph_vertices,graph_edges,number_of_colors,graph_time_seconds,coloring_time_seconds,exact_evolution_time_seconds,trotter_runtime_seconds,operator_norm_error,state_infidelity,state_vector_2norm_error,operator_error_ratio_to_jw_raw,state_infidelity_ratio_to_jw_raw,coefficient_tolerance
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,10,0.1,1.0,30,0.0,,,,,,4.058299964526668e-05,2.8291997296037152e-05,,4.440892098500626e-16,3.356589068483857e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,10,0.1,1.0,30,0.0002091249989462085,3,0,1,0.00010583300172584131,9.387499812874012e-05,4.058299964526668e-05,1.424999936716631e-05,,4.440892098500626e-16,3.356589068483857e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,10,0.1,1.0,30,0.00029370899937930517,3,0,1,7.13339977664873e-05,7.209000614238903e-06,4.058299964526668e-05,1.1374999303370714e-05,,4.440892098500626e-16,3.356589068483857e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,100,0.01,1.0,300,0.0,,,,,,4.058299964526668e-05,1.049999991664663e-05,,0.0,6.13398221105399e-15,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,100,0.01,1.0,300,0.0002091249989462085,3,0,1,0.00010583300172584131,9.387499812874012e-05,4.058299964526668e-05,1.2667002010857686e-05,,0.0,6.13398221105399e-15,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,100,0.01,1.0,300,0.00029370899937930517,3,0,1,7.13339977664873e-05,7.209000614238903e-06,4.058299964526668e-05,1.0124997061211616e-05,,0.0,6.13398221105399e-15,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,1000,0.001,1.0,3000,0.0,,,,,,4.058299964526668e-05,1.5124998753890395e-05,,8.193445921733655e-14,4.106358619134605e-14,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,1000,0.001,1.0,3000,0.0002091249989462085,3,0,1,0.00010583300172584131,9.387499812874012e-05,4.058299964526668e-05,1.4375000318977982e-05,,8.193445921733655e-14,4.106358619134605e-14,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,1000,0.001,1.0,3000,0.00029370899937930517,3,0,1,7.13339977664873e-05,7.209000614238903e-06,4.058299964526668e-05,1.2583001080201939e-05,,8.193445921733655e-14,4.106358619134605e-14,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,2,10,0.1,1.0,50,0.0,,,,,,4.058299964526668e-05,1.5792000340297818e-05,,4.440892098500626e-16,3.3422138886441676e-16,1.0,1.0,1e-12
