molecule,bond_length,basis,total_electrons,total_spin_orbitals,active_occupied,active_vacant,n_qubits,config_path,tensor_path,config_status,tensor_status,error
B-H,1.28700000,hgbs-5,6,104,6,14,20,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-014_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-014.tensors.npz,existing,written,
Be-H,1.47400000,sto-6g,5,12,3,7,10,hamiltonian_generator/library/Be-H/1.47/sto-6g/Be-H_1.47_sto-6g_as-003-007_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Be-H/1.47/sto-6g/Be-H_1.47_sto-6g_as-003-007.tensors.npz,existing,written,
Be-H,1.47400000,sto-6g,5,12,5,7,12,hamiltonian_generator/library/Be-H/1.47/sto-6g/Be-H_1.47_sto-6g_as-005-007_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Be-H/1.47/sto-6g/Be-H_1.47_sto-6g_as-005-007.tensors.npz,existing,written,
Be-H,1.47400000,sto-6g,5,12,,,14,,,unsupported,unsupported,"Unavailable under 40/60 progression; available sizes: [2, 4, 6, 8, 10, 12]"
Be-H,1.47400000,sto-6g,5,12,,,16,,,unsupported,unsupported,"Unavailable under 40/60 progression; available sizes: [2, 4, 6, 8, 10, 12]"
Be-H,1.47400000,sto-6g,5,12,,,18,,,unsupported,unsupported,"Unavailable under 40/60 progression; available sizes: [2, 4, 6, 8, 10, 12]"
Be-H,1.47400000,sto-6g,5,12,,,20,,,unsupported,unsupported,"Unavailable under 40/60 progression; available sizes: [2, 4, 6, 8, 10, 12]"
Be-H,1.47400000,hgbs-5,5,96,3,7,10,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-003-007_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-003-007.tensors.npz,existing,written,
Be-H,1.47400000,hgbs-5,5,96,5,7,12,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-007_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-007.tensors.npz,existing,written,
Be-H,1.47400000,hgbs-5,5,96,5,9,14,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-009_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-009.tensors.npz,existing,written,
Be-H,1.47400000,hgbs-5,5,96,5,11,16,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-011_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-011.tensors.npz,existing,written,
Be-H,1.47400000,hgbs-5,5,96,5,13,18,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-013_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-013.tensors.npz,existing,written,
Be-H,1.47400000,hgbs-5,5,96,5,15,20,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-015_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-015.tensors.npz,existing,written,
Li-H,1.81500000,sto-6g,4,12,4,6,10,hamiltonian_generator/library/Li-H/1.81/sto-6g/Li-H_1.81_sto-6g_as-004-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Li-H/1.81/sto-6g/Li-H_1.81_sto-6g_as-004-006.tensors.npz,existing,written,
Li-H,1.81500000,sto-6g,4,12,4,8,12,hamiltonian_generator/library/Li-H/1.81/sto-6g/Li-H_1.81_sto-6g_as-004-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Li-H/1.81/sto-6g/Li-H_1.81_sto-6g_as-004-008.tensors.npz,existing,written,
Li-H,1.81500000,sto-6g,4,12,,,14,,,unsupported,unsupported,"Unavailable under 40/60 progression; available sizes: [4, 6, 8, 10, 12]"
Li-H,1.81500000,sto-6g,4,12,,,16,,,unsupported,unsupported,"Unavailable under 40/60 progression; available sizes: [4, 6, 8, 10, 12]"
Li-H,1.81500000,sto-6g,4,12,,,18,,,unsupported,unsupported,"Unavailable under 40/60 progression; available sizes: [4, 6, 8, 10, 12]"
Li-H,1.81500000,sto-6g,4,12,,,20,,,unsupported,unsupported,"Unavailable under 40/60 progression; available sizes: [4, 6, 8, 10, 12]"
Li-H,1.81500000,hgbs-5,4,96,4,6,10,hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-006.tensors.npz,existing,written,
Li-H,1.81500000,hgbs-5,4,96,4,8,12,hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-008.tensors.npz,existing,written,
Li-H,1.81500000,hgbs-5,4,96,4,10,14,hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-010.tensors.npz,existing,written,
Li-H,1.81500000,hgbs-5,4,96,4,12,16,hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-012_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-012.tensors.npz,existing,written,
Li-H,1.81500000,hgbs-5,4,96,4,14,18,hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-014_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-014.tensors.npz,existing,written,
Li-H,1.81500000,hgbs-5,4,96,4,16,20,hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-016_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/library/Li-H/1.81/hgbs-5/Li-H_1.81_hgbs-5_as-004-016.tensors.npz,existing,written,
