status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,identity_coefficient_real,identity_coefficient_imag,number_of_fermionic_terms,number_of_pauli_terms,ordering,formula_order,trotter_steps,trotter_dt,evolution_time,nominal_exponential_count,ordering_build_time_seconds,graph_vertices,graph_edges,number_of_colors,graph_time_seconds,coloring_time_seconds,exact_evolution_time_seconds,trotter_runtime_seconds,operator_norm_error,state_infidelity,state_vector_2norm_error,operator_error_ratio_to_jw_raw,state_infidelity_ratio_to_jw_raw,coefficient_tolerance,factorization_level,ordering_method,mapping,number_of_factors,factor_exponential_type,factor_reconstruction_error,graph_level,schema_version,operator_error_ratio_to_jw_coloring,state_infidelity_ratio_to_jw_coloring,operator_error_ratio_to_fermionic_coloring,state_infidelity_ratio_to_fermionic_coloring
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,jw_raw,1,10,0.1,1.0,770,0.0,,,,,,0.0013533749988710042,0.007045374997687759,,0.00012561682096534632,0.011208478654906519,1.0,1.0,1e-12,pauli_string,raw,jordan_wigner,77,analytic_pauli,0.0,,2,,,,
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,jw_coloring,1,10,0.1,1.0,770,0.002529750003304798,77,1272,9,0.0019555409999156836,0.00015987499864422716,0.0013533749988710042,0.006684042000415502,,2.901258691945241e-05,0.005386524893538658,,0.23096100264673994,1e-12,pauli_string,greedy_coloring,jordan_wigner,77,analytic_pauli,1.3322676295501878e-15,pauli_string,2,1.0,1.0,,
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,fermionic_coloring,1,10,0.1,1.0,770,0.036893667002004804,45,490,10,0.031188624998321757,5.6000000768108293e-05,0.0013533749988710042,0.007290417001058813,,1.5012600779407137e-05,0.0038753913883022907,,0.11951107076295646,1e-12,pauli_string,fermionic_induced_greedy_coloring,jordan_wigner,77,analytic_pauli,4.458172094906219e-16,fermionic_term,2,,0.5174512986755229,1.0,1.0
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,jw_raw,1,20,0.05,1.0,1540,0.0,,,,,,0.0013533749988710042,0.008042124998610234,,3.139930051143658e-05,0.005604129538635741,1.0,1.0,1e-12,pauli_string,raw,jordan_wigner,77,analytic_pauli,0.0,,2,,,,
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,jw_coloring,1,20,0.05,1.0,1540,0.002529750003304798,77,1272,9,0.0019555409999156836,0.00015987499864422716,0.0013533749988710042,0.007282250000571366,,7.2561823473149545e-06,0.0026938030390236106,,0.23109375779476465,1e-12,pauli_string,greedy_coloring,jordan_wigner,77,analytic_pauli,1.3322676295501878e-15,pauli_string,2,1.0,1.0,,
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,fermionic_coloring,1,20,0.05,1.0,1540,0.036893667002004804,45,490,10,0.031188624998321757,5.6000000768108293e-05,0.0013533749988710042,0.007127332999516511,,3.7551511430367057e-06,0.001938155500845485,,0.11959346488209079,1e-12,pauli_string,fermionic_induced_greedy_coloring,jordan_wigner,77,analytic_pauli,4.458172094906219e-16,fermionic_term,2,,0.5175105810876218,1.0,1.0
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,jw_raw,1,40,0.025,1.0,3080,0.0,,,,,,0.0013533749988710042,0.010130459002539283,,7.847731377630396e-06,0.0028018198724454307,1.0,1.0,1e-12,pauli_string,raw,jordan_wigner,77,analytic_pauli,0.0,,2,,,,
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,jw_coloring,1,40,0.025,1.0,3080,0.002529750003304798,77,1272,9,0.0019555409999156836,0.00015987499864422716,0.0013533749988710042,0.011603333998209564,,1.8142349591521167e-06,0.001346967224709941,,0.23117954372438276,1e-12,pauli_string,greedy_coloring,jordan_wigner,77,analytic_pauli,1.3322676295501878e-15,pauli_string,2,1.0,1.0,,
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,fermionic_coloring,1,40,0.025,1.0,3080,0.036893667002004804,45,490,10,0.031188624998321757,5.6000000768108293e-05,0.0013533749988710042,0.007719041997916065,,9.390137694076373e-07,0.0009691814254072002,,0.11965416809299229,1e-12,pauli_string,fermionic_induced_greedy_coloring,jordan_wigner,77,analytic_pauli,4.458172094906219e-16,fermionic_term,2,,0.5175811240273341,1.0,1.0
success,,NH3_s-1.50_sto-6g_as-002-004,hamiltonian_generator/polyatomic_library/NH3/s-1.50/sto-6g/NH3_s-1.50_sto-6g_as-002-004.tensors.npz,NH3,s-1.50,sto-6g,2,4,6,-54.82955649118512,0.0,45,77,jw_raw,1,80,0.0125,1.0,6160,0.0,,,,,,0.0013533749988710042,0.007425291001709411,,1.961578425024868e-06,0.0014008215316117045,1.0,1.0,1e-12,pauli_string,raw,jordan_wigner,77,analytic_pauli,0.0,,2,,,,
