status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,identity_coefficient_real,identity_coefficient_imag,number_of_fermionic_terms,number_of_pauli_terms,ordering,formula_order,trotter_steps,trotter_dt,evolution_time,nominal_exponential_count,ordering_build_time_seconds,graph_vertices,graph_edges,number_of_colors,graph_time_seconds,coloring_time_seconds,exact_evolution_time_seconds,trotter_runtime_seconds,operator_norm_error,state_infidelity,state_vector_2norm_error,operator_error_ratio_to_jw_raw,state_infidelity_ratio_to_jw_raw,coefficient_tolerance
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,1,5.0,5.0,3,0.0,,,,,,3.649999780463986e-05,2.1333999029593542e-05,,0.0,0.0,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,1,5.0,5.0,3,0.0001775840028130915,3,0,1,9.720900197862647e-05,7.325000115088187e-05,3.649999780463986e-05,1.06250008684583e-05,,0.0,0.0,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,1,5.0,5.0,3,0.0002690840010473039,3,0,1,6.604200098081492e-05,5.542002327274531e-06,3.649999780463986e-05,8.374998287763447e-06,,0.0,0.0,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,2,2.5,5.0,6,0.0,,,,,,3.649999780463986e-05,8.208000508602709e-06,,0.0,0.0,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,2,2.5,5.0,6,0.0001775840028130915,3,0,1,9.720900197862647e-05,7.325000115088187e-05,3.649999780463986e-05,8.500002877553925e-06,,0.0,0.0,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,2,2.5,5.0,6,0.0002690840010473039,3,0,1,6.604200098081492e-05,5.542002327274531e-06,3.649999780463986e-05,7.91700222180225e-06,,0.0,0.0,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,5,1.0,5.0,15,0.0,,,,,,3.649999780463986e-05,1.0125000699190423e-05,,0.0,2.482534153247273e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,5,1.0,5.0,15,0.0001775840028130915,3,0,1,9.720900197862647e-05,7.325000115088187e-05,3.649999780463986e-05,9.333998605143279e-06,,0.0,2.482534153247273e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,5,1.0,5.0,15,0.0002690840010473039,3,0,1,6.604200098081492e-05,5.542002327274531e-06,3.649999780463986e-05,8.999999408842996e-06,,0.0,2.482534153247273e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,10,0.5,5.0,30,0.0,,,,,,3.649999780463986e-05,9.542000043438748e-06,,1.5543122344752192e-15,8.688869536365456e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,10,0.5,5.0,30,0.0001775840028130915,3,0,1,9.720900197862647e-05,7.325000115088187e-05,3.649999780463986e-05,9.708001016406342e-06,,1.5543122344752192e-15,8.688869536365456e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,10,0.5,5.0,30,0.0002690840010473039,3,0,1,6.604200098081492e-05,5.542002327274531e-06,3.649999780463986e-05,9.750001481734216e-06,,1.5543122344752192e-15,8.688869536365456e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,20,0.25,5.0,60,0.0,,,,,,3.649999780463986e-05,9.540999599266797e-06,,1.5543122344752192e-15,8.688869536365456e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,20,0.25,5.0,60,0.0001775840028130915,3,0,1,9.720900197862647e-05,7.325000115088187e-05,3.649999780463986e-05,8.958999387687072e-06,,1.5543122344752192e-15,8.688869536365456e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,20,0.25,5.0,60,0.0002690840010473039,3,0,1,6.604200098081492e-05,5.542002327274531e-06,3.649999780463986e-05,9.87499879556708e-06,,1.5543122344752192e-15,8.688869536365456e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,50,0.1,5.0,150,0.0,,,,,,3.649999780463986e-05,1.1166997865075245e-05,,2.886579864025407e-15,1.5151595604785607e-15,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,50,0.1,5.0,150,0.0001775840028130915,3,0,1,9.720900197862647e-05,7.325000115088187e-05,3.649999780463986e-05,1.1249998351559043e-05,,2.886579864025407e-15,1.5151595604785607e-15,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,50,0.1,5.0,150,0.0002690840010473039,3,0,1,6.604200098081492e-05,5.542002327274531e-06,3.649999780463986e-05,1.0666997695807368e-05,,2.886579864025407e-15,1.5151595604785607e-15,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,2,1,5.0,5.0,5,0.0,,,,,,3.649999780463986e-05,1.2333002814557403e-05,,0.0,1.2412670766236366e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,2,1,5.0,5.0,5,0.0001775840028130915,3,0,1,9.720900197862647e-05,7.325000115088187e-05,3.649999780463986e-05,9.957999282050878e-06,,0.0,1.2412670766236366e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,2,1,5.0,5.0,5,0.0002690840010473039,3,0,1,6.604200098081492e-05,5.542002327274531e-06,3.649999780463986e-05,1.0790998203447089e-05,,0.0,1.2412670766236366e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,2,2,2.5,5.0,10,0.0,,,,,,3.649999780463986e-05,1.1042000551242381e-05,,1.1102230246251565e-15,6.77599954797753e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,2,2,2.5,5.0,10,0.0001775840028130915,3,0,1,9.720900197862647e-05,7.325000115088187e-05,3.649999780463986e-05,9.87499879556708e-06,,1.1102230246251565e-15,6.77599954797753e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,2,2,2.5,5.0,10,0.0002690840010473039,3,0,1,6.604200098081492e-05,5.542002327274531e-06,3.649999780463986e-05,1.1000000085914508e-05,,1.1102230246251565e-15,6.77599954797753e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,2,5,1.0,5.0,25,0.0,,,,,,3.649999780463986e-05,1.3958000636193901e-05,,4.440892098500626e-16,3.1401849173675503e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,2,5,1.0,5.0,25,0.0001775840028130915,3,0,1,9.720900197862647e-05,7.325000115088187e-05,3.649999780463986e-05,1.2542001059046015e-05,,4.440892098500626e-16,3.1401849173675503e-16,,,1e-12
