cases_total,fermionic_available,valid_comparisons,excluded_below_floor,fermionic_not_available,fermionic_wins,ties,jw_magnitude_wins,fermionic_win_fraction,fermionic_nonloss_fraction,median_fermionic_advantage,geometric_mean_fermionic_advantage,q25_fermionic_advantage,q75_fermionic_advantage,maximum_fermionic_advantage,minimum_fermionic_advantage,median_fermionic_to_jw_signed_ratio,median_fermionic_to_jw_magnitude_ratio,molecule
230,215,201,14,15,84,29,88,0.417910447761194,0.5621890547263682,1.0,1.3021938508331217,0.916092337906504,1.1233541376126674,4356.837265916138,0.06783516009119815,0.996985320706609,1.0,ALL
29,14,13,1,15,5,2,6,0.38461538461538464,0.5384615384615384,1.0,1.1588098303363499,0.847070023868113,1.0091230781999128,28.83315092695487,0.44153685620402794,1.002899118305943,1.0,B-B
14,14,14,0,0,1,3,10,0.07142857142857142,0.2857142857142857,0.8992009648097812,0.8809662689345306,0.7807770238248506,0.9999864076808708,2.089433545654855,0.37010696866187315,1.1770345115575696,1.1122756633018116,B-H
12,12,12,0,0,9,0,3,0.75,0.75,1.1258980762355213,1.3789500416213667,1.0224392260068675,1.53704133374417,5.49997037592693,0.868780426419405,0.40626092334433317,0.8891940260225457,Be-Be
14,14,12,2,0,5,0,7,0.4166666666666667,0.4166666666666667,0.9990798920933218,1.0833686163439578,0.9325492032463653,1.057695569504349,2.019565908050548,0.8392206442354538,1.1049015925806374,1.0009217789199556,Be-H
15,15,15,0,0,2,6,7,0.13333333333333333,0.5333333333333333,0.9999867701680519,1.0058506765765935,0.9306514890543631,1.000000119448439,1.7782216188078344,0.8874518689437829,0.7267288320708342,1.0000132300069788,BeH2
18,18,18,0,0,7,5,6,0.3888888888888889,0.6666666666666666,1.0000000019838557,0.7815646616660219,0.9534713554018548,1.0212734135591859,1.6788572023431034,0.06783516009119815,1.05511568189978,0.9999999980161443,C-C
17,17,15,2,0,5,0,10,0.3333333333333333,0.3333333333333333,0.9830627366203428,1.2455581507980007,0.8141440113327988,1.0049634153175349,51.163696080183286,0.22920837617012066,1.3037956765262066,1.0172290767910557,CH4
16,16,16,0,0,9,5,2,0.5625,0.875,1.0010612316014047,5.213385957440647,0.9999999997576593,3.0052307517976002,4356.837265916138,0.6592116089460692,0.539365770206879,0.9989403368779473,F-F
15,15,15,0,0,5,4,6,0.3333333333333333,0.6,1.000000042514853,1.8076991868645167,0.8540459698785985,1.4917282856434573,154.6079296784867,0.071005137663022,2.3622389827203807,0.9999999574851489,H2O
14,14,14,0,0,4,0,10,0.2857142857142857,0.2857142857142857,0.9488553855308195,0.7879834322069701,0.6216774784713202,1.0817727456278687,1.6905485155866802,0.3351916229047882,1.9377014893547102,1.0539754950073044,Li-H
14,14,14,0,0,9,0,5,0.6428571428571429,0.6428571428571429,1.0924295012016454,1.1161794440174264,0.9272774445241313,1.2892303337719921,1.5607750249627577,0.901246218342957,0.04572182760278016,0.915816942311981,Li-Li
18,18,18,0,0,4,3,11,0.2222222222222222,0.3888888888888889,0.9922643972883209,0.9844201238972337,0.9249614725720572,0.9999999806402992,1.4546081367192543,0.68410470011252,1.0046449324323445,1.0077974434883497,N-N
16,16,12,4,0,8,0,4,0.6666666666666666,0.6666666666666666,1.1705249897752315,2.933001021378446,0.9877509605969346,4.472163763483682,90.337405071749,0.9431252570934492,1.140210329951847,0.8617869767258909,NH3
18,18,13,5,0,11,1,1,0.8461538461538461,0.9230769230769231,1.0316509149934552,1.263206290320722,1.0036753887676684,1.327277910324637,4.870401665448506,0.9984104292964296,1.001915784426047,0.9693201309343521,O-O
