group_type,group_value,cases_total,fermionic_available,valid_comparisons,excluded_below_floor,fermionic_not_available,fermionic_wins,ties,jw_magnitude_wins,fermionic_win_fraction,fermionic_nonloss_fraction,median_fermionic_advantage,geometric_mean_fermionic_advantage,q25_fermionic_advantage,q75_fermionic_advantage,maximum_fermionic_advantage,minimum_fermionic_advantage,median_fermionic_to_jw_signed_ratio,median_fermionic_to_jw_magnitude_ratio
basis,hgbs-5,109,109,109,0,0,51,16,42,0.46788990825688076,0.6146788990825688,1.000039159953726,1.6012186515201938,0.9534835341440184,1.3846583012215392,4356.837265916138,0.06783516009119815,0.9896380614721042,0.999960841579716
basis,sto-6g,92,92,92,0,0,33,13,46,0.358695652173913,0.5,0.9999919204325711,1.0193229007203315,0.9112596077388284,1.0223881050998522,4.870401665448506,0.3464859158028324,1.0031150804090105,1.0000080796656294
qubit_bin,04-08,56,56,56,0,0,6,28,22,0.10714285714285714,0.6071428571428571,0.999998707961445,0.8751348580101669,0.9825271749300242,1.000000103393507,1.5607750249627577,0.07944405869421788,1.085973127312909,1.000001292040924
qubit_bin,10-12,54,54,54,0,0,28,1,25,0.5185185185185185,0.5370370370370371,1.0003389834945422,1.0068970348813513,0.9174167066807118,1.234464664663931,4.1870236960012654,0.071005137663022,0.9427923540460406,0.9996611344268298
qubit_bin,14-16,48,48,48,0,0,22,0,26,0.4583333333333333,0.4583333333333333,0.9830809897929896,1.3865607034769054,0.8796560522877737,1.133293743356782,1808.5004784924743,0.3954726846156428,0.9564504167486376,1.0172152158066208
qubit_bin,18-20,43,43,43,0,0,28,0,15,0.6511627906976745,0.6511627906976745,1.0721668502682755,2.8137602223468963,0.9190881273620212,3.2171038058151042,4356.837265916138,0.06783516009119815,0.7278692543251074,0.9326906532782486
basis_and_qubit_bin,hgbs-5/04-08,26,26,26,0,0,3,15,8,0.11538461538461539,0.6923076923076923,0.9999989320647247,0.8168834395706128,0.9947552725441831,1.0000295545409017,1.5607750249627577,0.07944405869421788,1.0201966752273954,1.0000010679375406
basis_and_qubit_bin,hgbs-5/10-12,27,27,27,0,0,14,1,12,0.5185185185185185,0.5555555555555556,1.0017282202748554,1.0140547693197182,0.9435257437375537,1.3451067124116851,4.1870236960012654,0.071005137663022,0.8659791039884766,0.9982747613176144
basis_and_qubit_bin,hgbs-5/14-16,28,28,28,0,0,14,0,14,0.5,0.5,0.9952536838459167,1.7369608638650302,0.9014504622928169,1.2890141881284503,1808.5004784924743,0.3954726846156428,0.8409945279103092,1.0048090301043966
basis_and_qubit_bin,hgbs-5/18-20,28,28,28,0,0,20,0,8,0.7142857142857143,0.7142857142857143,1.2117287052171788,4.283786304790289,0.9627280136126231,32.767928207560395,4356.837265916138,0.06783516009119815,0.5573393472986116,0.8260708083653545
basis_and_qubit_bin,sto-6g/04-08,30,30,30,0,0,3,13,14,0.1,0.5333333333333333,0.9999986012334774,0.928969000001499,0.9523053258967576,1.0000000029757836,1.061550362474249,0.3821949630102153,2.0892721445485805,1.0000013987693688
basis_and_qubit_bin,sto-6g/10-12,27,27,27,0,0,14,0,13,0.5185185185185185,0.5185185185185185,1.0002837240611302,0.9997898235151503,0.9049825994580558,1.0396880275159905,2.7449453247079334,0.3464859158028324,0.978334266363674,0.9997163564153795
basis_and_qubit_bin,sto-6g/14-16,20,20,20,0,0,8,0,12,0.4,0.4,0.9716271400735828,1.0114566727310819,0.8780487474949565,1.0824885649597986,1.5727522277721488,0.7892378166192112,1.0227558126782617,1.0292508208459674
basis_and_qubit_bin,sto-6g/18-20,15,15,15,0,0,8,0,7,0.5333333333333333,0.5333333333333333,1.000927039632468,1.2839390946497042,0.9137188995398193,1.2501072348316749,4.870401665448506,0.847070023868113,0.8304104177521977,0.9990738189740499
