cases_total,fermionic_available,valid_comparisons,excluded_below_floor,fermionic_not_available,fermionic_wins,ties,jw_magnitude_wins,fermionic_win_fraction,fermionic_nonloss_fraction,median_fermionic_advantage,geometric_mean_fermionic_advantage,q25_fermionic_advantage,q75_fermionic_advantage,maximum_fermionic_advantage,minimum_fermionic_advantage,median_fermionic_to_jw_signed_ratio,median_fermionic_to_jw_magnitude_ratio,molecule,basis
9,9,8,1,0,2,2,4,0.25,0.5,0.9988398226381742,1.2876919549276749,0.6278990923467649,1.141943609859689,28.83315092695487,0.44153685620402794,1.0051086699045748,1.0011628756458237,B-B,hgbs-5
20,5,5,0,15,3,0,2,0.6,0.6,1.0002837240611302,0.9788867997072651,0.9804226392214906,1.0091230781999128,1.0721668502682755,0.847070023868113,0.8763335776859577,0.9997163564153795,B-B,sto-6g
9,9,9,0,0,1,2,6,0.1111111111111111,0.3333333333333333,0.9105510107658523,0.8889215507606978,0.7851408919670151,1.0,2.089433545654855,0.37010696866187315,1.0000054541904364,1.0982361099779718,B-H,hgbs-5
5,5,5,0,0,0,1,4,0.0,0.2,0.88785091885371,0.8668257439529033,0.7609822349170311,0.9999456307234831,1.0000006164876023,0.7243822223105664,3.935554374406748,1.1263152166256514,B-H,sto-6g
6,6,6,0,0,6,0,0,1.0,1.0,1.1258980762355213,1.4471804644398358,1.0700938381919474,1.1714323737683285,5.49997037592693,1.055890995736644,0.5961878971807999,0.8891940260225457,Be-Be,hgbs-5
6,6,6,0,0,3,0,3,0.5,0.5,1.1901307415352202,1.3139364882344435,0.909129401948707,1.6947688687267055,2.7449453247079334,0.868780426419405,0.36806072068979134,0.8851437637042514,Be-Be,sto-6g
9,9,8,1,0,4,0,4,0.5,0.5,1.0038004623068753,1.1670358492243935,0.9830662814005121,1.287745718796822,2.019565908050548,0.8697462105534058,1.3368931162024391,0.996245230811609,Be-H,hgbs-5
5,5,4,1,0,1,0,3,0.25,0.25,0.9320032031074851,0.9335989565283114,0.857820328574906,1.0119209221548167,1.047725140038526,0.8392206442354538,1.0392597778761483,1.0786970671649292,Be-H,sto-6g
9,9,9,0,0,1,3,5,0.1111111111111111,0.4444444444444444,0.9966433898816909,1.0246318166228698,0.9112344697212398,0.9999978714608306,1.7782216188078344,0.8923569472551678,0.09185620731236697,1.003367914895525,BeH2,hgbs-5
6,6,6,0,0,1,3,2,0.16666666666666666,0.6666666666666666,0.999999748664734,0.97832246198029,0.9837704977332515,1.0000002027389543,1.009830270296769,0.8874518689437829,1.207384718180221,1.0000002513353707,BeH2,sto-6g
9,9,9,0,0,3,3,3,0.3333333333333333,0.6666666666666666,0.999975928918095,0.609407644621967,0.977028363358535,1.001539337845242,1.6788572023431034,0.06783516009119815,1.5409988879085528,1.000024071661336,C-C,hgbs-5
9,9,9,0,0,4,2,3,0.4444444444444444,0.6666666666666666,1.0000183692320612,1.0023558545020337,0.9456190194162948,1.0551644613826827,1.2814688064642514,0.7156461950020411,0.8671451201510653,0.9999816311053613,C-C,sto-6g
9,9,7,2,0,2,0,5,0.2857142857142857,0.2857142857142857,0.9712006385882921,1.734466510166973,0.4246145959667377,12.176249147417572,51.163696080183286,0.22920837617012066,0.9375028842752845,1.0296533592209842,CH4,hgbs-5
8,8,8,0,0,3,0,5,0.375,0.375,0.9871183946224455,0.9322606131846419,0.8589135885935246,1.0029452274750015,1.0115647950680315,0.7892378166192112,1.35604269761345,1.0130668075767484,CH4,sto-6g
8,8,8,0,0,4,3,1,0.5,0.875,1.0008719273603333,18.861501992294624,0.9999846586408114,2126.0467402868635,4356.837265916138,0.6592116089460692,0.016116137946846344,0.9991295635581177,F-F,hgbs-5
8,8,8,0,0,5,2,1,0.625,0.875,1.08175340175854,1.440998344264564,0.9999999997576593,1.8779035952741356,3.640849913850113,0.998907532059296,0.9471620762900316,0.9296839642505089,F-F,sto-6g
9,9,9,0,0,4,2,3,0.4444444444444444,0.6666666666666666,1.0006741140215716,3.042989024338533,0.7661598236248269,119.3085670502254,154.6079296784867,0.071005137663022,1.0005781460782424,0.9993263401020114,H2O,hgbs-5
6,6,6,0,0,1,2,3,0.16666666666666666,0.5,0.9824467323284249,0.8276845105371489,0.94767245326349,1.0000000318861397,1.0209498102679617,0.3464859158028324,3.2048550060247507,1.0181919230614933,H2O,sto-6g
9,9,9,0,0,3,0,6,0.3333333333333333,0.3333333333333333,0.956812187738316,0.7872101364301406,0.6042772342219715,1.2361680458902033,1.6905485155866802,0.3351916229047882,3.034636329015026,1.0451371886929763,Li-H,hgbs-5
5,5,5,0,0,1,0,4,0.2,0.2,0.9408985833233231,0.789377279367635,0.7778350055907525,0.9829919981416891,1.1146996614565954,0.3821949630102153,1.0642847019944073,1.0628138013216326,Li-H,sto-6g
7,7,7,0,0,7,0,0,1.0,1.0,1.289338406593763,1.3076631809730674,1.269213811910412,1.3451067124116851,1.5607750249627577,1.1159922949944485,0.009903856071755401,0.7755915707512728,Li-Li,hgbs-5
7,7,7,0,0,2,0,5,0.2857142857142857,0.2857142857142857,0.9221142800624015,0.9527350539303059,0.9135471926712069,0.9811370847896141,1.0688667074088423,0.901246218342957,0.0671931838902116,1.0844642812952945,Li-Li,sto-6g
9,9,9,0,0,3,1,5,0.3333333333333333,0.4444444444444444,0.9936158296167785,1.0732947979411842,0.9852662537327754,1.0066209731513363,1.4546081367192543,0.9658095067688246,0.996985320706609,1.0064251898902252,N-N,hgbs-5
9,9,9,0,0,1,2,6,0.1111111111111111,0.3333333333333333,0.9113454611731346,0.9029047584994909,0.8519060412460597,0.9999976580048955,1.0546659163253467,0.68410470011252,1.1076615526314106,1.0972787407233524,N-N,sto-6g
9,9,5,4,0,5,0,0,1.0,1.0,4.536524263148537,12.776092556030388,4.450710263595396,44.572260049376986,90.337405071749,4.1870236960012654,0.07335935765200896,0.22043307651262475,NH3,hgbs-5
7,7,7,0,0,3,0,4,0.42857142857142855,0.42857142857142855,0.9900277841762234,1.0252324221962195,0.9682433808402008,1.0315404358804199,1.2794996170762136,0.9431252570934492,1.81630530637678,1.0100726625890346,NH3,sto-6g
9,9,6,3,0,6,0,0,1.0,1.0,1.006201461718895,1.117951484490795,1.0042127584025584,1.175702551351682,1.5538029851996664,1.003553900099601,1.0018685882298173,0.9938368985990873,O-O,hgbs-5
9,9,7,2,0,5,1,1,0.7142857142857143,0.8571428571428571,1.1233541376126674,1.4026420092810112,1.0158254484519524,1.3776627648598554,4.870401665448506,0.9984104292964296,1.0062243057959783,0.8901912286762771,O-O,sto-6g
