case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,occupied_fraction,active_space_imbalance,n_qubits,trotter_steps,evolution_time,coefficient_tolerance,numerical_error_floor,jw_signed_one_minus_overlap,jw_magnitude_one_minus_overlap,fermionic_aware_one_minus_overlap,fermionic_to_jw_signed_ratio,fermionic_to_jw_magnitude_ratio,fermionic_advantage_factor,log10_fermionic_advantage,fermionic_available,valid_comparison,outcome,exclusion_reason,jw_signed_source_csv,jw_magnitude_source_csv,fermionic_aware_source_csv,global_advantage_rank
B-B_1.70_hgbs-5_as-002-002,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-002-002.tensors.npz,B-B,1.70,hgbs-5,2,2,0.5,0.0,4,100,1.0,1e-12,1e-12,6.916689443414725e-14,7.382983113757292e-14,7.382983113757292e-14,,,,,True,False,below_numerical_floor,below_numerical_floor,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,
B-B_1.70_hgbs-5_as-002-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-002-004.tensors.npz,B-B,1.70,hgbs-5,2,4,0.3333333333333333,0.3333333333333333,6,100,1.0,1e-12,1e-12,3.0687785645966414e-11,2.480904370827375e-12,2.4777957463584244e-12,0.08074208334690008,0.9987469793251589,1.0012545927054395,0.0005445211842339812,True,True,tie,,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,82
B-B_1.70_hgbs-5_as-004-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-004.tensors.npz,B-B,1.70,hgbs-5,4,4,0.5,0.0,8,100,1.0,1e-12,1e-12,6.291709153671832e-09,6.309949562854911e-09,6.309949562854911e-09,1.002899118305943,1.0,1.0,0.0,True,True,tie,,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,96
B-B_1.70_hgbs-5_as-004-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-006.tensors.npz,B-B,1.70,hgbs-5,4,6,0.4,0.2,10,100,1.0,1e-12,1e-12,6.331447588436845e-09,6.362983806518231e-09,6.377782524324971e-09,1.0073182215032068,1.0023257512916472,0.9976796452763483,-0.0010088881949687897,True,True,jw_magnitude_win,,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,119
B-B_1.70_hgbs-5_as-004-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-004-008.tensors.npz,B-B,1.70,hgbs-5,4,8,0.3333333333333333,0.3333333333333333,12,100,1.0,1e-12,1e-12,8.311784815973056e-09,1.0775619174729913e-08,6.889735115755968e-09,0.8289116318935155,0.6393818307826991,1.5640106613224376,0.19423970916994385,True,True,fermionic_win,,analysis/hgbs5_b2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,29
B-B_1.70_hgbs-5_as-006-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-008.tensors.npz,B-B,1.70,hgbs-5,6,8,0.42857142857142855,0.14285714285714285,14,100,1.0,1e-12,1e-12,3.401427117744049e-08,3.797921876991239e-08,5.9443914124379666e-08,1.7476168698215426,1.5651694808286016,0.6389084455381786,-0.19456137102205406,True,True,jw_magnitude_win,,analysis/hgbs5_b2_screen_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,186
B-B_1.70_hgbs-5_as-006-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-006-010.tensors.npz,B-B,1.70,hgbs-5,6,10,0.375,0.25,16,100,1.0,1e-12,1e-12,3.349578303613043e-08,3.58992492399679e-08,6.034795319020958e-08,1.8016582303842512,1.6810366363601297,0.5948710327725238,-0.22557717851719794,True,True,jw_magnitude_win,,analysis/hgbs5_b2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,188
B-B_1.70_hgbs-5_as-008-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-008-010.tensors.npz,B-B,1.70,hgbs-5,8,10,0.4444444444444444,0.1111111111111111,18,100,1.0,1e-12,1e-12,3.4048678987375076e-08,3.8104094324253885e-08,8.629878522903311e-08,2.5345707321283117,2.2648165967325595,0.44153685620402794,-0.3550330389086883,True,True,jw_magnitude_win,,analysis/hgbs5_b2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,190
B-B_1.70_hgbs-5_as-010-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/B-B/1.70/hgbs-5/B-B_1.70_hgbs-5_as-010-010.tensors.npz,B-B,1.70,hgbs-5,10,10,0.5,0.0,20,100,1.0,1e-12,1e-12,3.832804708059356e-06,3.690741543160847e-06,1.2800340665197754e-07,0.033396798533152715,0.034682300333160714,28.83315092695487,1.4598921052884741,True,True,fermionic_win,,analysis/hgbs5_b2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,10
B-B_1.70_sto-6g_as-002-002,hamiltonian_generator/b2_controlled_active_space_libraries/occ-002/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-002.tensors.npz,B-B,1.70,sto-6g,2,2,0.5,0.0,4,100,1.0,1e-12,1e-12,9.847678228425141e-14,9.845124715468499e-12,,,,,,False,False,fermionic_not_available,fermionic_not_available,analysis/b2_occ002_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,,
