representation,number_of_vertices,number_of_possible_pairs,number_of_noncommuting_edges,graph_density,average_degree,maximum_degree,largest_first_greedy_colors,color_group_sizes,pair_analysis_runtime_seconds,coloring_runtime_seconds,total_graph_runtime_seconds
Hermitian fermionic terms,2412,2907666,1664532,0.5724632746677232,1380.2089552238806,,261,"[12, 12, 16, 17, 11, 16, 6, 6, 6, 7, 10, 10, 7, 10, 10, 10, 10, 7, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 10, 10, 9, 10, 10, 9, 10, 10, 9, 11, 10, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 11, 9, 9, 9, 8, 7, 7, 7, 10, 10, 7, 7, 7, 7, 8, 9, 8, 7, 7, 8, 9, 7, 7, 6, 8, 7, 8, 11, 12, 11, 10, 11, 11, 11, 10, 11, 11, 12, 10, 9, 11, 10, 10, 9, 10, 10, 10, 10, 12, 10, 10, 9, 9, 10, 10, 8, 6, 6, 10, 8, 9, 8, 9, 8, 9, 7, 7, 7, 10, 8, 10, 10, 9, 8, 9, 10, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 9, 8, 7, 9, 8, 7, 8, 8, 8, 9, 7, 8, 8, 9, 8, 8, 8, 8, 8, 9, 10, 7, 7, 8, 8, 8, 8, 8, 7, 9, 7, 8, 8, 8, 7, 9, 7, 8, 8, 7, 8, 8, 8, 8, 9, 7, 8, 8, 9, 9, 7, 7, 8, 7, 7, 7, 8, 8, 7, 8, 12, 11, 13, 8, 11, 11, 10, 15, 12, 7, 11, 12, 9, 7, 8, 10, 11, 7, 9, 9, 6, 16, 10, 18, 9, 15, 15, 17, 15, 17, 14, 8, 9, 8, 7, 10, 8, 7, 7, 8, 19, 16, 13, 13, 16, 14, 10, 8, 14, 12, 20, 21, 17, 14, 16, 5, 4, 7, 9, 4, 3, 2, 2, 12]",,,
JW Pauli strings,4688,10986328,3814336,0.3471893429724654,1627.2764505119453,1744.0,138,"[88, 78, 57, 60, 57, 52, 52, 44, 36, 40, 50, 50, 50, 40, 50, 50, 50, 40, 62, 48, 36, 58, 48, 20, 54, 42, 36, 40, 28, 26, 34, 34, 28, 24, 28, 24, 28, 42, 26, 26, 26, 26, 20, 24, 16, 56, 24, 40, 12, 16, 12, 36, 16, 44, 50, 20, 82, 18, 42, 46, 56, 16, 30, 22, 26, 60, 58, 50, 48, 46, 62, 56, 44, 36, 50, 32, 44, 52, 40, 38, 46, 26, 40, 38, 38, 30, 34, 38, 24, 28, 32, 30, 36, 16, 38, 26, 32, 40, 28, 36, 32, 36, 38, 28, 30, 24, 28, 20, 30, 34, 24, 22, 32, 24, 28, 26, 24, 22, 20, 24, 16, 28, 18, 12, 32, 10, 20, 14, 18, 22, 10, 14, 12, 12, 8, 4, 4, 4]",0.17473120800423203,0.13784370799839962,0.3303402079982334
