case_id,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,jw_number_of_colors,fermionic_number_of_colors,signed_baseline_one_minus_overlap,jw_random_samples,jw_mean_one_minus_overlap,jw_median_one_minus_overlap,jw_std_one_minus_overlap,jw_minimum_one_minus_overlap,jw_maximum_one_minus_overlap,jw_mean_ratio_to_baseline,jw_schedules_beating_baseline,jw_fraction_beating_baseline,fermionic_random_samples,fermionic_mean_one_minus_overlap,fermionic_median_one_minus_overlap,fermionic_std_one_minus_overlap,fermionic_minimum_one_minus_overlap,fermionic_maximum_one_minus_overlap,fermionic_mean_ratio_to_baseline,fermionic_schedules_beating_baseline,fermionic_fraction_beating_baseline,jw_mean_over_fermionic_mean,jw_pearson_log_bch_squared_vs_log_overlap_error,fermionic_pearson_log_bch_squared_vs_log_overlap_error
C-C_1.50_sto-6g_as-002-002,C-C,1.50,sto-6g,2,2,4,12,14,2,2,4.2309267200835166e-11,20,4.2308090364429065e-11,4.230893413392778e-11,1.033402366187994e-15,4.230682471018099e-11,4.230893413392778e-11,0.9999721849021749,20,1.0,20,4.2306896874677593e-11,4.230604755406375e-11,9.389592676052628e-16,4.230604755406375e-11,4.2307934933205615e-11,0.9999439761944748,20,1.0,1.0000282102881477,-1.004729046477999e-10,-9.214701964905324e-12
C-C_1.50_sto-6g_as-002-004,C-C,1.50,sto-6g,2,4,6,27,33,3,4,3.2268468563856345e-08,20,8.628976642666153e-07,5.420748677709142e-08,1.0126964469902794e-06,2.7085790166303525e-08,2.103044346446481e-06,26.741202872984807,10,0.5,20,1.1678306176543529e-07,3.209958038263849e-08,1.1794180768035285e-07,2.6694952248718096e-08,2.824668049461465e-07,3.6191076602948264,11,0.55,7.388893999026923,0.999998570484309,0.9999992385907654
C-C_1.50_sto-6g_as-004-004,C-C,1.50,sto-6g,4,4,8,56,80,6,7,1.9166431775019532e-09,20,1.5327819512189756e-06,1.17898188972676e-06,9.030550068830988e-07,2.0252278709609328e-07,3.54082528553068e-06,799.7221231427745,0,0.0,20,4.3828625873598705e-07,4.1000027839466213e-07,3.5356787992952733e-07,6.938104324394345e-08,1.561479971545765e-06,228.67389396247722,0,0.0,3.497216535237729,0.9999219967742171,0.9999251201905329
C-C_1.50_sto-6g_as-004-006,C-C,1.50,sto-6g,4,6,10,125,195,11,16,6.055755197298396e-07,20,3.8131787475415012e-06,3.4156859931022687e-06,1.6252956098459909e-06,1.8883894407073498e-06,7.931042280473477e-06,6.29678483245598,0,0.0,20,2.904856021801461e-06,1.7898016162476438e-06,1.9610110773662966e-06,7.407425902661302e-07,6.998794265800079e-06,4.796851799916516,0,0.0,1.3126911347491639,0.9932462512946659,0.9931294345486018
C-C_1.50_sto-6g_as-004-008,C-C,1.50,sto-6g,4,8,12,230,382,19,26,6.407407079356275e-07,20,1.5730517296602686e-05,1.174238467149813e-05,1.4114923724654432e-05,1.2041092558590094e-06,6.39868695359036e-05,24.550519581133063,0,0.0,20,5.553723138407296e-06,4.627074054741609e-06,3.0848533312994538e-06,1.5124469620042547e-06,1.351208542721416e-05,8.667660833195033,0,0.0,2.8324273473081165,0.996025281431258,0.9965870194261156
C-C_1.50_sto-6g_as-006-008,C-C,1.50,sto-6g,6,8,14,387,669,22,43,1.2717133622830445e-06,20,9.059179511683446e-06,8.353279275563619e-06,3.861447594940506e-06,3.5390596718753997e-06,1.5874622898204294e-05,7.1236017331924115,0,0.0,20,5.714226576575276e-06,5.631013810680763e-06,2.6783658407872615e-06,2.5261128847597902e-06,1.3347349306913614e-05,4.493329036282835,0,0.0,1.5853728217254048,0.9880379578631803,0.9872105642385963
C-C_1.50_sto-6g_as-008-008,C-C,1.50,sto-6g,8,8,16,656,1176,26,53,6.329440970231914e-07,20,1.2272588398132277e-05,1.2589374615346038e-05,4.748904638281906e-06,3.5849652284536404e-06,2.236241862307864e-05,19.389687739962607,0,0.0,20,6.408816779363002e-06,6.249114514078613e-06,1.86334728154627e-06,3.618032617613842e-06,1.0461838431785608e-05,10.125407298218597,0,0.0,1.9149538550783938,0.9896445063001289,0.9909900508940503
C-C_1.50_sto-6g_as-010-008,C-C,1.50,sto-6g,10,8,18,1027,1883,48,85,2.2593493960165745e-06,20,1.203477622619964e-05,1.038053718599441e-05,4.256372431172901e-06,7.146881070840827e-06,2.1525094823338087e-05,5.326655650258422,0,0.0,20,1.1682355231085184e-05,9.59439432451914e-06,5.390623427395756e-06,5.544098032106426e-06,2.346748698189849e-05,5.170672252676887,0,0.0,1.030166947344377,0.4589978027599432,0.8682576685178105
C-C_1.50_sto-6g_as-012-008,C-C,1.50,sto-6g,12,8,20,1580,2950,67,122,2.840344990207022e-06,20,5.133621345783101e-05,3.742020938662938e-05,3.7308058930929814e-05,8.548732421176375e-06,0.00014797979966107988,18.073935960183945,0,0.0,20,1.4531983984367169e-05,1.3426560967200185e-05,6.210729398175777e-06,6.825515196706711e-06,3.604669162460272e-05,5.116274267552262,0,0.0,3.5326362534569347,0.5562491879457688,0.5259156289945766
N-N_1.42_sto-6g_as-002-002,N-N,1.42,sto-6g,2,2,4,12,14,2,2,3.792378633349358e-10,20,3.7923919560256536e-10,3.7923919560256536e-10,0.0,3.7923919560256536e-10,3.7923919560256536e-10,1.0000035130132257,0,0.0,20,3.792393177270981e-10,3.792414160486146e-10,2.319781719965943e-15,3.792367531119112e-10,3.792414160486146e-10,1.000003835039438,9,0.45,0.9999996779750226,1.0,-4.012020276072225e-10
N-N_1.42_sto-6g_as-002-004,N-N,1.42,sto-6g,2,4,6,37,53,5,7,1.3467883408502246e-07,20,3.162908610787607e-06,2.2857919648733294e-06,2.735076602324023e-06,1.146191516143702e-07,6.647859107089538e-06,23.484823226126757,2,0.1,20,4.7050432037676336e-07,1.5609508979830267e-07,5.468303269008299e-07,3.603112030958755e-09,2.060933779968188e-06,3.493528315516416,5,0.25,6.72237952725888,0.9999962160555439,0.9999642062869369
N-N_1.42_sto-6g_as-004-004,N-N,1.42,sto-6g,4,4,8,98,160,8,13,4.0193678774169683e-07,20,2.9780895489162073e-06,6.155035860988534e-07,3.075500906423505e-06,3.739867917573747e-07,7.551655005100244e-06,7.409348036164496,1,0.05,20,7.889366697866328e-06,4.9937003070432695e-06,8.196225545715084e-06,5.210175186842747e-07,2.9923720187396974e-05,19.628376745988227,0,0.0,0.37748144597228933,0.9992172740852809,0.9967649938169368
N-N_1.42_sto-6g_as-004-006,N-N,1.42,sto-6g,4,6,10,125,195,10,15,5.178549165041346e-07,20,6.191740556926728e-06,5.8633881192537984e-06,4.976855985613864e-06,6.018707867649908e-07,2.142885038092235e-05,11.956515926748555,0,0.0,20,3.17067630894452e-06,1.7914358420023646e-06,3.3359973733177263e-06,4.960409768495211e-07,1.4310738380651777e-05,6.122711608781656,1,0.05,1.952813833269497,0.9986644892854956,0.9886499968586346
N-N_1.42_sto-6g_as-006-006,N-N,1.42,sto-6g,6,6,12,230,382,19,29,2.4735142090115403e-07,20,9.096985636691812e-06,8.906875298142491e-06,6.62512244428939e-06,1.460745750692105e-06,2.949376894867406e-05,36.77757582127303,0,0.0,20,6.84134849481266e-06,6.5116819569221995e-06,2.9998032269894604e-06,2.9187447406764377e-06,1.2964919639091299e-05,27.65841598923575,0,0.0,1.329706510871278,0.9856392530710557,0.9771426406805308
