case_id,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,jw_number_of_colors,fermionic_number_of_colors,signed_baseline_one_minus_overlap,jw_random_samples,jw_mean_one_minus_overlap,jw_median_one_minus_overlap,jw_std_one_minus_overlap,jw_minimum_one_minus_overlap,jw_maximum_one_minus_overlap,jw_mean_ratio_to_baseline,jw_schedules_beating_baseline,jw_fraction_beating_baseline,fermionic_random_samples,fermionic_mean_one_minus_overlap,fermionic_median_one_minus_overlap,fermionic_std_one_minus_overlap,fermionic_minimum_one_minus_overlap,fermionic_maximum_one_minus_overlap,fermionic_mean_ratio_to_baseline,fermionic_schedules_beating_baseline,fermionic_fraction_beating_baseline,jw_mean_over_fermionic_mean,jw_pearson_log_bch_squared_vs_log_overlap_error,fermionic_pearson_log_bch_squared_vs_log_overlap_error
C-C_1.50_hgbs-5_as-002-002,C-C,1.5,hgbs-5,2,2,4,12,14,2,2,1.065803001409904e-11,20,1.0659650939714994e-11,1.0659695348635978e-11,5.4389598220420725e-17,1.0659584326333515e-11,1.0659695348635978e-11,1.0001520849175514,0,0.0,20,1.0660361482450751e-11,1.066335908461724e-11,3.313973885665633e-15,1.065669774646949e-11,1.066335908461724e-11,1.0002187522786696,9,0.45,0.9999333472193294,-1.6032549047983328e-10,-7.894168969452511e-12
C-C_1.50_hgbs-5_as-002-004,C-C,1.5,hgbs-5,2,4,6,27,33,3,4,1.0827116980749452e-11,20,3.1719338267066635e-11,1.0975997888351683e-11,6.240683730363635e-11,1.0842993170001591e-11,2.1893975521436457e-10,2.929619983183282,0,0.0,20,1.7988804890123333e-11,1.0770606628796031e-11,2.189922452270579e-11,9.056533301077252e-12,8.387524008668379e-11,1.6614584401468386,11,0.55,1.7632821335719742,0.9999997632500094,0.9999979689664764
C-C_1.50_hgbs-5_as-004-004,C-C,1.5,hgbs-5,4,4,8,48,60,4,4,2.2326362980606973e-11,20,7.994519285459135e-09,1.3074860083506223e-08,6.502203045263811e-09,2.7402857760705498e-11,1.3463192338747376e-08,358.0753073128525,0,0.0,20,2.2274213473671976e-09,3.09857017821713e-09,1.444397253662783e-09,1.9399148953880285e-11,3.383123114986119e-09,99.76642184407602,2,0.1,3.589136512006865,0.9999987568310108,0.9999997770884864
C-C_1.50_hgbs-5_as-004-006,C-C,1.5,hgbs-5,4,6,10,143,235,19,20,2.5869084652185848e-11,20,1.8271193352736863e-08,1.4430830641565253e-08,1.5690473490617208e-08,1.6386697554438e-09,6.1548380170251e-08,706.2945441787407,0,0.0,20,4.214002036206921e-09,2.455555758729133e-09,4.68723123937934e-09,1.0154987961641382e-10,1.5077147308417693e-08,162.89722241296437,0,0.0,4.335829265327789,0.9999985781669316,0.9999927542095924
C-C_1.50_hgbs-5_as-004-008,C-C,1.5,hgbs-5,4,8,12,310,542,32,41,5.1213810969841234e-11,20,1.1800092963865084e-08,7.693506720585221e-09,9.802393148565771e-09,1.08476283511294e-09,3.756482036543218e-08,230.40841406654772,0,0.0,20,4.064403252845851e-09,4.1765036429275434e-09,3.3620324720013675e-09,2.4740498538733386e-10,1.1977437708310392e-08,79.36146863273451,0,0.0,2.9032781025364027,0.9999979984040815,0.9999935676510974
C-C_1.50_hgbs-5_as-006-008,C-C,1.5,hgbs-5,6,8,14,499,893,41,56,2.2944713240491413e-08,20,7.137772177867597e-07,2.7763964033367117e-07,1.0208930878140347e-06,3.689142258345157e-08,4.335738516880738e-06,31.108569991937394,0,0.0,20,4.526472852650621e-08,3.390856512242024e-08,3.0299415682777194e-08,9.402905343236512e-09,1.1446844738749463e-07,1.9727737737260456,5,0.25,15.76894948941944,0.9999889012304884,0.9998956403905536
C-C_1.50_hgbs-5_as-006-010,C-C,1.5,hgbs-5,6,10,16,744,1360,51,68,3.5404099096858495e-08,20,9.272447140107332e-07,7.089372764945701e-07,9.370985975773776e-07,1.0791921556396745e-07,3.589267866477286e-06,26.19032082906497,0,0.0,20,1.978303462379927e-07,1.801550107427552e-07,1.140716026876644e-07,3.8332261698137415e-08,4.587531476918372e-07,5.587780830032384,0,0.0,4.687070167158504,0.9999605481837422,0.999884639074013
C-C_1.50_hgbs-5_as-008-010,C-C,1.5,hgbs-5,8,10,18,1131,2099,65,98,2.2965102119965053e-07,20,3.219363155410049e-06,2.6905997775328316e-06,2.2971381860742723e-06,1.657408127408999e-07,7.23905203092734e-06,14.01850137043914,1,0.05,20,1.2952642346908405e-06,7.807426896655478e-07,1.1788729414912171e-06,3.871340613637031e-07,4.989129960053518e-06,5.640141410757252,0,0.0,2.48548757017016,0.9998068659042028,0.9995081712739184
C-C_1.50_hgbs-5_as-008-012,C-C,1.5,hgbs-5,8,12,20,1680,3150,79,123,2.601246910094446e-07,20,1.2024422238132716e-06,8.590991615320398e-07,1.2867446179561086e-06,2.145272391951281e-07,6.184050959978649e-06,4.62256089242068,1,0.05,20,1.5494809925964417e-06,1.1186529955686808e-06,1.2125054952390807e-06,3.505589066810089e-07,5.1631887080239025e-06,5.956685567154342,0,0.0,0.7760290249177937,0.9996765464994296,0.9997262760839776
N-N_1.42_hgbs-5_as-002-002,N-N,1.42,hgbs-5,2,2,4,12,14,2,2,6.055496326595744e-08,20,6.056247401353688e-08,6.055496193368981e-08,9.200381266171707e-12,6.055496193368981e-08,6.057374213330746e-08,1.0001240319071194,12,0.6,20,6.05652911489507e-08,6.057374268841897e-08,9.343528439041876e-12,6.05549614896006e-08,6.057374268841897e-08,1.0001705538643944,9,0.45,0.9999534859758716,8.077526705948427e-12,9.942219089854929e-12
N-N_1.42_hgbs-5_as-002-004,N-N,1.42,hgbs-5,2,4,6,37,53,5,7,4.6228817995874756e-08,20,1.4376533050697306e-07,7.285410480450949e-08,1.516058296238531e-07,4.7803209168861835e-09,4.84531433087021e-07,3.109863862835559,2,0.1,20,1.41067467152034e-07,6.236327965147836e-08,1.562616309877755e-07,1.8287490410884286e-09,4.1937053707474803e-07,3.051504954433882,7,0.35,1.0191246317057032,0.9999892064758408,0.9999940639328097
N-N_1.42_hgbs-5_as-004-004,N-N,1.42,hgbs-5,4,4,8,98,160,8,13,2.496586136713219e-07,20,5.699894896071811e-07,2.867225499803006e-07,7.429017245355482e-07,2.454161855958148e-07,3.5262172688454996e-06,2.2830756016196503,1,0.05,20,2.69743853948401e-06,1.0934973988518948e-06,3.2347387577543413e-06,2.5365483380390685e-07,1.1261073012636125e-05,10.804508203491086,0,0.0,0.2113076836650424,0.998832022219873,0.998595117713778
N-N_1.42_hgbs-5_as-004-006,N-N,1.42,hgbs-5,4,6,10,125,195,10,15,2.496599370571673e-07,20,1.743539080389933e-06,1.1550376708413523e-06,1.4940276269972105e-06,2.760904187493196e-07,4.989526020682256e-06,6.983655851802513,0,0.0,20,2.517583246375299e-06,2.084027048598891e-06,1.8778493000851583e-06,2.7362322152502117e-07,8.014096073649668e-06,10.084049832147564,0,0.0,0.6925447581128452,0.9982774227860516,0.9984410669273944
