molecule,bond_length,basis,total_electrons,total_spin_orbitals,active_occupied,active_vacant,n_qubits,config_path,tensor_path,config_status,tensor_status,error
C-C,1.50000000,sto-6g,12,20,2,2,4,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-002-002.tensors.npz,existing,existing,
C-C,1.50000000,sto-6g,12,20,2,4,6,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-002-004.tensors.npz,existing,written,
C-C,1.50000000,sto-6g,12,20,4,4,8,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-004-004.tensors.npz,existing,written,
C-C,1.50000000,sto-6g,12,20,4,6,10,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-004-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-004-006.tensors.npz,existing,written,
C-C,1.50000000,sto-6g,12,20,4,8,12,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-004-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-004-008.tensors.npz,existing,existing,
C-C,1.50000000,sto-6g,12,20,6,8,14,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-006-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-006-008.tensors.npz,existing,written,
C-C,1.50000000,sto-6g,12,20,8,8,16,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-008-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-008-008.tensors.npz,existing,existing,
C-C,1.50000000,sto-6g,12,20,10,8,18,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-010-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-010-008.tensors.npz,existing,existing,
C-C,1.50000000,sto-6g,12,20,12,8,20,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-012-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/sto-6g/C-C_1.50_sto-6g_as-012-008.tensors.npz,written,written,
C-C,1.50000000,hgbs-5,12,172,2,2,4,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-002-002.tensors.npz,existing,written,
C-C,1.50000000,hgbs-5,12,172,2,4,6,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-002-004.tensors.npz,existing,written,
C-C,1.50000000,hgbs-5,12,172,4,4,8,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-004.tensors.npz,existing,written,
C-C,1.50000000,hgbs-5,12,172,4,6,10,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-006.tensors.npz,existing,written,
C-C,1.50000000,hgbs-5,12,172,4,8,12,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-008.tensors.npz,existing,written,
C-C,1.50000000,hgbs-5,12,172,6,8,14,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-006-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-006-008.tensors.npz,existing,written,
C-C,1.50000000,hgbs-5,12,172,6,10,16,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-006-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-006-010.tensors.npz,existing,written,
C-C,1.50000000,hgbs-5,12,172,8,10,18,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-008-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-008-010.tensors.npz,existing,written,
C-C,1.50000000,hgbs-5,12,172,8,12,20,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-008-012_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-008-012.tensors.npz,written,written,
N-N,1.42000000,sto-6g,14,20,2,2,4,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-002-002.tensors.npz,existing,existing,
N-N,1.42000000,sto-6g,14,20,2,4,6,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-002-004.tensors.npz,existing,written,
N-N,1.42000000,sto-6g,14,20,4,4,8,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-004-004.tensors.npz,existing,written,
N-N,1.42000000,sto-6g,14,20,4,6,10,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-004-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-004-006.tensors.npz,existing,written,
N-N,1.42000000,sto-6g,14,20,6,6,12,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-006-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-006-006.tensors.npz,existing,existing,
N-N,1.42000000,sto-6g,14,20,8,6,14,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-008-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-008-006.tensors.npz,existing,written,
N-N,1.42000000,sto-6g,14,20,10,6,16,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-010-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-010-006.tensors.npz,existing,existing,
N-N,1.42000000,sto-6g,14,20,12,6,18,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-012-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-012-006.tensors.npz,existing,existing,
N-N,1.42000000,sto-6g,14,20,14,6,20,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-014-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/sto-6g/N-N_1.42_sto-6g_as-014-006.tensors.npz,written,written,
N-N,1.42000000,hgbs-5,14,184,2,2,4,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-002-002.tensors.npz,existing,written,
N-N,1.42000000,hgbs-5,14,184,2,4,6,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-002-004.tensors.npz,existing,written,
N-N,1.42000000,hgbs-5,14,184,4,4,8,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-004-004.tensors.npz,existing,written,
N-N,1.42000000,hgbs-5,14,184,4,6,10,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-004-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-004-006.tensors.npz,existing,written,
N-N,1.42000000,hgbs-5,14,184,4,8,12,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-004-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-004-008.tensors.npz,existing,written,
N-N,1.42000000,hgbs-5,14,184,6,8,14,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-006-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-006-008.tensors.npz,existing,written,
N-N,1.42000000,hgbs-5,14,184,6,10,16,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-006-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-006-010.tensors.npz,existing,written,
N-N,1.42000000,hgbs-5,14,184,8,10,18,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-008-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-008-010.tensors.npz,existing,written,
N-N,1.42000000,hgbs-5,14,184,8,12,20,hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-008-012_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/comparable_diatomic_library/N-N/1.42/hgbs-5/N-N_1.42_hgbs-5_as-008-012.tensors.npz,written,written,
