case_id,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,jw_number_of_colors,fermionic_number_of_colors,signed_baseline_one_minus_overlap,jw_random_samples,jw_mean_one_minus_overlap,jw_median_one_minus_overlap,jw_std_one_minus_overlap,jw_minimum_one_minus_overlap,jw_maximum_one_minus_overlap,jw_mean_ratio_to_baseline,jw_schedules_beating_baseline,jw_fraction_beating_baseline,fermionic_random_samples,fermionic_mean_one_minus_overlap,fermionic_median_one_minus_overlap,fermionic_std_one_minus_overlap,fermionic_minimum_one_minus_overlap,fermionic_maximum_one_minus_overlap,fermionic_mean_ratio_to_baseline,fermionic_schedules_beating_baseline,fermionic_fraction_beating_baseline,jw_mean_over_fermionic_mean,jw_pearson_log_bch_squared_vs_log_overlap_error,fermionic_pearson_log_bch_squared_vs_log_overlap_error
C-C_1.50_hgbs-5_as-002-002,C-C,1.50,hgbs-5,2,2,4,12,14,2,2,1.065803001409904e-11,20,1.0659650939714994e-11,1.0659695348635978e-11,5.438959822042073e-17,1.0659584326333515e-11,1.0659695348635978e-11,1.0001520849175514,0,0.0,20,1.0660361482450753e-11,1.0663359084617241e-11,3.313973885665633e-15,1.065669774646949e-11,1.0663359084617241e-11,1.0002187522786696,9,0.45,0.9999333472193294,-1.603254904798333e-10,-7.894168969452511e-12
C-C_1.50_hgbs-5_as-002-004,C-C,1.50,hgbs-5,2,4,6,27,33,3,4,1.0827116980749452e-11,20,3.1719338267066635e-11,1.0975997888351685e-11,6.240683730363635e-11,1.0842993170001591e-11,2.189397552143646e-10,2.929619983183282,0,0.0,20,1.7988804890123333e-11,1.0770606628796031e-11,2.189922452270579e-11,9.056533301077252e-12,8.387524008668379e-11,1.6614584401468386,11,0.55,1.7632821335719742,0.9999997632500094,0.9999979689664765
C-C_1.50_hgbs-5_as-004-004,C-C,1.50,hgbs-5,4,4,8,48,60,4,4,2.2326362980606973e-11,20,7.994519285459135e-09,1.3074860083506223e-08,6.5022030452638114e-09,2.74028577607055e-11,1.3463192338747376e-08,358.0753073128525,0,0.0,20,2.2274213473671976e-09,3.0985701782171304e-09,1.444397253662783e-09,1.9399148953880285e-11,3.3831231149861196e-09,99.76642184407602,2,0.1,3.589136512006865,0.9999987568310108,0.9999997770884864
C-C_1.50_hgbs-5_as-004-006,C-C,1.50,hgbs-5,4,6,10,143,235,19,20,2.5869084652185848e-11,20,1.827119335273686e-08,1.4430830641565251e-08,1.5690473490617208e-08,1.6386697554438001e-09,6.1548380170251e-08,706.2945441787407,0,0.0,20,4.214002036206921e-09,2.4555557587291332e-09,4.68723123937934e-09,1.0154987961641382e-10,1.5077147308417693e-08,162.89722241296437,0,0.0,4.335829265327789,0.9999985781669317,0.9999927542095924
C-C_1.50_hgbs-5_as-004-008,C-C,1.50,hgbs-5,4,8,12,310,542,32,41,5.1213810969841234e-11,20,1.1800092963865083e-08,7.69350672058522e-09,9.80239314856577e-09,1.0847628351129401e-09,3.756482036543218e-08,230.40841406654772,0,0.0,20,4.06440325284585e-09,4.176503642927543e-09,3.3620324720013675e-09,2.474049853873339e-10,1.197743770831039e-08,79.36146863273451,0,0.0,2.9032781025364027,0.9999979984040815,0.9999935676510974
C-C_1.50_hgbs-5_as-006-008,C-C,1.50,hgbs-5,6,8,14,499,893,41,56,2.294471324049141e-08,20,7.137772177867597e-07,2.7763964033367117e-07,1.0208930878140347e-06,3.689142258345157e-08,4.335738516880738e-06,31.108569991937394,0,0.0,20,4.5264728526506205e-08,3.390856512242024e-08,3.0299415682777194e-08,9.402905343236512e-09,1.1446844738749462e-07,1.9727737737260456,5,0.25,15.768949489419441,0.9999889012304884,0.9998956403905536
C-C_1.50_hgbs-5_as-006-010,C-C,1.50,hgbs-5,6,10,16,744,1360,51,68,3.540409909685849e-08,20,9.272447140107332e-07,7.089372764945701e-07,9.370985975773777e-07,1.0791921556396744e-07,3.589267866477286e-06,26.19032082906497,0,0.0,20,1.9783034623799268e-07,1.801550107427552e-07,1.140716026876644e-07,3.8332261698137415e-08,4.5875314769183717e-07,5.587780830032384,0,0.0,4.687070167158504,0.9999605481837422,0.999884639074013
C-C_1.50_hgbs-5_as-008-010,C-C,1.50,hgbs-5,8,10,18,1131,2099,65,98,2.2965102119965053e-07,20,3.219363155410049e-06,2.6905997775328316e-06,2.2971381860742723e-06,1.657408127408999e-07,7.23905203092734e-06,14.01850137043914,1,0.05,20,1.2952642346908405e-06,7.807426896655478e-07,1.1788729414912173e-06,3.871340613637031e-07,4.989129960053518e-06,5.640141410757252,0,0.0,2.48548757017016,0.9998068659042029,0.9995081712739184
C-C_1.50_hgbs-5_as-008-012,C-C,1.50,hgbs-5,8,12,20,1680,3150,79,123,2.601246910094446e-07,20,1.2024422238132716e-06,8.590991615320398e-07,1.2867446179561086e-06,2.1452723919512806e-07,6.184050959978649e-06,4.62256089242068,1,0.05,20,1.5494809925964415e-06,1.1186529955686808e-06,1.2125054952390807e-06,3.5055890668100886e-07,5.1631887080239025e-06,5.956685567154342,0,0.0,0.7760290249177937,0.9996765464994297,0.9997262760839775
N-N_1.42_hgbs-5_as-002-002,N-N,1.42,hgbs-5,2,2,4,12,14,2,2,6.055496326595744e-08,20,6.056247401353687e-08,6.055496193368981e-08,9.200381266171709e-12,6.055496193368981e-08,6.057374213330746e-08,1.0001240319071194,12,0.6,20,6.05652911489507e-08,6.057374268841897e-08,9.343528439041875e-12,6.05549614896006e-08,6.057374268841897e-08,1.0001705538643944,9,0.45,0.9999534859758717,8.077526705948427e-12,9.942219089854927e-12
