case_id,molecule,basis,bond_length,active_occupied,active_vacant,n_qubits,evolution_times,formula_orders,trotter_steps,orderings,observed_rows,unique_grid_rows,expected_rows_from_global_grid,missing_rows_from_global_grid,grid_complete,status,error_message,output_path
B-B_1.36_hgbs-5_as-002-002,B-B,hgbs-5,1.36,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.36_hgbs-5_as-002-002_state_infidelity.png
B-B_1.87_hgbs-5_as-002-002,B-B,hgbs-5,1.87,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.87_hgbs-5_as-002-002_state_infidelity.png
B-B_2.38_hgbs-5_as-002-002,B-B,hgbs-5,2.38,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_2.38_hgbs-5_as-002-002_state_infidelity.png
B-B_1.36_sto-6g_as-002-002,B-B,sto-6g,1.36,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.36_sto-6g_as-002-002_state_infidelity.png
B-B_1.87_sto-6g_as-002-002,B-B,sto-6g,1.87,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.87_sto-6g_as-002-002_state_infidelity.png
B-B_2.38_sto-6g_as-002-002,B-B,sto-6g,2.38,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_2.38_sto-6g_as-002-002_state_infidelity.png
B-B_1.36_hgbs-5_as-002-004,B-B,hgbs-5,1.36,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.36_hgbs-5_as-002-004_state_infidelity.png
B-B_1.87_hgbs-5_as-002-004,B-B,hgbs-5,1.87,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.87_hgbs-5_as-002-004_state_infidelity.png
B-B_2.38_hgbs-5_as-002-004,B-B,hgbs-5,2.38,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_2.38_hgbs-5_as-002-004_state_infidelity.png
B-B_1.36_sto-6g_as-002-004,B-B,sto-6g,1.36,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.36_sto-6g_as-002-004_state_infidelity.png
B-B_1.87_sto-6g_as-002-004,B-B,sto-6g,1.87,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.87_sto-6g_as-002-004_state_infidelity.png
B-B_2.38_sto-6g_as-002-004,B-B,sto-6g,2.38,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_2.38_sto-6g_as-002-004_state_infidelity.png
B-B_1.36_hgbs-5_as-004-004,B-B,hgbs-5,1.36,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.36_hgbs-5_as-004-004_state_infidelity.png
B-B_1.87_hgbs-5_as-004-004,B-B,hgbs-5,1.87,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.87_hgbs-5_as-004-004_state_infidelity.png
B-B_2.38_hgbs-5_as-004-004,B-B,hgbs-5,2.38,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_2.38_hgbs-5_as-004-004_state_infidelity.png
B-B_1.36_sto-6g_as-004-004,B-B,sto-6g,1.36,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.36_sto-6g_as-004-004_state_infidelity.png
B-B_1.87_sto-6g_as-004-004,B-B,sto-6g,1.87,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_1.87_sto-6g_as-004-004_state_infidelity.png
B-B_2.38_sto-6g_as-004-004,B-B,sto-6g,2.38,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-B/case_B-B_2.38_sto-6g_as-004-004_state_infidelity.png
B-H_0.94_hgbs-5_as-002-002,B-H,hgbs-5,0.94,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_0.94_hgbs-5_as-002-002_state_infidelity.png
